,table_names,table_vers,created_dates,updated_dates,descriptions,comments
2392,WK-BAD-BORR-RCRD,1,1986-12-09,1994-06-29,DETERMINE BORROWER CURRENT LOAN,CONTAINS PAGED BORROWER LOAN NUMBERS
2391,WK-BAD-BORR-INFO-RCRD,1,1986-12-10,1990-02-07,BORROWER INFO RECORD,BORROWERS CURRENT/PAST LOAN NUMBERS
240,AFMS-CLIENT-EXTRCT-RCRD,1,1986-12-15,1989-02-22,AFMS DOWNLOAD CLIENT EXTRACT RECORD,
244,AFMS-OFC-SLCTN-RCRD,1,1986-12-17,1986-12-24,FMHA ST/CTY SELECTION RCRD FOR SRVCG OFC,
2156,TG1201-IMAGE-RECORD,1,1986-12-17,,SUMMARY OF REFERRAL RECORDS,"A SUMMARY OF INFORMATION SENT TO THE COLLECTION AGENCY WITH CASE NUMBER, LOAN NUMBER, AND TOTAL AMOUNT REFERRED"
2157,TG1202-IMAGE-RECORD,1,1986-12-17,1987-01-23,REFERRAL PAYMENT RECORD,"A RECORD WHICH CONTAINS INFORMATION ABOUT A PAYMENT MADE ON AN ACCOUNT WHICH HAD BEEN REFERRED TO A COLLECTION AGENCY, INCLUDING THE AMOUNT OWED TO THE COLLECTION AGENCY"
1076,LW-TG99OT,1,1986-12-18,,CHANGED WRITE-OFF FILE,WRITE-OFF FILE WITH NEW CASE NUMBERS THAT HAVE BEEN CHANGED
1077,LW-TU01SO,1,1986-12-18,,SORTED WRITE-OFF FILE,WRITE-OFF FILE SORTED BY LAST SEVEN DIGITS OF CASE NUMBER
254,ALOTMT,2,1986-12-19,,ALLOTMENT RECORD,
313,ARCHIST,2,1986-12-19,,AUDIT RECEIVABLE HISTORY,
334,AUDRCVB,2,1986-12-19,,AUDIT RECEIVABLE,
415,CIHIST,2,1986-12-19,,COST HISTORY,
487,CSTITEM,2,1986-12-19,1990-06-20,COST ITEM,
885,GLMAN,2,1986-12-19,,GENERAL LEDGER MANUAL,
1099,MISRCVB,2,1986-12-19,,MISCELLANEOUS RECEIVABLE DATA BASE REC,
2087,SUMANN,2,1986-12-19,,ANNUAL TAX SUMMARY,
2090,SUMMTH,2,1986-12-19,,SUMMARY MONTHLY (GENERAL LEDGER),
2170,TRANS,2,1986-12-19,1986-12-22,TRANSACTION,
2493,WK-CUT-SEND-LINK,1,1986-12-30,1988-04-07,LINKAGE RCRD TO COMMUNICATE WITH TCBMCS,
2951,WK-TABLE-TCBGTB-LINK,1,1987-01-02,1987-01-05,,
908,GLWOACCT,2,1987-01-07,,GENERAL LEDGER WITHOUT ACCOUNT,
2768,WK-NME-CONV-LINK,1,1987-01-08,1988-03-17,NAME CONVERSION LINKAGE RECORD,
2757,WK-MISTR-CNTRL,1,1987-01-20,1987-01-20,GLOBAL RECORD FOR MISTR SYSTEM,
2190,TS0101-RCRD-TEMP,1,1987-01-22,1987-05-04,,
2196,TU0101-RCRD-BLK,1,1987-01-22,1987-05-20,1992-2 TRANSACTION BLOCK CARD RECORD,1992-2 TRANSACTION RECORD LAYOUT FOR THE BLOCK CARD RECORD FOR THE 1992-2 TRANS ACTION FILE.
388,CBADJMT-MAP,1,1987-01-23,1987-01-26,CBRAMS ADJUSTMENT MAP RECORD,
2187,TR0501-RCRD-HLDG,1,1987-01-23,1989-07-05,1992-2 TRANSACTION HOLDING FILE RECORD,1992-2 TRANSACTION RECORD LAYOUT.  THIS IS THE TRANSACTION RECORD AS IT IS DATA CAPTURED.
2192,TS0102-RCRD-TEMP,1,1987-01-23,1987-05-11,,1992-2 TRANSACTION TEMPORARY DETAIL RECORD USED IN THE BLOCKLIST PROCEDURE.   D ETAIL RECORDS AND BLOCK CARD RECORDS ARE PULLED OFF THE INPUT TRANSACTION FILE AND STORED ON SEPARATE FILES.
2193,TS0105-RCRD-BAL,1,1987-01-23,1987-05-11,1992-2 TRANSACTION RECORD BALANCE FILE,1992-2 TRANSACTION BALANCED DETAIL RECORD OUTPUT FROM BLOCKLIST PROCEDURE.
2194,TS0106-RCRD-TRNSCTN,1,1987-01-23,1987-05-11,1992-2 TRANSACTION UPDATE RECORD,1992-2 TRANSACTION RECORD AFTER BLOCK LIST PROCEDURE AND DFSORT TO CASE NUMBER  ORDER.  USED AS INPUT RECORD TO THE UPDATE.
2197,TU0101-RCRD-DTL,1,1987-01-23,1987-05-20,1992-2 TRANSACTION DETAIL RECORD,1992-2 TRANSACTION RECORD LAYOUT FOR THE DETAIL RECORD OF THE 1992-2 TRANSACTIO N FILE.
2198,TU0201-RCRD-HLDG,1,1987-01-23,1988-03-21,1992-2 TRANSACTION HOLDING FILE RECORD,1992-2 TRANSACTION HOLDING FILE RECORD.
3464,WK-5J-02,1,1987-01-23,1988-08-18,WORK RECORD MAP ADMU5J01, 5J TRANSACTION IS USED TO CHANGE THE PURCHASE CODE. WK-5J-02 IS THE WORK RECORD FOR PGM ADTU5J01 AND MAP ADMU5J01.
2195,TU0101-RCRD,1,1987-01-24,1987-05-20,1992-2 TRANSACTION RECORD,"1992-2 TRANSACTION RECORD, WILL BE REDEFINED INTO BLOCK CARD LAYOUT AND DETAIL  RECORD LAYOUT."
2199,TU0202-RCRD-CNTRL,1,1987-01-24,1988-07-06,1992-2 HOLDING FILE CONTROL FILE RECORD,CONTROL FILE RECORD FOR 1992-2 TRANSACTION HOLDING FILE.  THIS RECORD WILL BE REDEFINED INTO CURRENT AND PRIOR YEAR FORMAT.
2200,TU0202-RCRD-CNTRL2,1,1987-01-24,1988-05-06,1992-2 HOLDING FILE CONTROL RECORD,1992-2 TRANSACTION HOLDING FILE RECORD.  CURRENT YEAR CONTROL.
2201,TU0202-RCRD-CNTRL3,1,1987-01-24,1988-07-06,1992-2 HOLDING FILE CONTROL RECORD,1992-2 TRANSACTION HOLDING FILE RECORD.  PRIOR YEAR CONTROL.
2041,STAFF-RCRD3,1,1987-01-27,1987-02-11,RMS STAFF RECORD 3,
2202,TU0203-RCRD-ACTV,1,1987-01-27,1987-05-11,1992-2 DAILY ACTIVITY FILE RECORD,1992-2 TRANSACTION DAILY ACTIVITY FILE RECORD LAYOUT.
2151,TG0601-RCRD-CNTRL,1,1987-01-28,1987-08-13,IRS FORM 1099-A REPORTING FILE RECORD,"IRS FORM 1099-A (INFORMATION RETURN FOR ACQUISITION OR ABONDONMENT OF SECURED PROPERTY.  END OF PAYER ""C"" RECORD.  THIS IS A SUMMARY RECORD FOR A TYPE OF RETURN FOR A GIVEN PAYER.  FOR EACH ""A"" RECORD AND SUCCEEDING ""B' RECORD GROUP THERE MUST BE A CORRESPONDING ""C"" RECORD."
2152,TG0601-RCRD-DTL,1,1987-01-28,1988-10-18,IRS FORM 1099-A REPORTING FILE RECORD,"IRS FORM 1099-A (INFORMATION RETURN FOR ACQUISITION OR ABANDONMENT OF SECURED PROPERTY).  PAYEE ""B"" RECORD.  THIS RECORD CONTAINS THE PAYMENT INFORMATION FROM THE INDIVIDUAL 1992-2 HOLDING FILE RECORDS."
2154,TG0601-RCRD-PAYER,1,1987-01-28,1990-10-25,IRS FORM 1099-A REPORTING FILE RECORD,"IRS FORM 1099-A (INFORMATION RETURN FOR ACQUISITION OR ABANDONMENT OF SECURED PROPERTY).  PAYER/TRANSMITTER ""A"" RECORD.  INDENTIFIES THE PAYER AND TRANSMITTE R OF THE TAPE FILE AND PROVIDES PARAMETERS FOR THE SUCCEEDING PAYEE ""B"" RECORDS"
2155,TG0601-RCRD-TRLR,1,1987-01-28,1988-10-19,IRS FORM 1099-A REPORTING FILE RECORD,"IRS FORM 1099-A (INFORMATION RETURN FOR ACQUISITION OR ABANDONMENT OF SECURED PROPERTY).  END OF TRANSMISSION ""F"" RECORD.  THIS IS A SUMMARY RECORD OF THE NUMBER OF PAYERS AND TAPES IN THE WHOLE FILE."
243,AFMS-OBLGN-RCRD,1,1987-02-10,1988-04-06,AFMS OBLIGATION RECORD,THIS RECORD IS USED TO DOWNLOAD OBLIGATION DATA TO THE AFMS DATA BASE
246,AFMS-RH-OBLGN-DATA,1,1987-02-10,1987-02-10,AFMS RH OBLGN RECORD,THIS IS A AFMS DOWNLOAD RECORD
750,FARMS-LOAN,4,1987-02-25,1987-02-25,LOAN INFORMATION DATABASE RECORD,
2868,WK-RMS-MAP-O,1,1987-02-25,1987-02-25,WRK REC RMS MAP O,RECORD IS USED FOR MINI FLAG REPORT WITHIN THE RESOURCE MANAGEMENT SYSTEM
597,DUP-BAD-BORR-RCRD,1,1987-03-09,1988-04-05,WORK RECORD FOR BAD BORR MAP,
241,AFMS-COMMON-LOAN-RCRD,1,1987-03-12,1989-01-31,AFMS DOWNLOAD RECORD FOR LOANS,
245,AFMS-RH-LOAN-DATA,1,1987-03-20,1989-02-03,RH LOAN DATA RECORD,THIS IS THE AFMS RH LOAN DATA RECORD USED TO DOWNLOAD DATA.
404,CBRAMS-WK-BTCH,1,1987-03-26,1987-03-26,CBRAMS BATCH WORK RECORD,
21,ADPS-AP-CNTRL-RCRD,1,1987-03-31,1987-04-16,ACQD PROP SCRATCH RECORD,
1269,PROJMI,2,1987-03-31,,MISTR PROJECT DATABASE RECORD,
2754,WK-MESSAGE-RCRD,1,1987-04-02,1991-02-19,MESSAGE TEXT LINE,
2148,TG0101-SOFTWOOD-RCRD,1,1987-04-15,1987-10-20,SOFTWOOD TIMBER DETAIL INFO,SOFTWOOD TIMBER DETAIL INFORMATION RECOR D.
2501,WK-DATE-CHECK-RCRD,1,1987-04-17,1987-04-21,CKS FOR PERIOD IN DTE FLD,
2440,WK-CLIENT-RCRD,1,1987-04-22,1996-06-12,,USED BY LQDU0031 DIALOGE TO RESTORE THE CLIENT RECORD ON THE DATA BASE
2743,WK-LSE-INFOR-RCRD,1,1987-05-01,1991-02-19,LSE-INFO SCREEN LAYOUT,
406,CHARGE,1,1987-05-12,1991-03-28,ONLINE HISTORY CHARGE RECORD.,AN ONLINE HISTORY RECORD REPRESENTING A CHARGE TRANSACTION TO A BORROWERS LOAN ACCOUNT.
475,CREDIT,1,1987-05-13,1992-12-17,ONLINE HISTORY CREDIT RECORD,THIS IS AN ONLINE HISTORY RECORD REPRESENTING A CREDIT TRANSACTION TO A BORROWER ACCOUNT.
634,EXCESS,1,1987-05-13,,ONLINE HISTORY EXCESS RECORD,AN ONLINE HISTORY RECORD REPRESENTING AN EXCESS PAYMENT TRANSACTION TO A BORROWER LOAN ACCOOUNT.
2172,TRANSFER,1,1987-05-13,1995-08-11,ONLINE HISTORY TRANSFER RECORD,"AN ONLINE HISTORY RECORD REPRESENTING A TRANSFER TRANSACTION TO THE BORROWERS LOAN ACCOUNT.  CAN BE A TRANSFER TO A DIFFERENT STATE, COUNTY, LOAN NUMBER, AND/OR CASE NUMBER."
2045,STATE-CNTL,1,1987-05-22,1987-06-03,MTD ACTIVITY BY STATE,AS HISTORY IS ADDED TO THE ONLINE HISTORY FILE THE PAYMENT ACTIVITY TOTALS ARE ADDED TO THE MONTH TO DATE CONTROL TOTALS IN EACH SEPARATE STATE-CNTL RECORD FOR EACH STATE.
4,ACCTG-CNTL,1,1987-05-26,1989-02-07,ACCOUNTING MONTH ACTIVITY TOTALS,"AT THE END OF EACH ACCOUNTING MONTH BEFORE THE STATE-CNTL AND THE CYCLE-CNTL RECORDS ARE RESET TO ZERO FOR THE NEXT MONTH, THE ACTIVITY CONTROL TOTALS FOR THE COMPLETED MONTH WILL BE MOVED INTO THIS 15 MONTH ACCTG-CNTL FILE."
502,CYCLE-CNTL,1,1987-05-26,1989-02-07,REGISTER CYCLE ACTIVITY TOTALS,"AS HISTORY IS ADDED TO THE ONLINE HISTORY FILE, THE PAYMENT ACTIVITY TOTALS ARE MOVED INTO THE CYCLE-CNTL RECORD IDENTIFIED BY THE CYCLE/NUMBER OF THE UPDATE REGISTER THAT HAS BEEN PROCESSED."
653,FARMS-ACCT-HIST,1,1987-05-26,1988-06-21,,
690,FARMS-CLIENT-HIST,1,1987-05-26,1999-11-18,CLIENT HISTORY RECORDS,CLIENT HISTORY DATABASE RECORD.  CONTAINS COMMON HISTORICAL DATA ON CLIENT.
349,AWMI10-MAP-WORK-RCRD,1,1987-05-27,1998-12-04,DIALOGS MAP WORK RECORD,ONLINE HISTORY GLOBAL PARAMETER WORK RECORD CONTAINING GLOBAL INFORMATION NEEDE D BY ALL HISTORY PROGRAMS
1157,OBLGCTRL,1,1987-05-27,1987-06-18,RECORD FOR OBLIGATION CONTROL DATA,
1158,OBLGDTL,1,1987-05-27,1987-06-18,RECORD FOR OBLIGATION DATA,
637,EXPSCTRL,1,1987-06-02,1987-06-18,,
817,FDBDGT,1,1987-06-02,1988-02-17,,
1245,PRESBDGT,1,1987-06-02,1987-06-18,PRESIDENT BUDGET FOR THE FY,
1284,PSTNFIL,1,1987-06-02,1987-06-18,POSITION FILLED ON BY MONTH,
2033,ST-CNTL-REC,1,1987-06-02,1987-06-30,ONLINE HISTORY CONTROL RECORD,
2042,STAFFYR,1,1987-06-02,1999-11-05,STAFF YEAR,
2463,WK-COUNTERS,1,1987-06-03,1988-07-11,WORKING STORAGE COUNTERS,"WORK RECORD USED BY BOTH DETAIL AND SUMMARY PROCESSES.  FIELDS ARE USED FOR SUB SCRIPTING, COUNTING AND SAVING DATA BASE KEYS."
2293,WK-ABS-GLOBAL,1,1987-06-04,1992-10-22,ABS GLOBAL RECORD,RECORD IS USED FOR THE HEADING OF ALL SCREENS IN ABS SYSTEM
350,AWMI11-MAP-WORK-RCRD,1,1987-06-10,2008-11-05,MAP WORK RECORD FOR ONLINE HISTORY,MAP RECORD CONTAINING FIELDS THAT ARE FORMATTED AND DISPLAYED ON THE DETAIL HIS TORY SCREEN AND THE SUMMARY HISTORY SCREEN.
2460,WK-COUNTER-2,1,1987-06-10,1992-06-30,STORAGE FOR DIALOG COUNTER INFORMATION,
2370,WK-APROPTN-ACCTG-WK-RCRD,1,1987-06-16,1987-06-16,APROPTN ACCTG WORK RCRD,USED IN BADL SUB SYSTEM TO CREATE ONLINE SCREENS
2292,WK-ABS-CTRL,1,1987-06-18,1987-12-02,ABS CONTROL RECORD,
2365,WK-AMT-SAVE-RCRD,1,1987-06-18,1987-06-30,ALLOT SAVE RCRD,SAVE ALLOT AMTS WHEN PPB CDE IS 417
3575,WK-8VMAP-RCRD,1,1987-06-22,1987-08-05,8V MAP RCRD,TRANSACTION 8V MAP RECORD
2364,WK-AMORTN-CST-RCRD,1,1987-06-22,1987-06-25,AMORTN COST RCRD,AMORTIZIES COSTS
2745,WK-MAP-HEADER,1,1987-06-22,1988-10-12,MAP HEADER,STANDARD HEADER FOR MAP
2734,WK-LN-ASSET-SALE-REG,1,1987-06-23,1987-06-29,LOAN ASSET SALE REGISTER RECORD,
6,ACQD-PROP-MAP-RCRD,1,1987-06-30,1987-07-31,ACQ PROP DOWNLOAD REQUEST RCRD,
7,ACQD-PROP-QUEUE-RCRD,1,1987-06-30,1993-01-20,ACQUIRED PROPERTY QUEUE RECORD,ACQUIRED PROPERTY QUEUE RECORD
346,AWDI11-WORK-RCRD,1,1987-07-08,1987-07-08,OL HISTORY DIALOG WK RCRD,
1416,REPT-RCRD-275,1,1987-07-08,1987-07-18,REPORT RECORD 275,
1417,REPT-RCRD-290,1,1987-07-08,1987-07-18,REPORT RECORD 290,
1418,REPT-RCRD-310,1,1987-07-08,1987-07-18,REPORT RECORD 310,
1421,REPT-RCRD-340,1,1987-07-08,1987-07-18,REPORT RECORD 340,
1422,REPT-RCRD-345,1,1987-07-08,1987-07-18,REPORT RECORD 345,
1424,REPT-RCRD-355,1,1987-07-08,1987-07-18,REPORT RECORD 355,
1425,REPT-RCRD-370,1,1987-07-08,1987-07-18,REPORT RECORD 370,
1426,REPT-RCRD-380,1,1987-07-08,1987-07-18,REPORT RECORD 380,
342,AWDI11-LINE-ONE,1,1987-07-09,1987-08-27,OL HISTORY LINE ONE,
344,AWDI11-LINE-TWO,1,1987-07-09,1987-08-27,OL HISTORY LINE TWO,
3195,WK-1G-03,1,1987-07-09,1993-12-14,CREDIT SALE OF ACQUIRED REAL ESTATE,
3197,WK-1G-15,1,1987-07-09,1997-08-21,CREDIT SALE OF ACQD REAL ESTATE,
3198,WK-1G-25,1,1987-07-09,1990-12-10,CREDIT SALE OF ACQD REAL ESTATE,
359,BDGT-USER-ID-RCRD,1,1987-07-10,1987-12-15,BUDGET USER ID RECORD,
1360,REPT-CDE-RCRD,1,1987-07-15,,GL TRIAL BALANCE REPORT 523,RECORD COMING FROM PROGRAM FGBS02 TO GIVE A TRIAL BALANCE FILE.
2175,TRIAL-BAL-RCRD,1,1987-07-15,1987-08-06,GL TRIAL BALANCE REPORT 523,RECORD COMING FROM PROGRAM FGBS02 TO GIVE A TRIAL BALANCE FILE.
1419,REPT-RCRD-320,1,1987-07-16,1987-07-18,REPORD RECORD 320,
1420,REPT-RCRD-325,1,1987-07-16,1987-07-18,REPORD RECORD 325,
2954,WK-TIME-DTE,1,1987-07-17,1991-02-19,,THIS RECORD CONTAINS THE TIME AND DATE ELEMENTS
3266,WK-2E-02,1,1987-07-20,1991-02-27,CASH CLCTN-ACQD PROP/LSE PYMT,RECORD FOR MAP ADMU2E01
3280,WK-3E-02,1,1987-07-20,1991-02-22,ACQUISTION - PROPERTY,"RECORD FOR MAP ADMU3E01; CARD TYPE IS 2. TRANSACTION 3E IS USED TO PROCESS THE ACQUISITION OF BOTH REAL AND CHATTEL PROPERTY BY THE GOVERNMENT THRU VOLUNTARY CONVEYANCE OR FORECLOSURE, OR BY 3RD PARTY. WK-3E-02 IS A WORK RECORD FOR PGM ADTU3E01 AND MAP ADMU3E01; CARD TYPE IS 2."
2847,WK-REC-ONE,1,1987-07-20,1990-08-27,OL HISTORY LINE ONE,WORK RECORD USED BY DETAIL HISTORY DIALOG TO FORMAT TRANSACTION DETAIL LINES TO  BE DISPLAYED ON DETAIL HISTORY SCREEN.
2850,WK-REC-TWO,1,1987-07-20,1988-07-11,OL HISTORY LINE TWO,WORK RECORD USED BY THE ONLINE HISTORY DETAIL DIALOG TO FORMAT THE SECOND LINE OF A MULTIPLE LINE TRANSACTION FOR THE DETAIL HISTORY SCREEN.
3276,WK-3D-02,1,1987-07-27,1990-07-06,ACQUIRED CHATTEL,
3282,WK-3E-04,1,1987-07-28,1993-02-11,ACQUISTION PROPERTY;CARD TYP 4,TRANSACTION 3E - ACQUISITION PROPERTY WK-3E-04 IS A WORK RECORD FOR PGM ADTU3E01 AND MAP ADMU3E01.
2881,WK-SCRN-CNT-RCRD,1,1987-07-29,1987-10-29,RECORD OF SCREEN BEING ACCESSED,"USED TO KEEP TRACK OF WHAT SCREEN IS BEING ACCESSED WHEN DOING THE ACQD-PROP RESTORE. EITHER ACQD-PROP, LEASEE , OR LSE-INFO."
405,CBTTLS-RPT,1,1987-07-30,1987-09-17,DAILY CB COLLECTIONS REPORT RECORD,
352,AWZC0001,1,1987-07-31,,MESSAGE CODES RECORD,
351,AWMI12-MAP-WORK-RCRD,1,1987-08-01,1992-09-02,MAP WORK RECORD FOR ONLINE HISTORY,WORK RECORD USED BY BOTH DETAIL AND SUMMARY PROCESSES.  FIELDS ARE USED AS SAVE  AREAS AND COUNTERS.
3576,WK-8VWORK-RCRD,1,1987-08-03,1988-10-12,WORK RCRD,WORK RECORD FOR 8V MAP
2461,WK-COUNTER-3,1,1987-08-03,2008-11-05,THIS RECORD WILL HOLD PAGING TABLE,THIS RECORD WILL HOLD A 100 OCCURING TABLE
356,BDGT,2,1987-08-07,1987-08-07,FISCAL YEAR PURCHASE ORDERS,CAPTURES INFORMATION FOR THE FISCAL YEAR MAINTENANCE PURCHASE ORDERS.
358,BDGT-TX,2,1987-08-07,1987-08-07,FISCAL YEAR MAINTENANCE INVOICES,CAPTURES INFORMATION FOR FISCAL YEAR MAINTENANCE INVOICES.
2462,WK-COUNTER-4,1,1987-08-07,1992-09-02,ONLINE HISTORY WORK RECORD NUMBER FOUR,ONLINE HISTORY WORK RECORD NUMBER FOUR USED TO STORE RECEIVABLE INFORMATION.
2505,WK-DBKEY-RCRD,1,1987-08-10,1987-11-05,CONVERSION OF DB KEY FOR CHANGE DATA,
2362,WK-AMORTD-DTE-RCRD,1,1987-08-11,1987-10-29,OBLIGATION RECORD,
2363,WK-AMORTD-WORK-RCRD,1,1987-08-12,1987-11-05,CHANGE DATA AMORTD WORK RECORD,
2497,WK-DAPROC-AMORTD,1,1987-08-14,1987-11-13,DAPROC RECORD FOR CHANGE DATA,
2848,WK-REC-ONE-LINE,1,1987-08-20,1987-11-01,OL HISTORY LINE ONE,
2851,WK-REC-TWO-LINE,1,1987-08-20,1987-11-01,OL HISTORY LINE TWO,
1515,SADLD670-MAPWORK-RCRD,1,1987-08-25,1990-07-02,SADLD670 WORK RECORD,WORK RECORD FOR RENTAL ASST INQUIRY
2744,WK-MAP-HDR-RCRD,1,1987-09-10,1991-02-19,"HEADER DATA,SCREEN STDS 7/87",
2038,ST-RCRD,2,1987-09-11,1987-09-11,RMS DATA BY MO & YR FOR A SPECIFIC ST,
2878,WK-SALE-RCRD,1,1987-09-16,1987-10-01,SALE(M1G) WORK RECORD,
3,ACCT,1,1987-09-21,1987-09-24,DFIS ACCOUNT,THE AMOUNT IN THAT DFIS ACCOUNT.
2092,SYMBOL,1,1987-09-21,1987-09-24,TREASURY SYMBOL,DATA THAT IS UNIQUE TO A TREASURY SYMBOL.
472,CRBREC,1,1987-09-25,1987-11-18,CONTRACTUAL SERVICES & PROCUREMENTS,
575,DIVREC,1,1987-09-25,1987-11-18,DIVISION CODE DATA,
609,EQPMTS,1,1987-09-25,1987-11-18,EQUIPMENT NEED FOR BUDGET SUBSYSTEM,
1183,OFCSPC,1,1987-09-25,1987-11-18,OFFICE SPACES FOR BUDGET SUBSYSTEM,
1349,RECNCLD-HIST-RCRD,1,1987-09-25,1993-06-02,RECONCILIATION HISTORY RCRD,
1475,RMSSRTCH,1,1987-09-25,1987-11-07,COUNTY AND DISTRICT SCRATCH RECORD,
2060,STNDBDGT,2,1987-09-25,1987-11-18,STANDARD BUDGET AMOUNT FOR THE PROJECT,
2186,TRUCKRNT,1,1987-09-25,1987-11-18,TRUCK RENTAL FOR BUDGET SUBSYSTEM,
2504,WK-DBKEY-DAPROC-RCRD,1,1987-09-28,1987-11-12,DATA BASE KEY DESCRIPTION,DAPROC DB KEY DESCRIPTION
0,ABSDOMN,1,1987-09-29,1987-10-15,USER DOMAIN,
2455,WK-COMMON,1,1987-09-30,1987-09-30,COMMON MAP WORK RECORD,COMMON MAP WORK RECORD FOR THE (DFIS) GENERAL LEDGER CONVERSION.
2545,WK-FKMU02,1,1987-09-30,1987-10-07,TREASURY SYMBOL WORK RECORD,TREASURY SYMBOL WORK RECORD FOR MAP UPDATE
2612,WK-HDR,1,1987-09-30,1987-10-07,COMMON HEADER FOR MAP,COMMON HEADER RECORD FOR THE DFIS GENERAL LEDGER CONVERSION
1270,PROJREC,1,1987-10-01,1987-11-18,PREJECT NUMBER ASSIGNED BY N.O. AND F.O.,
1474,RMSDATA,4,1987-10-05,,COUNTY AND DISTRICT OFFICE REPORT DATA,
2039,ST-RCRD,4,1987-10-05,1987-11-10,RMS DATA BY MO & YR FOR A SPECIFIC ST,
345,AWDI11-LINE-3,1,1987-10-13,1987-10-15,OL HISTORY LINE THREE,
343,AWDI11-LINE-THREE,1,1987-10-13,,OL HISTORY LINE THREE,
1459,RJCTWIRE-RPT,1,1987-10-13,1987-10-13,,
2546,WK-FKMU03,1,1987-10-13,1987-10-19,WORK RECORD FOR MAP FKMU03,
2852,WK-REC-3,1,1987-10-13,1987-11-09,OL HISTORY LINE THREE,
1009,LIMITD-RESRC-REPT,1,1987-10-15,1988-10-18,LIMITED RESOURCE LOAN REPORT RECORD,SELECT BORROWERS FOR RC 660
1160,OBLGN-DIALOG-CNTRL,1,1987-10-16,1987-11-18,CNTRL REC FOR OBLGN SCREENS,
1509,SADLD540-WRKAREA-RCRD,1,1987-10-19,1987-10-19,WRK RCRD FOR A-2109,
1507,SADLD510-WRKAREA-RCRD,1,1987-10-21,1987-10-21,WRKAREA FOR RFA-ID A-2109,
1261,PROJHDR,1,1987-10-22,1987-11-18,PREJECT HEADER DESCRIPTION,
2184,TRNSMT-RCRD,1,1987-10-26,1987-10-26,DFIS TRANSMIT RECORD,
1906,SGDLD622-MAPWORK-RCRD,1,1987-10-28,1987-12-18,SGDLD622 INQ MENU RECORD,
1467,RMEXTRCT,1,1987-11-06,1987-11-06,FOORS / FHAR EXTRACT RECORD,
1994,SOCCDE,2,1987-11-06,1987-11-09,,
347,AWDI18-LINE-4,1,1987-11-10,1988-07-12,OLH DIALOG MAP WORK RCRD,WORK RECORD USED BY ONLINE HISTORY SUMMARY DIALOG TO FORMAT TRANSACTION INFORMA TION FOR THE SUMMARY SCREEN.
348,AWDI18-MAP-WORK-RCRD,1,1987-11-10,1988-06-21,OLH DIALOG MAP WORK RCRD,
1517,SADLD740-MAPWRK-RCRD,1,1987-11-10,1987-11-10,WRK-RCRD FOR SADLD740,
2853,WK-REC-4,1,1987-11-10,1988-06-21,ONLINE HISTORY WORK RCRD FOUR,THIS WORK RECORD IS USED TO MOVE TRANSATION DATA IN FORMATTED FORM FROM AWTG04 PROGRAM TO AWDI19 DAILOG.
2882,WK-SCS-EQUIP-RCRD,1,1987-11-16,1989-03-28,WORK RECORD FOR DIALOG TEDI01,   WORK RECORD FOR DIALOG TEDI01
1512,SADLD570-MAPWORK,1,1987-11-17,1987-12-01,SADLD570 MAPWORK,
341,AVLBLFD,3,1987-11-18,1987-11-18,AVAILABLE FUND FOR THE FY,
1511,SADLD570-DESC-WORK,1,1987-11-23,1988-01-06,WRK AREA FOR DESCRPTN ON M6PI MAP,
1510,SADLD560-MAPWORK,1,1987-11-25,1987-11-25,WORK RECORD FOR M6PI 2ND PAGE SADLD560,
2760,WK-MP-30,1,1987-11-30,1987-12-02,WORK RECORD USED FOR MAP APMUMP30,TO ALLOW STATE COORDINATORS TO VEIW ALL DISCREPANCY TRANSACTIONS WITHIN THEIR JURISDICTIONS
2178,TRNSCTN-RCRD,1,1987-12-03,1987-12-08,DFIS TRANSACTION RECORD,THIS IS THE DFIS TRANASCTION RECORD THAT WILL UPDATE THE DFIS DATABASE.
1468,RMS-DIR-SCR,1,1987-12-05,1987-12-05,FLAT FILE EXTRACT FORMAT,
1469,RMS-USER-SCR,1,1987-12-05,1987-12-05,,
548,DFIS-CRSWK-RCRD,1,1987-12-07,,,EACH RECORD IS AN ENTRY IN THE CROSSWALK TABLE
2500,WK-DATE,1,1987-12-08,1987-12-08,DATE EDIT RECORD FOR ABS,
1027,LN-REVW-DTE-CHNG,1,1987-12-10,1988-02-02,LN REVIEW DATE FOR LTD RESOURCE LN .,THE DATE OF THE LAST REVIEW OF A LIMITED RESOURCE LOAN BY A FIELD OFFICE IS CONTAINED IN THIS RECORD.
361,BDGTSTAF,2,1987-12-16,,BUDGET STAFF YEAR DATA,
476,CRSWK-TRNSCTN-RCRD,1,1987-12-18,1987-12-30,CROSS WALK TRANSACTION,THIS RECORD WILL UPDATE THE CROSS REFERENCE TABLE IN THE DFIS SYSTEM.
3537,WK-8N-02,1,1987-12-22,1991-02-15,LOAN CLASSIFICATION,THIS TRANSACTION IS USED TO CAPTURE BORROWER LOAN CLASSIFIACTION DATA AND LOAN LOSS ESTIMATES.
1307,RAOBLGN,3,1988-01-07,1989-05-19,RESIDENCE ASSISTANCE OBLIGATION,
754,FARMS-LOAN-SFSI,1,1988-01-11,2009-12-28,,LOAN SFSI DATABASE RECORD.  COMMON SFSI DATA FOR LOANS.
3368,WK-3S-02,1,1988-01-13,1988-07-15,SUBSIDY PAYMENT,WORK RECORD USED TO BUILD THE 3S TRANSACTION USED TO UPDATE THE BORROWERS SUBSIDY RECORD
