ln_nbr,fd_cde,kind_cde_ln,int_rate_note,int_rate_note_1st,pymt_typ_cde,dir_pymt_cde,dte_amortn_efctv,dstr_dclrd_cde,mrg_cntrl,docmt_typ_cde,dte_oblgn_ln,asstnc_typ_cde,ln_amt_oblgn,begng_frmr_rnchr_cde,colltl_cde,cpn_procg_dte,case_nbr_chng_cde,pymt_asstnc_meth_cde,int_rate_prev,int_rate_prev_redfnd
480115,5,1,5.1099,16.8172,2,5,2011-05-08,3,58,E,2018-02-25,825,15270.79,W,5,2018-11-16,9,0,5.7167,6.8266
831967,6,3,13.5077,16.223,3,0,2017-12-31,6,66,D,2015-02-25,522,29594.11,F,4,2019-12-05,9,5,6.8328,10.7955
442245,3,4,4.8232,6.5766,5,4,2014-10-17,3,75,A,2017-06-16,323,171654.62,F,4,2016-03-30,1,5,10.9705,10.5096
833500,1,6,10.3315,16.7744,6,2,2017-12-16,5,59,G,2020-11-12,919,476033.12,F,5,2018-09-15,1,6,5.4145,12.4362
418675,6,0,7.264,14.005,6,7,2012-12-29,1,66,G,2018-09-08,550,315401.72,W,2,2020-10-27,3,5,14.3175,5.5688
656609,3,5,9.9349,5.703,7,2,2010-10-16,9,54,C,2015-11-29,108,120339.23,F,2,2013-10-05,4,7,13.702,11.0809
780011,8,0,7.5905,10.8361,6,4,2016-12-11,2,89,G,2015-11-05,335,296881.09,W,2,2021-03-20,6,9,9.2155,16.0766
341710,6,0,5.0202,5.7422,1,2,2018-06-15,4,20,E,2014-05-16,687,16282.41,W,9,2014-05-23,7,6,5.898,10.63
356310,5,4,9.2895,12.5883,3,8,2018-04-05,2,35,F,2018-03-27,888,478034.37,O,7,2022-02-13,3,2,13.3781,5.8488
320564,9,1,13.0548,12.8895,4,3,2010-05-29,6,59,A,2019-01-30,833,446578.25,O,5,2020-09-23,2,4,14.4263,17.6536
773340,6,1,9.3601,11.834,4,4,2019-08-27,3,30,A,2019-04-25,842,231918.14,F,1,2012-02-16,6,8,14.2842,18.2672
280980,1,4,11.794,11.5466,8,3,2010-11-07,1,10,A,2018-05-30,886,369349.71,F,1,2020-11-27,7,5,13.1209,14.5476
655278,4,2,2.1655,5.1722,6,4,2014-01-12,4,83,D,2013-10-24,675,463796.43,W,7,2015-05-04,4,7,10.9676,17.3856
522032,7,1,12.4474,15.0757,7,3,2018-03-31,3,21,B,2016-06-05,239,106750.22,O,2,2012-09-02,6,8,14.6431,8.3503
153292,2,0,11.2654,14.7594,9,8,2011-09-06,5,14,A,2017-11-20,359,289568.32,W,4,2022-03-19,5,1,6.2209,8.8416
577473,7,7,1.6451,12.2326,9,7,2013-08-05,1,52,E,2011-12-07,450,251064.19,W,2,2013-11-14,0,3,11.0023,7.5432
640042,3,1,11.669,7.1826,5,4,2019-11-20,5,19,G,2021-07-07,766,330231.66,O,5,2016-05-28,4,0,12.2644,17.9207
221054,9,8,1.3072,11.5044,4,4,2020-01-11,6,66,A,2012-12-18,929,499256.48,W,4,2019-06-26,4,5,12.8553,14.5548
213295,0,8,13.9839,13.4279,2,0,2015-07-19,5,40,E,2017-02-27,913,372585.45,R,4,2019-06-14,6,9,8.2488,8.4065
864757,6,0,3.989,17.8876,6,9,2017-01-09,6,36,C,2018-01-25,511,435718.22,R,7,2012-01-28,2,1,9.0546,9.6241
791491,1,3,9.7031,5.5785,2,7,2015-09-22,6,79,D,2021-07-19,434,413380.15,O,4,2016-08-31,5,8,11.5097,15.426
660391,4,8,13.0242,6.1518,7,1,2013-07-23,3,44,B,2013-09-05,382,45139.86,O,4,2016-03-03,9,1,9.1782,15.6705
492964,2,2,1.2446,11.527,7,0,2012-01-27,7,86,C,2016-03-09,287,347296.07,W,6,2018-06-04,1,1,13.9794,18.088
718819,5,7,9.4242,15.4462,4,4,2018-08-11,2,27,E,2012-10-29,878,311124.2,R,9,2022-10-21,2,7,12.0489,12.2676
365418,1,5,1.594,15.8219,2,0,2020-01-08,3,30,G,2011-09-11,930,191665.0,W,8,2022-07-12,3,4,11.627,7.0645
302539,9,4,9.1675,6.9011,9,6,2017-04-04,5,67,G,2017-02-26,814,493865.05,W,8,2015-06-03,4,3,12.1097,8.8971
850065,8,6,7.3754,8.0495,1,5,2011-04-22,9,77,F,2015-05-09,200,378329.12,W,5,2012-09-24,4,0,5.963,17.7614
652046,8,6,11.856,8.1472,3,9,2020-09-06,5,74,E,2014-01-17,710,74522.7,F,5,2018-11-28,4,6,13.1771,6.8112
551836,4,4,6.865,5.3837,6,5,2017-10-22,9,86,A,2021-11-24,707,102693.93,O,5,2016-04-17,0,5,8.4832,7.5207
417717,7,2,5.2614,13.6946,8,3,2016-02-18,8,32,D,2021-05-29,138,120661.79,F,2,2018-07-18,1,6,12.9315,16.1306
143196,6,5,11.0427,16.163,3,3,2020-05-05,6,62,D,2019-10-12,927,481954.46,O,2,2018-08-28,6,3,7.2916,6.0833
284803,1,9,14.235,6.3455,8,5,2010-05-14,5,21,A,2016-01-20,561,183123.56,W,1,2016-03-17,6,4,9.4994,11.2205
729427,3,9,6.8264,5.8464,4,5,2012-05-09,3,24,F,2016-05-08,929,372135.72,F,4,2014-07-17,2,2,9.5186,10.25
844391,1,7,4.2463,17.3902,1,0,2012-02-24,4,37,G,2016-02-15,287,448801.77,W,7,2013-06-23,2,0,8.1883,5.1574
681328,5,6,9.6352,5.4011,9,6,2014-05-26,2,63,D,2021-02-19,887,430401.11,W,5,2020-04-22,4,1,13.4238,6.2194
218438,2,4,14.5793,8.3398,5,9,2016-01-12,7,82,B,2020-11-08,397,156835.2,O,2,2016-07-09,4,7,9.8898,18.268
507135,3,8,9.2472,17.5979,5,4,2019-01-20,5,90,G,2018-05-12,931,129752.7,W,5,2016-06-05,9,6,9.9694,12.3243
379976,9,2,2.7746,5.9843,1,7,2016-01-08,6,18,A,2013-07-23,272,313239.21,R,8,2019-01-10,1,4,8.8117,14.6061
669274,2,9,13.4728,16.54,5,0,2014-06-15,7,28,B,2015-02-04,367,287060.6,O,5,2017-03-21,6,7,14.5431,17.3264
252023,5,2,3.4728,6.1491,5,3,2012-10-01,1,36,C,2015-11-28,826,437271.25,F,6,2012-04-09,7,1,13.9776,8.641
208152,3,6,14.6736,11.556,4,3,2020-09-20,2,45,A,2011-04-13,149,363005.83,O,2,2018-08-18,2,6,14.513,9.3321
608386,5,8,3.4598,13.8439,8,2,2014-06-21,1,83,A,2015-09-07,414,112350.5,O,6,2016-06-10,2,6,12.6616,7.9314
700577,6,0,9.2058,8.482,9,3,2012-05-04,1,66,A,2018-05-14,824,71782.22,W,9,2014-01-14,1,3,12.3433,6.2841
564865,2,3,10.2254,14.5934,7,1,2015-08-11,9,36,A,2021-08-07,829,292200.62,R,7,2019-10-04,8,2,5.9726,11.5682
290618,3,7,10.8046,12.1238,4,4,2018-10-10,8,52,G,2020-04-09,330,170680.39,W,3,2020-09-26,7,6,14.6094,14.9756
522362,8,5,9.3238,12.1437,8,8,2020-03-17,3,15,A,2018-04-23,156,243767.6,R,3,2016-12-28,0,8,6.216,13.0186
124929,3,1,13.5092,11.8401,7,3,2017-05-06,8,18,G,2021-05-10,620,368703.31,W,8,2013-07-20,4,2,8.9594,10.9209
470977,4,3,3.2126,14.4684,1,9,2020-07-08,1,61,G,2015-10-14,532,216591.62,O,6,2018-05-13,6,7,12.2696,13.8327
430464,8,2,10.2513,7.97,1,2,2015-08-02,9,87,F,2014-01-19,938,14152.51,O,7,2021-06-09,1,8,14.5397,9.5837
396560,2,4,13.0978,8.5028,2,8,2017-04-22,4,84,D,2021-06-06,796,252058.14,O,4,2015-07-22,3,9,7.3866,14.6733
419605,6,8,4.3698,15.9164,2,9,2012-10-22,2,65,B,2015-02-23,783,314099.99,W,8,2022-01-12,9,9,12.6859,6.8776
290410,6,7,3.1525,14.4306,6,6,2014-09-06,7,71,A,2016-07-09,802,209598.81,F,8,2012-08-24,4,8,5.4211,13.5697
314457,3,4,6.8274,10.2367,6,5,2015-04-20,3,87,E,2021-03-12,942,64394.99,W,1,2014-12-04,1,6,13.9461,15.3195
183963,9,7,13.9471,15.9131,7,3,2017-05-02,6,22,F,2015-03-29,683,219833.06,W,8,2014-12-27,4,1,6.1567,12.9965
884703,8,5,5.2229,15.7412,5,5,2019-10-17,9,68,E,2013-11-10,557,30645.51,R,8,2014-08-06,9,9,12.2895,18.4399
842905,0,5,7.1794,9.2093,4,5,2012-05-07,2,80,F,2020-05-17,383,79079.16,W,6,2015-08-21,5,9,7.4276,6.0492
150328,8,7,9.1593,10.7385,6,8,2014-04-13,5,85,C,2012-03-09,857,69161.47,R,7,2022-05-16,8,8,5.8866,18.0184
887735,3,4,8.1414,7.9216,1,3,2019-05-23,8,56,E,2011-07-07,789,478936.59,W,3,2017-12-01,0,7,13.9826,5.8872
246248,6,0,10.3427,5.018,3,4,2015-03-07,4,11,D,2013-01-05,371,283438.03,F,8,2017-05-06,7,8,10.2361,12.9384
446558,6,1,2.5368,9.964,8,2,2011-09-01,1,21,A,2012-06-20,689,406874.29,W,2,2020-04-17,8,5,9.0929,13.8578
380002,8,4,12.2113,12.743,2,4,2012-10-20,4,47,B,2018-03-05,632,465024.72,W,9,2020-11-25,4,8,11.7635,7.8127
887731,9,0,4.4523,10.6614,7,1,2019-07-25,2,30,A,2020-01-28,174,122822.13,R,7,2018-08-05,2,4,14.6392,8.4116
329109,3,9,3.1561,11.0943,8,1,2010-05-09,1,80,E,2019-01-07,560,92706.33,W,3,2017-12-24,0,1,13.2782,5.4355
790820,5,4,4.7558,12.9707,4,4,2018-07-13,7,15,D,2021-02-26,210,242544.46,W,8,2015-08-18,3,6,12.919,17.3342
784489,0,6,14.9516,11.7917,9,1,2019-03-29,1,76,F,2017-12-22,496,336434.11,W,4,2015-04-23,1,1,12.4586,5.0068
311988,4,6,8.9623,5.5681,1,1,2019-10-22,1,36,C,2015-04-02,108,451028.8,R,7,2014-07-31,2,5,12.0952,10.1877
445549,8,4,11.5817,16.6235,5,2,2012-11-23,6,15,D,2017-07-28,533,385065.37,F,6,2017-10-07,1,8,7.2666,17.1312
151877,9,1,1.7648,7.5992,2,8,2018-10-14,7,65,F,2021-02-03,391,347737.69,R,1,2015-08-02,9,5,8.5362,16.7555
681866,6,2,2.0948,12.3425,9,0,2018-08-31,8,75,D,2013-09-29,291,462725.65,O,5,2018-10-02,4,9,10.2701,15.0653
355946,1,9,5.2932,16.6194,9,4,2020-08-28,8,30,A,2013-10-07,509,263711.12,O,6,2013-11-09,1,5,13.1525,17.8404
877802,6,2,1.3283,10.5682,5,5,2019-11-22,9,61,D,2015-09-26,597,164881.64,R,5,2019-06-22,3,6,7.8861,16.6246
332184,6,4,10.1914,12.1766,9,6,2012-12-23,8,81,F,2015-11-10,195,269402.51,W,6,2022-10-06,5,0,7.36,13.8714
252137,8,9,11.4715,11.9948,8,1,2011-04-21,5,58,F,2012-12-22,827,118251.27,O,3,2018-02-03,2,2,8.0856,8.2571
286583,3,8,4.4216,5.2684,3,3,2018-03-20,8,20,E,2017-01-06,135,44395.98,R,8,2016-10-20,5,2,8.8449,15.8523
249174,9,4,7.4192,17.2433,6,2,2011-11-07,9,30,B,2019-08-09,462,462094.42,F,1,2014-04-11,2,8,10.1969,16.5374
316056,2,2,11.6183,11.8429,4,3,2017-09-24,4,27,F,2021-06-24,614,208805.94,F,9,2020-08-07,7,8,14.7856,14.2911
268716,1,9,4.4539,17.8075,3,6,2014-01-26,5,23,C,2012-08-30,415,344967.25,R,3,2012-11-17,5,6,8.6216,5.0633
248635,4,3,5.3783,5.4507,2,6,2012-01-13,7,52,E,2014-12-01,138,496994.1,F,7,2020-02-13,7,7,8.8194,5.8053
364177,6,5,1.914,15.2106,3,6,2015-02-14,6,38,D,2013-01-03,882,87692.21,F,8,2012-06-27,8,8,5.157,16.7212
480568,8,0,9.4377,7.6797,2,1,2010-02-13,4,53,G,2021-08-19,142,323981.8,R,3,2017-01-17,9,3,10.4819,17.6847
104204,2,0,7.233,11.1952,4,6,2012-04-21,2,33,B,2016-06-28,479,77036.11,F,4,2014-12-18,1,2,8.1543,7.3253
720879,2,7,9.5637,15.178,7,9,2020-07-20,8,82,F,2016-01-10,526,193400.51,W,9,2021-03-31,9,7,6.2913,11.652
683568,0,2,4.9298,17.4259,1,5,2014-02-11,6,10,B,2020-11-08,731,232558.35,F,2,2016-01-04,0,3,9.934,6.1331
737021,0,5,10.2114,13.7996,1,3,2017-01-31,6,33,C,2021-12-10,685,237432.77,R,5,2020-07-12,4,2,11.1977,8.0803
562119,3,0,10.8047,5.2586,3,6,2020-06-26,2,44,F,2014-11-16,342,31073.36,R,4,2021-02-01,4,8,8.2874,9.6969
799000,9,1,11.0218,9.6469,7,5,2017-12-17,7,73,G,2016-08-28,876,440518.24,R,9,2013-07-01,5,8,8.686,9.0416
313207,8,9,11.6435,14.8594,1,9,2010-02-11,8,37,C,2019-12-30,566,373503.59,W,4,2021-09-13,6,3,8.9034,9.1611
864321,4,7,14.7133,16.528,4,0,2011-04-17,3,16,B,2011-12-14,941,343270.91,F,8,2021-04-27,1,7,7.4221,7.6929
720193,0,8,3.239,9.4945,7,6,2015-09-29,4,84,E,2013-06-24,244,23380.91,R,3,2013-07-01,1,2,8.1186,16.3104
652302,1,2,3.8389,13.7918,1,6,2015-03-05,9,42,F,2021-07-11,732,194746.14,R,3,2016-11-21,1,2,14.9932,9.9218
208995,1,9,3.1264,6.8751,5,6,2019-04-06,9,73,D,2014-11-03,822,22785.58,R,9,2013-02-16,7,7,6.357,8.1223
695941,8,2,8.5091,15.6707,7,4,2014-10-20,7,19,E,2020-03-10,435,443336.46,F,9,2016-07-30,4,1,7.8753,10.1652
475857,2,4,9.4242,12.6592,9,4,2015-04-14,2,37,C,2017-11-03,899,33285.93,R,8,2019-04-24,0,8,12.6501,14.3704
334868,9,5,6.4493,14.9554,8,1,2011-08-02,1,83,A,2019-01-09,202,124321.78,W,4,2020-01-17,0,5,7.1557,14.1481
506863,9,4,2.1436,10.1349,9,8,2012-04-03,9,15,E,2013-07-15,279,67702.1,F,5,2012-08-31,8,7,11.4707,15.0573
810623,4,5,12.6444,17.7941,2,2,2014-06-01,5,76,A,2013-01-09,529,275853.1,R,3,2012-08-13,9,4,10.4764,18.9175
795226,0,6,4.3604,10.5009,9,6,2020-06-26,6,10,C,2020-06-27,471,499032.58,O,6,2017-05-22,2,5,7.6411,17.4429
628974,9,1,14.8874,14.6862,3,9,2010-12-20,5,70,F,2018-09-11,250,111681.85,W,4,2014-02-12,4,7,6.2326,7.338
833079,8,6,5.1645,10.4308,6,9,2020-02-14,5,25,D,2014-10-08,438,135227.99,W,8,2019-11-29,2,0,9.9765,13.8558
488801,4,7,13.839,13.5383,5,9,2011-02-09,3,23,A,2018-04-02,257,303883.93,O,9,2014-06-30,6,4,14.4218,8.1085
164647,6,0,1.8296,7.4564,7,5,2010-08-31,9,23,G,2019-06-08,406,140351.08,W,5,2017-04-15,9,5,13.4549,7.5863
568429,7,8,6.0766,13.9437,2,7,2014-09-30,1,60,C,2016-08-20,291,367191.61,F,4,2012-07-17,3,0,9.9531,6.344
210076,5,1,10.9225,7.5616,8,7,2010-07-28,4,20,E,2017-10-19,706,472344.31,O,3,2015-06-19,2,3,6.2296,7.2447
155974,5,1,5.7294,10.9694,7,8,2018-02-17,9,24,C,2016-02-25,448,492975.42,F,9,2013-02-10,0,4,8.6364,9.0184
374281,2,4,14.798,10.2783,8,3,2011-02-08,9,28,A,2011-04-29,679,413708.48,R,5,2015-03-26,1,1,13.6179,8.5832
746419,1,9,12.5051,14.0027,5,8,2016-02-26,6,37,C,2020-01-16,576,95952.25,W,2,2018-01-10,8,4,14.2562,17.6516
513018,5,6,7.6296,12.957,7,8,2019-03-02,3,80,B,2014-01-01,580,270838.79,F,6,2015-05-12,7,0,7.0594,10.3658
783566,1,5,11.5148,8.9708,2,3,2020-05-22,6,10,D,2018-11-15,459,268223.62,O,8,2020-03-08,7,2,10.9162,13.3901
504022,1,8,2.9569,16.6025,7,8,2017-01-12,2,38,A,2021-09-28,733,22791.55,R,3,2017-01-18,0,0,12.6633,17.5403
357439,0,4,12.8245,11.8541,4,2,2012-08-19,5,47,D,2016-11-22,624,239332.61,F,6,2022-08-23,9,6,13.4951,17.5387
781604,7,6,11.2843,12.6027,2,1,2015-04-29,2,75,F,2012-05-19,630,169994.67,R,6,2019-07-02,4,6,5.2025,14.7746
718813,2,1,9.0546,8.3686,2,7,2011-11-01,8,50,C,2014-06-03,335,17213.23,F,3,2013-01-28,1,0,12.3288,14.0875
214696,3,3,10.4661,13.672,2,2,2010-03-26,2,80,G,2013-08-22,749,233967.24,F,7,2021-01-20,7,6,5.0371,18.1541
571629,4,3,8.3892,14.8851,1,5,2017-05-11,9,49,F,2016-06-23,199,132584.85,W,3,2020-08-04,2,6,6.8639,10.3177
646641,9,8,4.2325,11.7806,3,4,2018-10-17,7,17,B,2011-11-22,259,155918.94,F,1,2013-01-20,6,2,6.4637,18.1301
747098,5,7,4.8397,13.1567,4,8,2010-12-05,1,21,D,2019-01-20,283,159703.55,F,4,2020-02-04,4,4,5.7373,10.0084
607815,4,7,2.9577,17.7908,6,2,2015-05-03,1,81,G,2015-07-12,357,347066.25,O,6,2021-03-17,3,6,6.8154,8.5701
354811,7,8,6.9293,9.2651,6,5,2020-03-29,6,34,F,2014-11-12,454,138670.54,O,7,2019-08-07,2,3,13.1623,13.5908
335286,1,1,10.6472,8.6307,5,9,2019-07-06,9,65,A,2015-09-20,775,173437.05,W,9,2022-06-21,6,2,10.1186,10.6829
370978,1,0,10.6982,12.2043,9,6,2011-12-13,8,90,F,2020-04-02,246,356191.11,O,7,2017-07-19,8,3,5.7102,16.6626
632152,7,9,11.3569,13.6524,4,9,2015-06-05,8,87,F,2017-05-27,739,317732.42,O,4,2022-06-24,4,0,5.2922,11.3589
844204,8,1,3.7265,5.1684,5,8,2013-10-09,5,69,B,2018-01-21,542,271419.95,O,5,2020-10-30,7,1,8.3301,14.5418
181642,7,7,11.7165,15.667,9,9,2020-02-29,1,41,A,2014-07-28,111,471757.06,R,5,2018-09-29,1,6,10.3739,8.5903
604513,0,2,1.0839,9.4584,6,0,2020-12-12,3,27,A,2013-08-05,458,364633.31,O,8,2020-05-20,1,5,9.1331,12.6538
343018,2,5,11.6446,15.5826,2,7,2017-09-01,1,36,E,2011-07-12,107,135547.06,O,2,2021-12-17,3,4,8.6169,14.2866
273073,5,3,9.8085,13.524,5,1,2018-09-06,4,11,G,2012-09-21,171,18507.11,O,9,2014-05-03,1,1,8.4464,15.9791
474439,8,6,14.4897,17.9758,4,1,2012-12-19,2,37,A,2021-11-29,677,324841.04,R,7,2020-06-09,5,2,6.9163,7.6354
139087,5,5,12.9636,6.6281,9,6,2011-03-11,7,36,C,2012-10-03,349,197793.66,R,7,2012-09-15,1,0,6.2377,14.0789
352024,4,1,11.5285,7.2533,9,6,2018-08-03,7,64,B,2021-03-13,501,96579.53,W,2,2015-03-04,1,3,5.6953,12.2964
830596,3,6,8.913,13.8472,8,2,2010-05-10,9,25,E,2016-08-15,799,33896.9,O,8,2020-12-26,1,4,5.2722,9.0249
800830,3,5,13.8325,10.0247,6,7,2019-03-27,9,23,D,2012-06-12,114,41931.77,W,5,2013-10-20,5,7,6.9245,6.0085
291741,4,4,14.8366,9.6509,4,2,2010-02-03,7,49,F,2015-07-24,117,415569.47,W,9,2022-12-19,8,1,9.4309,18.1749
401840,0,9,6.0813,11.0337,4,3,2018-02-10,3,17,E,2018-12-03,841,195080.92,F,2,2019-08-15,2,3,14.6282,14.8459
564311,4,8,5.9806,14.4228,2,1,2016-12-16,8,44,B,2011-09-30,638,290583.79,R,6,2016-07-21,2,9,10.9495,16.3896
601900,1,4,12.5327,6.9053,2,1,2019-01-04,5,28,C,2014-12-12,435,70941.66,R,7,2020-05-24,4,3,12.9532,18.1336
350369,4,4,14.3116,13.8249,6,4,2020-02-19,2,35,A,2019-07-03,713,144802.43,R,3,2019-07-23,5,2,8.0649,5.2307
827130,4,2,8.42,5.4823,6,3,2010-03-01,3,74,G,2019-11-16,313,69573.68,W,1,2013-11-25,1,4,9.2178,8.4157
245184,8,0,12.8472,11.358,6,1,2010-11-30,6,65,F,2013-11-15,694,371038.1,F,1,2017-06-22,4,5,9.0043,7.9809
795693,7,7,14.8371,16.4643,1,8,2019-12-14,4,85,B,2014-10-02,871,442177.38,O,5,2014-10-01,4,0,12.5356,17.2413
248404,1,3,7.8671,17.4744,2,7,2014-08-18,6,47,C,2016-01-13,929,95447.03,O,7,2019-04-03,6,4,5.7281,12.7765
381775,0,9,4.3834,8.2004,5,8,2012-03-14,1,26,F,2017-05-06,243,23154.72,F,5,2018-10-02,9,9,10.4492,8.0535
835483,9,1,9.4991,8.4933,7,4,2015-02-02,3,83,F,2011-01-11,334,248069.67,O,8,2013-02-07,9,8,5.4836,17.3806
856412,0,1,13.5293,12.3318,9,2,2011-04-21,3,72,G,2013-07-21,309,320914.78,W,9,2020-04-29,3,7,5.2642,15.0674
660588,6,6,1.1494,12.6554,8,9,2019-01-12,4,64,E,2014-11-08,799,149521.39,O,4,2022-01-03,6,1,13.7169,6.5275
736497,7,5,11.7445,7.3628,8,6,2010-01-15,3,80,G,2021-03-06,313,366613.57,F,9,2012-12-26,5,5,14.0522,8.686
458577,4,4,6.312,16.1502,4,3,2017-04-07,9,42,G,2013-03-28,783,301832.12,W,6,2022-11-01,3,3,8.6585,7.5535
552900,7,4,13.9295,10.7621,9,8,2018-01-26,5,68,C,2013-04-17,511,461634.96,R,1,2021-10-26,8,4,12.3781,7.7807
605110,5,2,6.6158,7.9687,6,7,2015-09-14,5,43,F,2018-01-31,662,259240.71,R,1,2016-11-14,4,4,6.4713,5.5732
142792,8,9,3.2559,13.0695,6,2,2013-02-04,2,23,E,2013-02-09,739,181818.19,O,4,2021-05-08,6,5,14.6101,8.4798
147282,1,2,2.9484,14.9536,5,0,2016-08-30,5,80,A,2013-07-24,830,60290.01,R,8,2020-09-09,7,8,6.8284,6.2579
293824,0,1,14.8026,12.9949,7,5,2017-03-15,8,73,E,2019-11-01,757,333138.89,W,5,2022-12-18,7,8,13.4011,16.7848
124018,4,0,3.5326,12.2969,7,0,2017-11-21,9,15,E,2011-10-31,791,425837.04,W,7,2019-02-28,3,9,13.0857,12.6592
487288,0,3,1.6551,9.3373,4,3,2016-09-03,7,90,D,2018-06-11,548,239202.5,F,9,2020-01-17,3,9,9.8795,15.3439
426421,4,6,2.965,13.2451,4,7,2018-08-10,9,43,F,2016-05-09,394,93412.43,W,9,2015-08-27,9,0,10.553,18.3775
131713,7,8,5.5027,6.7768,4,5,2018-05-10,2,47,E,2014-05-26,258,224639.33,R,9,2018-06-15,1,9,6.1149,13.0872
273087,0,1,10.1062,7.3693,8,2,2016-11-06,2,17,D,2011-11-20,701,170573.96,W,9,2017-02-28,0,5,6.1211,16.0707
617138,5,9,2.6465,6.2637,5,4,2014-08-23,7,23,B,2011-08-04,183,168744.32,F,1,2015-06-15,2,5,5.0235,13.3516
733176,4,7,8.6029,5.2763,2,7,2015-08-20,6,74,B,2018-01-11,185,445477.81,F,6,2015-01-16,1,2,14.7,16.925
344424,6,0,13.0157,6.1045,6,8,2014-11-17,4,25,A,2011-09-22,863,71896.03,W,9,2014-12-21,5,4,13.0768,18.3016
706321,3,4,7.1075,8.9093,3,2,2015-02-26,4,84,G,2012-11-03,205,374352.73,R,7,2015-04-11,6,0,10.0993,18.8123
400621,6,2,11.2626,16.925,7,9,2015-11-18,1,14,G,2021-10-10,170,38322.04,O,5,2014-09-02,8,5,9.7319,16.1878
124529,2,7,10.1549,17.6818,6,3,2014-04-22,4,44,D,2014-02-03,146,395180.41,R,1,2018-12-05,5,8,10.0047,15.1841
545692,3,2,1.0921,7.918,1,4,2013-05-13,6,75,E,2021-06-21,328,46522.94,R,6,2020-05-10,6,0,6.0637,17.3376
602850,2,5,10.6993,9.5882,5,0,2020-06-04,7,62,B,2012-09-30,612,475213.69,R,7,2015-11-29,0,6,10.7692,17.6514
773895,7,6,3.6308,16.0296,9,1,2020-10-27,7,30,A,2017-07-24,679,410458.03,R,2,2019-04-03,0,1,13.577,18.1116
524031,5,1,7.9274,16.3642,4,6,2011-07-01,8,42,C,2014-10-07,260,476575.38,F,7,2016-05-06,9,0,14.6521,18.2895
736910,3,4,1.5724,10.9158,8,1,2010-08-15,1,61,E,2020-06-02,634,266255.12,F,2,2019-01-05,0,7,5.777,8.8895
621151,7,7,4.1591,13.5524,8,8,2012-02-21,7,40,E,2019-05-03,404,66405.53,O,2,2013-05-31,3,9,13.5871,14.9983
396499,4,1,11.3686,16.7562,2,0,2011-12-07,4,41,G,2020-01-18,930,263840.12,R,1,2021-09-08,5,3,8.1055,14.3163
798126,1,6,14.7255,14.2507,3,5,2016-03-25,5,75,D,2017-03-15,794,400443.47,W,1,2022-11-27,0,8,6.0214,10.6612
269757,3,3,14.1595,10.0581,1,9,2017-05-09,7,74,A,2021-04-16,817,241183.05,R,6,2018-04-30,2,0,5.6397,9.372
427045,0,5,7.8853,17.6554,4,8,2014-08-11,4,11,B,2015-02-16,319,98140.16,R,6,2021-01-19,4,3,12.8336,7.1307
885336,6,1,9.5886,5.4148,3,2,2014-12-07,3,84,A,2011-12-03,238,374741.09,R,9,2019-02-12,8,8,13.6271,12.9607
689734,7,9,7.8795,14.1648,7,4,2015-02-21,7,70,A,2021-08-13,624,498340.35,R,5,2017-01-19,9,1,13.2706,7.1069
551456,9,0,7.5811,9.6664,2,0,2016-11-10,1,65,G,2011-03-27,484,153603.32,W,9,2013-12-09,1,6,8.6762,5.866
210036,9,9,3.5114,10.8082,6,8,2020-01-20,3,41,G,2019-07-27,157,297480.47,W,3,2013-02-16,8,4,6.0386,13.3144
736933,4,8,4.6335,14.8926,7,4,2011-09-25,9,68,A,2013-06-26,433,109532.47,R,3,2014-09-24,7,9,10.0663,12.668
579374,2,0,3.8096,7.9176,9,8,2018-11-07,6,78,A,2017-11-13,717,220665.03,R,4,2017-11-14,5,8,9.7126,14.4224
606429,6,2,11.9694,15.9053,9,3,2013-02-03,5,28,A,2018-03-22,141,112232.18,O,8,2021-04-03,6,4,9.3891,7.3027
113858,8,8,1.5699,10.4427,3,3,2018-03-29,9,52,A,2019-05-30,495,150352.51,W,4,2012-08-13,0,2,13.0139,15.2738
870513,2,1,1.3388,14.0498,6,7,2013-01-02,6,24,A,2011-10-31,317,12869.59,O,8,2021-11-28,4,3,11.0964,16.0535
436528,0,4,12.5183,6.1348,1,6,2019-09-19,8,20,G,2020-06-18,185,132584.23,O,2,2014-02-10,1,7,14.6302,7.2311
686060,6,1,12.9774,7.7315,7,5,2014-09-29,3,82,G,2014-02-09,177,195188.41,R,1,2021-04-22,7,6,13.4077,11.2034
481268,1,4,9.1318,12.5794,2,2,2020-07-28,9,25,A,2017-09-18,888,241995.81,R,1,2015-01-31,5,9,10.6122,18.18
730889,1,4,3.9081,5.1319,1,2,2012-05-11,9,41,C,2017-10-04,853,49954.56,R,2,2019-05-11,2,3,9.8311,8.8745
622194,4,2,11.9112,10.588,1,9,2012-09-17,3,79,E,2020-12-23,701,305254.7,R,8,2012-03-23,0,0,6.4986,18.1544
116165,1,6,13.9416,15.4339,3,2,2012-11-13,3,19,G,2019-11-02,787,271887.69,O,6,2016-01-06,1,4,10.0409,9.8741
863463,1,0,10.0725,9.1359,6,9,2010-07-19,6,15,F,2018-07-03,335,163839.54,R,4,2014-06-28,7,3,10.891,10.3317
154947,2,9,8.6419,8.9555,1,4,2015-05-19,5,81,A,2014-10-15,262,56405.47,W,2,2014-03-21,7,2,7.0285,17.389
