INT-RATE-BORR,INT-RATE-BORR-1ST,APPLTN-CDE,FULLY-PD-CDE,FULLY-MTURD-CDE,ADVNC-UNCLSD-CDE,ACT-COLLCTN-ONLY-CDE,ASSOC-TYP-NOTE-CDE,PURCH-CDE,NBR-PYMTS-AMORTN,INSTLMTS-INT-ONLY-CNT,SALE-STAT-CDE,FIXD-PRD-INIT-LGTH,MORT-HLDR-CDE,YR-LN-CLSD,DTE-LN-SLD-OR-PLDGD,FMHA-DIR-TO-INSRD-CDE,DTE-CLSG,DTE-LN-EXPRTN,LN-AMT,RECVRBL-CST-CHGS,PRIN-CR-LN,INT-CR-LN,INT-FCL-LN,SCHED-STAT,PYMT-EXTRA-AMT-CUM,CR-NON-CSH-APPLTN-TYP-CDE,CR-NON-CSH-LST-AMT-APPLD,DTE-LST-NON-CSH-CR,DTE-LST-CSH-CR,DTE-NEXT-INSTLMT-DUE,INSTLMT-DUE-NEXT-AMT,INSTLMT-NEXT-TYP-CDE,MTURD-CDE-DIR-RE,DTE-INSTLMT-DUE,INSTLMT-DUE-AMT,INSTLMT-TYP-CDE,SUSP-CDE-LN,DTE-LST-RGSTR-DTL,RGSTR-TYP-LST-CHNG,LN-NBR-OLD,INT-ASSTNC-CDE,WRTF-CDE
4.0959,8.7005,3,1,1,1,0,0,U,183,3,3,46,63,20,2012-12-01,0,2015-07-10,2049-01-23,731725.72,48403.83,31487.35,34184.02,44271.84,45504.89,58906.08,F,79877.32,2013-07-18,2014-04-04,2014-12-25,1425.01,2,5,2022-02-23,2540.65,Q,9,2010-09-16,26,90,1,A
9.3842,7.7444,3,1,2,2,0,1,D,218,2,1,49,75,20,2012-12-17,1,2015-10-02,2046-06-01,2075101.85,43078.45,11955.31,31062.54,13704.45,10294.59,39135.37,M,68784.55,2018-11-10,2016-07-13,2019-10-14,1700.54,2,7,2016-12-03,2760.42,M,6,2012-05-30,23,67,3,C
13.5398,9.0784,2,1,0,2,0,0,D,176,5,1,35,69,20,2018-02-25,0,2017-12-14,2051-01-29,2208417.01,11182.8,28909.29,25394.84,17241.16,10811.95,50018.52,O,42499.09,2019-05-11,2014-03-04,2016-12-04,1283.89,4,7,2019-02-26,3498.73,A,9,2011-11-09,29,30,3,T
2.0809,10.7504,2,1,1,1,0,1,V,180,3,4,44,66,20,2017-05-24,0,2014-12-17,2047-08-23,4043768.84,19473.24,21654.98,49669.76,26582.38,26610.17,27916.93,Y,52635.94,2014-11-23,2016-04-01,2015-05-25,3904.18,2,5,2014-05-25,1295.4,Q,7,2011-06-15,26,43,1,R
10.8805,12.6423,3,0,2,0,0,1,D,097,3,3,12,62,20,2014-08-16,0,2020-06-08,2049-04-04,2277017.67,15861.03,37187.35,11465.27,46867.5,21297.06,64933.48,U,65140.33,2018-05-13,2016-04-24,2017-10-15,3106.0,6,5,2019-01-10,1313.81,S,7,2016-10-18,28,97,3,L
8.1743,3.4238,1,1,0,1,1,1,C,226,3,2,34,72,20,2012-10-25,0,2013-01-22,2050-10-22,1060634.82,35867.78,21519.13,41092.93,33463.72,46645.06,44671.14,I,49249.3,2014-03-22,2018-08-11,2014-06-01,1199.72,1,4,2022-12-03,1179.82,Q,6,2010-07-08,27,33,1,P
6.8834,13.8081,1,1,2,3,0,1,S,080,3,1,30,64,20,2018-05-10,1,2018-08-11,2051-07-15,620109.26,34828.55,42437.89,39616.18,12506.27,49373.78,42783.8,I,30702.5,2015-04-07,2016-03-06,2017-06-12,2595.8,6,6,2019-04-22,1653.26,W,8,2018-06-13,26,63,2,S
11.0478,10.9358,1,1,0,3,1,1,T,090,3,3,37,70,20,2014-09-09,0,2013-02-05,2050-07-27,4499231.08,43255.57,25628.42,46193.79,36061.71,43963.76,44323.22,R,51637.78,2019-10-30,2013-10-21,2018-03-12,2154.79,1,4,2016-06-06,1206.82,M,8,2017-02-06,32,10,4,Z
4.3253,7.9112,3,1,1,1,1,1,V,179,2,3,34,67,20,2016-10-28,1,2014-09-28,2043-01-28,3982222.86,10480.4,10590.47,45441.1,28502.3,34759.77,63223.93,H,39169.28,2013-11-13,2014-05-11,2017-12-16,3705.74,4,4,2022-12-05,3146.56,S,7,2011-08-27,35,53,3,E
10.6187,13.7187,2,0,2,3,0,1,T,214,2,4,11,78,20,2016-07-02,1,2016-05-05,2042-03-17,3251813.73,32795.61,28341.89,31910.98,18376.7,42325.84,54704.18,I,85155.2,2013-11-07,2014-08-17,2017-09-17,1116.95,5,5,2014-08-03,3569.36,A,9,2020-03-28,31,81,3,Z
12.0504,7.923,3,1,1,3,0,0,V,180,2,1,13,67,20,2018-01-20,0,2018-12-10,2047-07-11,4861189.81,43057.99,41915.02,31031.7,43362.61,30204.8,32528.17,A,59408.3,2018-11-17,2016-08-03,2016-11-15,3171.47,3,4,2014-08-19,1267.84,A,5,2015-07-14,37,63,3,D
5.321,3.92,2,0,0,2,0,1,V,194,1,1,35,60,20,2018-12-26,1,2020-06-18,2050-03-02,4851098.99,13280.46,28957.98,47728.54,22404.12,24387.6,65689.87,X,81763.87,2013-11-03,2016-09-13,2016-09-03,1285.93,1,4,2016-01-29,1034.57,Q,9,2019-02-09,22,63,2,I
12.2534,5.2535,2,0,0,0,1,1,V,260,3,1,39,80,20,2015-03-27,1,2019-01-23,2041-03-31,2954703.59,20465.58,32973.56,26967.56,46064.1,29447.62,35194.08,F,31337.9,2017-07-04,2015-10-10,2019-12-09,1871.45,3,7,2016-11-17,2300.91,S,9,2019-07-14,27,57,1,Y
1.1956,2.3686,3,1,0,3,1,0,C,055,4,4,26,78,20,2018-08-17,0,2014-08-23,2049-08-05,3143345.76,22674.98,13216.94,49275.41,23864.89,48639.56,41501.16,I,52950.57,2015-07-22,2019-11-03,2018-06-10,3562.63,5,6,2017-10-16,3989.91,W,9,2011-04-07,27,64,2,E
5.2909,14.4429,2,0,2,2,1,0,V,205,1,4,27,67,20,2021-04-03,0,2016-05-02,2048-08-18,1554166.28,15920.55,27854.91,34006.67,20842.86,47327.56,22386.56,S,49380.6,2019-06-04,2017-06-23,2017-10-18,2425.28,4,4,2015-03-29,3600.49,S,8,2016-08-24,29,13,3,X
8.8155,3.6434,3,1,0,0,0,1,C,028,2,4,28,70,20,2012-07-30,1,2012-09-04,2046-05-29,2863318.53,40298.69,42516.28,20837.35,40666.67,42366.94,56596.69,J,40957.96,2015-03-11,2018-01-07,2013-08-11,3284.19,4,4,2014-07-10,2798.34,M,5,2012-12-17,29,28,4,T
9.8312,14.999,2,1,2,2,0,0,S,186,4,4,46,68,20,2019-03-23,1,2014-10-19,2042-07-15,4100095.58,47090.31,49012.59,34987.63,28311.57,39007.72,39394.75,K,74581.01,2013-04-08,2015-02-05,2018-04-18,2863.23,6,7,2022-09-18,1780.08,W,9,2017-12-04,20,41,4,L
3.6448,1.0831,1,1,0,3,1,0,D,085,1,1,45,77,20,2019-12-11,1,2013-03-07,2047-02-02,4134811.25,31762.65,29585.12,12017.19,15461.79,24216.79,57813.7,R,67034.12,2015-04-05,2014-01-15,2018-10-24,3677.55,6,5,2022-08-21,2542.14,A,5,2015-11-06,20,59,3,R
2.7993,4.5746,2,0,2,2,1,1,V,281,1,2,32,71,20,2021-11-12,0,2019-09-26,2044-03-04,1400555.85,37970.21,43725.15,13267.59,27624.44,22227.03,57027.55,Q,55126.15,2015-05-30,2015-08-29,2013-05-01,1054.06,4,5,2018-12-16,2255.16,Q,5,2018-05-29,24,97,4,F
12.5351,6.3319,1,0,1,3,0,1,V,020,5,2,23,72,20,2015-10-28,0,2019-11-30,2045-08-12,214559.2,39164.23,21171.82,49403.05,32604.19,37396.22,22095.79,X,80856.89,2019-09-06,2013-09-22,2017-05-16,2829.36,2,7,2018-08-29,2859.91,M,9,2018-01-16,28,30,4,B
13.268,8.3669,2,0,0,2,1,1,D,241,1,4,28,78,20,2017-11-10,0,2012-05-19,2044-04-16,1529052.28,47434.65,28365.04,20717.22,11566.09,49048.18,25410.25,N,68255.29,2017-12-27,2013-08-27,2016-09-06,1824.94,5,7,2014-09-07,2225.8,Q,9,2011-09-17,38,10,5,A
9.6052,1.3854,3,0,2,2,0,1,C,147,3,1,11,68,20,2013-04-17,1,2012-11-14,2041-04-29,4539564.03,29084.47,10666.62,48628.05,23580.94,15623.96,57817.7,U,59740.54,2017-07-21,2013-01-13,2014-04-23,1665.9,1,7,2014-08-16,1536.0,W,5,2010-06-08,30,76,4,I
3.6309,2.2305,2,1,0,3,1,0,T,258,3,1,41,68,20,2017-02-19,0,2016-05-22,2051-06-02,143486.21,34011.65,45973.07,27163.96,13855.8,43228.51,40271.5,K,83563.48,2014-10-16,2015-02-23,2018-01-06,3557.07,5,4,2013-11-20,2630.11,M,9,2015-07-14,36,45,5,J
6.5235,8.2487,1,1,2,3,1,1,D,050,1,2,22,68,20,2021-03-23,1,2011-06-18,2047-07-03,3380647.92,33140.12,38156.57,25613.28,26451.22,22471.67,51995.1,J,35661.74,2013-09-13,2013-12-27,2019-10-22,1044.13,1,7,2017-01-20,3183.26,S,9,2018-02-27,20,21,4,T
5.9459,2.0796,1,1,2,2,1,1,C,043,5,1,16,62,20,2012-03-08,1,2014-12-03,2047-04-12,4501667.31,22627.38,40329.8,17520.5,36068.92,27640.67,59660.81,K,40911.19,2013-05-07,2019-06-19,2016-03-01,2565.05,1,6,2016-04-29,1359.3,M,9,2012-05-03,30,09,5,G
8.5477,6.9405,3,0,0,1,1,0,D,217,2,4,13,75,20,2017-03-24,1,2018-01-21,2049-08-10,240741.42,26107.21,42046.99,33282.94,27642.71,14280.93,22674.66,D,81972.11,2019-05-01,2015-04-29,2017-05-31,2440.84,6,5,2020-09-22,3176.49,S,8,2014-07-20,23,79,2,T
5.2511,7.9689,3,1,2,1,0,1,S,190,1,1,41,68,20,2018-07-18,1,2012-01-07,2051-10-30,461843.45,17166.0,33003.04,20438.44,39200.29,19522.74,57578.26,W,68120.32,2019-02-08,2015-07-17,2015-03-29,1367.48,4,6,2020-06-14,2496.75,M,6,2016-12-18,39,80,3,G
14.2493,9.8554,3,0,0,2,1,0,T,131,2,1,15,69,20,2020-09-27,0,2011-08-09,2050-02-02,2474401.85,37941.26,18223.35,35118.51,23542.87,42346.33,35369.28,G,89420.53,2017-10-07,2014-03-06,2016-05-09,3851.08,4,7,2013-02-18,2469.31,A,6,2014-03-09,20,45,5,S
1.1313,8.3854,3,0,1,2,1,1,U,198,5,1,33,66,20,2019-12-12,0,2015-07-30,2049-05-03,2633384.73,49574.54,40911.46,30593.6,37465.67,12554.53,36973.87,U,86560.46,2017-05-14,2013-02-25,2013-09-19,2006.29,4,5,2014-11-06,3690.82,Q,6,2011-10-28,30,74,2,Y
4.7751,9.3498,1,1,2,3,1,1,D,165,2,2,16,72,20,2021-08-24,0,2015-05-01,2045-12-14,4735375.32,11021.5,48397.68,27516.24,48616.67,20986.83,49747.46,T,76543.24,2017-02-18,2017-01-16,2015-12-21,2179.57,2,4,2013-10-18,1929.77,S,8,2010-10-21,26,70,2,C
7.4777,4.8183,2,0,2,1,1,1,V,057,1,4,50,77,20,2011-08-09,0,2012-04-01,2044-11-23,4363342.05,11697.12,26499.62,44185.09,15599.43,19390.52,36921.94,O,64152.21,2013-08-06,2013-02-26,2015-06-18,2763.27,2,7,2019-10-30,3083.84,A,7,2011-12-03,36,65,2,F
1.2771,8.2687,3,1,0,0,1,0,S,092,4,1,27,78,20,2013-09-16,1,2015-07-08,2050-02-07,1609768.23,29170.73,21998.06,19492.21,27570.84,27641.51,67876.4,D,52808.84,2019-12-11,2016-04-08,2019-11-01,2354.19,2,4,2021-06-23,3646.38,A,8,2016-08-27,35,68,3,K
6.6085,7.6658,3,0,2,2,1,1,S,249,5,4,26,80,20,2019-07-19,1,2019-12-24,2047-03-20,1291798.17,38112.36,29004.82,22806.1,22850.99,34459.01,28400.56,J,65765.07,2017-02-01,2017-12-20,2017-05-30,3919.74,5,7,2020-07-28,2596.75,Q,8,2019-06-11,24,47,5,E
11.7133,4.352,1,1,0,2,0,1,S,226,5,2,27,61,20,2019-06-06,0,2013-10-11,2050-12-20,1568577.87,22567.71,39795.81,45849.68,13573.67,41426.06,42215.84,C,82246.14,2018-01-12,2015-02-09,2013-01-21,2485.77,5,4,2012-01-21,3792.57,A,9,2015-09-04,27,73,4,O
9.1825,3.4969,3,1,0,2,1,0,U,017,5,1,32,70,20,2014-11-21,1,2016-01-29,2047-01-03,560071.65,30183.55,49466.41,15090.22,40077.81,40373.41,34671.06,C,59121.82,2016-07-16,2017-03-12,2019-07-14,2261.49,4,6,2018-05-22,3760.55,W,7,2014-08-07,35,91,3,L
6.0228,1.0027,3,1,0,0,0,1,T,084,2,1,22,73,20,2019-03-30,1,2014-12-30,2045-11-16,536994.39,34876.86,24154.87,36068.15,23513.12,36788.17,26341.59,L,68560.66,2014-11-09,2015-07-28,2013-06-15,2544.29,5,6,2018-02-11,3425.85,S,9,2012-03-07,24,17,1,X
14.1275,5.3161,1,0,1,1,1,0,C,086,5,4,40,68,20,2020-03-26,0,2019-03-17,2046-11-16,1148561.07,29056.28,38694.68,47303.82,47917.78,33274.62,41496.53,J,55500.28,2015-11-22,2015-08-30,2016-11-14,2035.71,3,7,2022-04-01,1912.62,W,8,2017-12-19,29,44,1,F
1.023,12.6896,1,1,1,1,0,1,T,194,2,2,35,72,20,2019-09-09,0,2018-08-25,2043-06-23,2968945.98,31555.7,27295.36,12711.27,47747.29,11593.37,20128.91,E,32631.47,2014-12-31,2016-02-05,2014-03-17,1800.46,6,4,2022-10-01,3460.57,A,6,2019-09-16,36,65,1,C
9.205,1.3389,2,0,2,1,1,1,U,069,3,2,43,79,20,2015-12-12,1,2012-03-06,2048-01-15,485306.7,43246.56,34990.37,30591.38,14908.44,41029.56,59038.65,C,74303.18,2016-09-19,2018-05-04,2014-09-05,3558.34,4,7,2022-09-06,2981.79,A,5,2019-12-22,35,89,4,X
10.9063,2.1487,2,0,1,1,1,1,D,214,6,3,21,80,20,2014-08-20,0,2013-01-18,2048-10-14,4103468.81,22712.03,49452.04,49165.14,16561.13,30369.46,36256.48,B,80525.36,2013-09-30,2015-03-03,2016-04-23,2864.32,5,5,2015-11-27,2745.11,W,7,2019-08-09,21,47,3,S
10.4173,5.5693,2,1,2,2,0,1,D,032,2,3,45,61,20,2012-11-23,1,2020-11-01,2041-09-01,156679.14,11365.1,19543.93,21401.32,36595.94,32434.14,21780.6,O,72863.85,2017-03-28,2015-10-07,2014-06-04,2492.24,3,7,2018-06-27,2110.66,Q,6,2011-01-02,36,22,1,J
1.8427,6.8679,3,1,2,2,1,0,T,167,3,4,12,78,20,2012-10-19,1,2019-06-12,2049-03-18,1904438.01,38223.57,23511.1,46333.55,42035.63,10963.88,51772.23,Q,68466.02,2017-04-19,2018-06-12,2016-07-10,1911.61,1,5,2021-07-30,2027.73,A,9,2015-09-26,38,70,2,Y
4.5434,11.2682,1,1,0,0,0,0,D,157,1,2,42,76,20,2013-07-02,0,2018-02-09,2044-09-29,2655825.23,20506.07,24119.86,14259.13,28538.47,16589.94,67298.07,N,59535.67,2019-07-15,2019-06-15,2014-10-10,2351.57,3,7,2018-02-11,1009.49,Q,9,2011-07-26,33,45,5,U
14.6859,7.0085,1,1,0,3,0,1,T,039,1,4,48,75,20,2019-04-07,0,2014-10-14,2045-11-04,980326.17,48879.17,31426.97,28718.95,45044.94,30933.45,23800.67,L,63714.98,2018-08-24,2016-09-14,2018-11-10,3093.99,2,4,2020-05-12,2405.34,A,8,2019-05-21,32,58,2,C
4.7657,10.6652,2,0,1,0,0,0,U,068,6,2,22,62,20,2011-09-20,1,2017-01-05,2046-01-11,4962486.36,41532.5,42463.12,34127.44,44249.86,42518.11,45262.74,B,67606.71,2017-12-15,2017-04-15,2018-05-01,2965.96,6,7,2015-01-23,3250.13,W,8,2017-08-21,40,04,4,U
13.8782,8.506,2,0,0,3,0,1,C,085,6,3,35,71,20,2015-03-02,0,2017-10-15,2049-05-20,3750544.56,11611.02,37122.26,32800.73,49318.28,12895.51,30990.09,M,86186.49,2017-08-07,2016-09-11,2016-07-29,1360.21,2,5,2013-09-29,2083.82,S,7,2014-12-07,37,64,5,W
8.4584,8.072,1,1,0,1,0,0,V,107,3,2,22,64,20,2019-11-27,0,2014-02-09,2042-09-17,1815362.01,26653.39,19891.46,14855.56,31395.03,27949.3,64314.3,R,53882.2,2016-10-21,2019-11-20,2014-05-29,1846.15,2,6,2020-08-01,1603.24,S,6,2012-07-16,30,68,2,Z
13.535,4.9413,3,1,1,2,0,1,U,216,3,2,10,78,20,2018-07-28,1,2013-09-25,2048-01-20,2736754.46,42380.31,45052.77,43533.02,28186.07,34055.23,61205.84,S,47428.84,2018-08-03,2017-05-04,2013-06-30,3564.16,5,7,2022-02-17,2462.24,Q,9,2013-08-25,27,82,1,Y
12.498,1.7513,2,0,1,1,0,1,C,168,4,3,26,71,20,2014-10-07,0,2017-08-05,2041-10-23,3459321.61,42983.94,30562.03,41669.57,44311.66,44455.83,61604.57,G,78604.95,2017-09-25,2018-06-17,2019-07-26,2215.67,5,4,2013-12-09,2110.88,A,6,2018-01-06,23,35,5,O
10.3266,1.4011,1,1,2,1,1,1,T,089,2,4,48,79,20,2012-09-26,0,2020-04-19,2044-09-14,2878907.05,31739.78,31213.87,25718.87,25662.9,41111.96,61987.05,E,88705.28,2019-03-05,2014-02-15,2013-01-28,1688.12,5,5,2021-09-27,2918.02,A,5,2010-11-28,25,62,4,L
4.0333,13.4752,2,1,2,3,1,1,V,200,1,4,26,62,20,2011-11-29,0,2017-03-14,2043-12-07,3362135.65,37171.48,30395.31,38380.76,40163.53,11732.93,61672.55,X,46316.71,2017-06-11,2016-01-18,2014-10-07,1386.69,1,6,2021-12-07,1470.9,A,8,2012-02-03,39,53,2,I
5.9824,7.5813,2,0,2,1,1,0,U,086,6,1,47,71,20,2021-12-26,0,2021-12-13,2049-04-02,3930632.42,14733.29,40792.78,48630.58,18521.3,17899.4,36482.29,X,65126.75,2016-09-24,2015-03-25,2013-01-30,2186.25,5,6,2014-05-26,2416.84,M,5,2020-10-02,31,13,5,L
9.9879,14.0913,3,0,2,0,0,1,D,270,1,2,34,78,20,2019-02-12,0,2017-04-03,2041-05-01,2868514.33,35920.47,19211.0,18566.8,27685.5,44761.31,51071.0,W,89477.36,2017-02-03,2019-09-13,2015-08-29,2965.45,5,4,2019-05-14,1427.83,W,7,2015-06-02,20,71,5,C
6.6144,1.8803,1,0,0,0,0,0,V,020,3,1,38,74,20,2014-10-15,0,2012-11-20,2049-08-06,2978651.42,11713.1,39449.63,28230.34,22581.44,24766.96,39699.01,A,57162.31,2015-09-12,2015-01-24,2013-06-22,2698.12,5,4,2022-09-06,1866.97,W,6,2013-10-27,24,38,3,Y
13.1812,3.2954,1,0,1,1,1,0,V,048,5,4,27,79,20,2013-03-12,0,2015-11-22,2044-08-18,3678787.69,42850.61,30190.0,43674.74,42735.98,42726.42,66309.99,Z,38021.78,2013-07-30,2015-10-22,2019-10-10,1222.8,1,5,2016-12-18,3471.57,S,5,2012-12-13,36,73,3,Z
14.8116,12.3704,1,1,1,0,0,1,D,107,4,1,38,63,20,2018-10-29,1,2011-07-15,2042-05-22,1687733.37,34899.17,49500.88,20492.95,41355.22,44662.24,64261.55,I,54042.18,2018-12-31,2014-08-13,2015-09-22,3907.97,4,4,2016-10-06,3489.65,S,9,2016-11-07,40,34,1,S
5.6967,11.7148,3,0,1,1,0,1,V,284,5,1,36,79,20,2020-01-20,1,2014-11-16,2049-04-12,3913690.29,17049.29,41376.85,23811.1,32060.31,18018.3,51814.75,I,56691.88,2015-04-07,2018-07-18,2019-09-27,3289.28,5,7,2019-07-31,2150.99,W,7,2020-07-10,23,03,5,H
6.5996,1.8046,1,1,2,3,1,1,V,233,6,2,33,65,20,2019-05-19,1,2019-01-01,2050-09-05,159725.65,47941.65,21702.48,29868.03,10301.76,43665.45,39505.47,P,85927.28,2014-03-21,2013-03-19,2014-06-28,3894.98,5,7,2013-12-20,1213.86,W,5,2015-01-03,38,55,5,E
9.393,6.526,3,0,1,1,0,0,D,268,6,1,30,61,20,2012-08-21,0,2021-12-21,2045-03-28,2803034.75,49385.94,43193.0,40933.94,42641.06,25109.2,31641.94,O,41410.31,2016-07-16,2017-01-26,2015-04-04,3504.73,3,5,2016-06-19,2493.83,Q,7,2013-09-17,37,05,5,T
10.6616,13.1969,3,0,0,0,1,1,D,058,3,3,31,67,20,2011-03-23,0,2021-09-22,2050-11-04,1810987.74,30360.65,16515.75,32110.51,38716.56,13614.02,47335.52,R,33039.16,2013-01-17,2018-04-05,2015-06-26,2455.41,4,7,2021-02-14,1042.53,A,5,2019-10-23,38,24,2,J
4.5,11.5244,3,1,1,1,0,0,T,153,2,2,13,65,20,2015-05-17,1,2013-06-21,2046-04-23,4686023.33,40061.23,49848.99,26389.12,30460.2,20680.94,53548.94,A,72313.73,2017-03-05,2013-01-11,2018-09-03,3780.97,2,4,2022-02-09,2200.93,S,9,2011-06-12,26,51,4,D
9.1999,7.9736,1,1,2,0,0,1,S,227,5,1,40,71,20,2019-10-30,0,2011-02-03,2045-11-17,1902509.69,18364.21,24716.44,40656.88,45589.79,37665.9,52313.68,N,89434.89,2013-02-07,2015-05-01,2015-07-09,2393.41,3,5,2018-08-03,2289.83,S,9,2019-08-31,30,68,4,D
3.4944,8.8648,1,1,1,2,0,0,T,243,5,3,26,65,20,2020-06-22,0,2012-07-25,2046-04-21,769925.25,31633.88,20445.13,20328.55,45428.11,18659.17,46945.41,Z,56281.32,2017-08-15,2013-01-06,2014-05-07,2120.87,2,7,2014-04-09,2346.43,S,9,2012-01-12,24,89,2,K
2.0835,4.3168,3,0,2,0,0,0,S,212,6,1,47,65,20,2017-01-02,1,2020-08-26,2045-03-07,4129954.45,31863.0,29667.79,43159.26,38409.84,38390.94,63898.84,H,75304.59,2015-04-18,2016-08-13,2016-03-27,1483.27,1,4,2014-10-11,1800.87,Q,6,2011-01-28,22,96,1,K
6.1649,9.7595,3,1,2,0,0,0,U,046,3,3,27,73,20,2013-03-12,1,2021-04-10,2043-10-07,1400906.52,23734.05,44769.11,12888.77,22776.65,44235.49,58651.03,C,56703.99,2015-11-27,2017-12-05,2015-10-11,3738.4,1,7,2022-04-28,3885.17,Q,6,2010-09-16,24,17,1,G
11.6303,10.0583,1,0,1,2,0,0,C,020,6,2,10,73,20,2017-03-29,1,2021-03-08,2049-01-27,1398744.68,33163.64,46757.8,33611.12,40745.22,35603.03,40445.39,K,73099.03,2016-09-22,2019-07-02,2015-03-23,3369.04,4,6,2015-07-26,2259.06,W,7,2016-04-02,39,88,2,O
1.8953,7.8106,2,1,1,3,1,1,V,129,5,1,23,70,20,2013-06-11,0,2017-06-15,2046-08-23,2756104.1,44454.24,16401.39,40248.61,24227.14,46936.88,34308.93,U,50655.12,2015-06-30,2017-12-29,2019-06-11,3077.74,5,4,2014-07-21,1606.11,Q,5,2011-03-20,29,77,3,H
12.25,8.371,2,1,2,0,1,1,D,072,6,3,44,64,20,2019-05-12,1,2017-06-14,2042-07-21,2809133.81,34897.87,20530.02,24786.0,45260.36,28879.21,32947.26,S,76697.49,2019-08-05,2017-11-18,2013-03-27,1310.57,3,6,2014-09-03,3669.7,W,9,2015-06-13,40,16,2,Q
1.908,9.4127,3,1,0,3,1,1,T,038,2,1,17,76,20,2020-11-09,1,2021-04-15,2041-09-14,4033385.21,30768.73,21148.22,26883.47,48638.41,12168.42,45484.28,G,39346.97,2019-03-15,2014-11-28,2014-12-06,2939.98,4,6,2020-02-10,2925.42,W,9,2016-05-08,23,80,1,Z
1.465,10.16,2,1,1,3,1,0,V,070,1,1,17,76,20,2011-09-27,0,2018-08-29,2049-11-18,961279.6,44161.75,34930.32,45074.06,37929.45,31830.23,31658.71,M,51491.98,2017-10-01,2015-04-23,2018-01-14,2298.22,2,6,2016-01-05,2772.74,A,5,2019-08-08,32,91,4,O
5.6415,4.0542,2,0,2,0,1,0,T,247,6,4,46,68,20,2014-03-29,1,2016-11-14,2041-09-08,1474424.1,11348.04,13801.72,28189.61,45694.01,42334.55,69445.87,H,60290.77,2019-05-19,2017-07-28,2017-08-29,1114.43,1,5,2013-07-16,3243.33,A,9,2018-10-02,40,27,1,C
3.1091,5.6867,1,0,1,0,0,1,T,143,5,4,19,80,20,2014-05-23,0,2012-10-01,2048-08-21,1896105.63,29364.7,48843.36,36892.17,18846.86,24207.74,57558.4,M,33303.56,2014-03-05,2016-05-17,2016-10-13,3494.15,2,5,2015-12-01,2857.84,S,7,2020-12-10,32,18,3,N
12.2004,11.0678,3,1,1,3,1,1,U,253,1,4,31,69,20,2019-11-16,1,2016-05-11,2045-04-11,3673783.99,40044.24,17576.67,21125.99,26880.58,46497.86,41221.18,N,34807.63,2016-04-08,2013-02-07,2016-06-14,3673.9,1,4,2018-11-07,3257.6,W,6,2017-08-30,36,26,2,V
8.2001,8.6029,2,1,0,1,1,1,V,181,1,3,35,80,20,2017-01-07,0,2020-10-05,2049-05-20,1497180.43,17178.86,26877.24,48622.4,29345.7,22108.24,60182.04,X,56391.27,2019-09-28,2013-06-11,2017-06-03,2669.42,2,7,2020-11-21,3548.02,A,7,2017-01-21,21,42,5,O
1.0284,14.8375,2,1,2,2,0,1,T,197,4,1,48,63,20,2017-06-23,0,2014-11-26,2045-06-23,2160642.13,22402.16,42357.91,31783.42,27608.01,21292.48,35290.81,Y,62720.75,2019-05-16,2013-06-07,2015-04-08,3304.21,1,7,2014-05-14,3295.26,A,9,2014-05-09,21,61,1,T
3.2166,2.6692,1,1,2,3,0,0,S,289,5,2,14,72,20,2017-11-27,1,2013-08-11,2046-04-09,2256132.75,20773.22,22988.03,41768.54,42664.05,27223.07,24125.81,F,63150.98,2017-07-07,2014-05-12,2015-11-03,2834.68,4,7,2018-07-16,3211.55,W,6,2011-04-24,32,32,2,U
12.2073,9.0512,3,0,0,2,0,1,C,071,4,4,40,61,20,2018-02-21,1,2021-09-19,2047-10-02,2001228.58,45970.55,40392.84,45541.2,46080.37,18061.11,40582.55,N,75719.42,2017-11-17,2018-08-02,2014-10-13,1898.64,4,4,2017-01-25,1574.48,Q,9,2017-01-13,29,96,2,Y
8.3286,12.41,1,0,1,2,1,1,S,033,5,2,21,78,20,2016-09-19,1,2013-11-22,2045-06-23,139558.66,22733.46,17004.87,34508.24,36186.49,11251.14,59746.45,H,69827.93,2014-06-20,2013-06-06,2018-07-04,1027.08,6,4,2020-11-15,3931.36,Q,6,2010-06-30,32,62,1,G
3.8679,9.0024,1,0,1,0,0,0,U,063,1,1,38,61,20,2021-08-29,0,2012-10-20,2051-11-10,4275290.43,22309.3,36977.01,33558.98,25618.89,44187.87,37429.54,A,83417.07,2016-04-17,2016-12-11,2019-07-15,1816.06,6,5,2020-11-04,3199.79,Q,5,2016-05-17,21,77,3,P
4.9679,12.7311,2,1,0,3,0,0,S,295,3,4,25,61,20,2011-11-09,0,2021-08-26,2042-01-10,1695354.69,18359.3,46717.26,26785.49,29119.61,48258.28,55900.87,Q,42132.7,2017-06-04,2013-02-10,2014-07-08,1384.51,1,4,2015-04-22,2954.93,M,7,2020-12-20,27,53,1,X
5.1534,8.9092,1,1,1,3,0,1,D,125,5,3,37,75,20,2020-10-02,1,2016-01-04,2041-08-23,4482973.91,16139.1,12630.06,43128.0,35280.86,49432.88,20119.23,N,44583.51,2017-11-30,2016-08-26,2018-02-04,3430.52,3,7,2022-03-17,1555.87,S,5,2012-09-26,27,36,2,W
