BOND-CDE,INT-UNPD-DUE-BOND-ACCTS,PRIN-UNPD-DUE-BOND-ACCTS,INT-NEXT-INSTLMT-BOND-ACCTS,PRIN-NEXT-INSTLMT-BOND-ACCTS,INT-ON-DELQ-PRIN
8,4455.7,37130.82,371.31,3094.24,25.5
9,7006.9,58390.85,583.91,4865.9,724.98
8,9641.24,80343.7,803.44,6695.31,200.19
9,11538.02,96150.16,961.5,8012.51,95.42
9,2922.84,24356.98,243.57,2029.75,507.92
4,7851.99,65433.26,654.33,5452.77,602.99
2,1405.04,11708.66,117.09,975.72,427.33
6,6468,53899.96,539,4491.66,23.44
8,6048.29,50402.4,504.02,4200.2,350.62
9,4372.69,36439.05,364.39,3036.59,768.52
4,8422.13,70184.42,701.84,5848.7,893.58
3,8981.45,74845.45,748.45,6237.12,903.8
8,863.44,7195.34,71.95,599.61,214.86
7,5706.15,47551.23,475.51,3962.6,967.21
2,9860.22,82168.53,821.69,6847.38,843.07
4,9350.34,77919.48,779.19,6493.29,282.58
1,6569.17,54743.1,547.43,4561.93,724.52
3,6358.13,52984.38,529.84,4415.37,340.01
8,6177.99,51483.23,514.83,4290.27,982.54
1,7640.15,63667.91,636.68,5305.66,31.43
6,8818.8,73490.03,734.9,6124.17,326.24
3,3231.23,26926.91,269.27,2243.91,925.3
4,2661.46,22178.87,221.79,1848.24,841.63
0,10423.33,86861.11,868.61,7238.43,62.64
9,4126.63,34388.58,343.89,2865.72,508.16
2,7950.53,66254.45,662.54,5521.2,617.5
6,5391.49,44929.06,449.29,3744.09,438.07
3,1464.34,12202.83,122.03,1016.9,148.56
2,9113.18,75943.14,759.43,6328.6,63.47
2,772.21,6435.05,64.35,536.25,425.75
7,7344.86,61207.19,612.07,5100.6,768.33
5,5245.52,43712.65,437.13,3642.72,455.85
6,5034.29,41952.42,419.52,3496.04,231.29
8,1292.91,10774.24,107.74,897.85,485.97
4,8358.24,69651.98,696.52,5804.33,543.62
8,2313.41,19278.39,192.78,1606.53,22.99
6,11425,95208.31,952.08,7934.03,408.79
3,3787.92,31565.99,315.66,2630.5,630.94
2,6951.19,57926.59,579.27,4827.22,854.88
6,755.43,6295.24,62.95,524.6,481.41
3,3244.8,27039.99,270.4,2253.33,886.89
4,3971.54,33096.2,330.96,2758.02,298.41
7,2917.22,24310.13,243.1,2025.84,501.94
6,1043.86,8698.81,86.99,724.9,729.99
8,11009.29,91744.09,917.44,7645.34,939.42
5,4818.59,40154.93,401.55,3346.24,821.25
9,11894.8,99123.36,991.23,8260.28,849.62
5,5470.67,45588.94,455.89,3799.08,244.5
8,9778.84,81490.36,814.9,6790.86,4.06
2,10523.61,87696.78,876.97,7308.07,957.77
0,671.04,5591.96,55.92,466,810.56
2,7562.27,63018.88,630.19,5251.57,963.86
0,2870.73,23922.74,239.23,1993.56,500.92
3,9573.03,79775.25,797.75,6647.94,856.33
5,3861.03,32175.29,321.75,2681.27,789.44
6,6263.56,52196.35,521.96,4349.7,607.51
6,341.55,2846.22,28.46,237.19,787.97
7,9128.3,76069.19,760.69,6339.1,563.17
4,4911.72,40930.99,409.31,3410.92,869.7
2,6020.88,50173.98,501.74,4181.17,165.19
2,6387.96,53233.03,532.33,4436.09,390.21
7,11304.87,94207.29,942.07,7850.61,135.03
6,3953.96,32949.68,329.5,2745.81,37.76
5,2339.15,19492.88,194.93,1624.41,848.87
5,9846.41,82053.43,820.53,6837.79,211.06
6,7484.23,62368.55,623.69,5197.38,996.02
9,7605.72,63381,633.81,5281.75,424.87
3,7882.15,65684.57,656.85,5473.71,90.22
4,6576.85,54807.09,548.07,4567.26,577.72
9,976.47,8137.27,81.37,678.11,723.81
1,7889.12,65742.63,657.43,5478.55,68.32
9,6912.9,57607.5,576.08,4800.63,611.86
6,7977.9,66482.46,664.82,5540.21,713.31
8,9957.23,82976.92,829.77,6914.74,560.75
2,7346.75,61222.94,612.23,5101.91,438.76
3,8268.38,68903.19,689.03,5741.93,354.4
1,4733.91,39449.21,394.49,3287.43,150.29
5,1466.15,12217.91,122.18,1018.16,213.86
6,3077.32,25644.35,256.44,2137.03,951.22
6,6983,58191.67,581.92,4849.31,825.47
6,11074.26,92285.5,922.86,7690.46,321.97
4,9039.72,75331.02,753.31,6277.59,79.92
7,7675.9,63965.83,639.66,5330.49,143.37
7,5019.63,41830.28,418.3,3485.86,342.75
8,11756.6,97971.64,979.72,8164.3,296.69
3,5267.57,43896.41,438.96,3658.03,520.8
1,10532.4,87769.97,877.7,7314.16,137.32
9,5247.23,43726.91,437.27,3643.91,407.68
0,10447.2,87059.99,870.6,7255,284.19
4,7553.15,62942.89,629.43,5245.24,475.12
4,9108.46,75903.8,759.04,6325.32,26.54
0,1329.45,11078.72,110.79,923.23,624.46
1,9968.63,83071.91,830.72,6922.66,988.31
5,3603.22,30026.87,300.27,2502.24,873.7
3,302.27,2518.91,25.19,209.91,656.09
0,1213.91,10115.9,101.16,842.99,160.17
2,337.98,2816.48,28.16,234.71,611.39
7,9472.49,78937.39,789.37,6578.12,743.16
8,9275.27,77293.94,772.94,6441.16,450.83
3,2452.09,20434.09,204.34,1702.84,739.85
0,4138.4,34486.68,344.87,2873.89,275.65
3,2394.78,19956.53,199.57,1663.04,871.15
5,5750.23,47918.62,479.19,3993.22,161.61
1,896.44,7470.33,74.7,622.53,171.79
3,6191.62,51596.87,515.97,4299.74,145.15
7,7845.95,65382.95,653.83,5448.58,69.65
4,6735.71,56130.92,561.31,4677.58,393.48
7,6894.36,57453,574.53,4787.75,234.44
8,2804.25,23368.76,233.69,1947.4,178.72
1,10020.56,83504.69,835.05,6958.72,362.5
7,4150.46,34587.15,345.87,2882.26,332.09
8,7007.13,58392.78,583.93,4866.07,953.87
6,3799.74,31664.52,316.65,2638.71,716.23
4,338.08,2817.35,28.17,234.78,875.73
8,3934.62,32788.52,327.89,2732.38,431.81
7,1139.93,9499.41,94.99,791.62,474.34
8,3201.49,26679.1,266.79,2223.26,937.36
2,6901.05,57508.77,575.09,4792.4,48.25
7,11063.78,92198.19,921.98,7683.18,549.25
9,731.26,6093.84,60.94,507.82,183.07
1,7448.97,62074.74,620.75,5172.9,361.06
7,4613.62,38446.83,384.47,3203.9,227.45
1,2256,18800.03,188,1566.67,722.99
3,4702.21,39185.1,391.85,3265.43,744.85
1,3014.51,25120.91,251.21,2093.41,202
7,5240.62,43671.84,436.72,3639.32,14.29
5,313.15,2609.56,26.1,217.46,793.96
0,2728.29,22735.74,227.36,1894.65,524.44
5,5441.24,45343.67,453.44,3778.64,442.66
9,5193.78,43281.49,432.81,3606.79,417.16
0,8839.82,73665.15,736.65,6138.76,337.46
7,7621.17,63509.79,635.1,5292.48,527.11
7,4739.16,39493.03,394.93,3291.09,388.2
4,1028.85,8573.77,85.74,714.48,932.89
6,1616.69,13472.39,134.72,1122.7,284.91
2,10028.45,83570.45,835.7,6964.2,874.76
2,7217.89,60149.08,601.49,5012.42,488.36
8,96.37,803.12,8.03,66.93,91.44
9,1672.35,13936.23,139.36,1161.35,704.93
4,1089.9,9082.5,90.83,756.88,606.11
4,6038.41,50320.12,503.2,4193.34,89.71
8,11062.47,92187.21,921.87,7682.27,772.45
8,11098.23,92485.24,924.85,7707.1,578.86
2,9126.08,76050.68,760.51,6337.56,663.94
6,805.22,6710.15,67.1,559.18,505.78
8,8396.56,69971.3,699.71,5830.94,535.37
8,8166.55,68054.56,680.55,5671.21,784.01
2,10785.76,89881.37,898.81,7490.11,312.62
1,8960.48,74670.64,746.71,6222.55,400.04
7,2870.54,23921.19,239.21,1993.43,685.18
8,2676.32,22302.7,223.03,1858.56,793.96
8,6332.54,52771.16,527.71,4397.6,919.68
9,5136.3,42802.46,428.02,3566.87,233.97
4,7623.83,63531.93,635.32,5294.33,541.62
0,3002.33,25019.45,250.19,2084.95,261.54
8,3054.43,25453.59,254.54,2121.13,457.38
4,2949.04,24575.33,245.75,2047.94,5.62
0,40.93,341.05,3.41,28.42,303.05
4,7822.14,65184.54,651.85,5432.05,351.99
1,4229.24,35243.7,352.44,2936.98,779.59
7,3886.64,32388.66,323.89,2699.06,670.7
0,7481.3,62344.15,623.44,5195.35,45.3
2,2804.75,23372.9,233.73,1947.74,469.24
8,2544.12,21200.97,212.01,1766.75,398.81
2,5191.35,43261.25,432.61,3605.1,850.4
7,2672.4,22270.01,222.7,1855.83,521.76
8,6120.71,51005.93,510.06,4250.49,814.66
8,3084.56,25704.67,257.05,2142.06,299.56
4,727.06,6058.83,60.59,504.9,340.82
5,11558.29,96319.09,963.19,8026.59,840.2
0,8864.19,73868.22,738.68,6155.69,58.16
2,11959.4,99661.66,996.62,8305.14,555.18
3,6144.78,51206.5,512.07,4267.21,960.24
6,847.28,7060.68,70.61,588.39,22.9
9,9293.37,77444.73,774.45,6453.73,540.82
8,11773.26,98110.49,981.1,8175.87,562.39
6,5772.82,48106.8,481.07,4008.9,912.52
5,7775.63,64796.91,647.97,5399.74,267.37
8,5967.11,49725.89,497.26,4143.82,247.92
6,7427.04,61891.97,618.92,5157.66,409.56
2,8374.64,69788.65,697.89,5815.72,815.24
5,1422.06,11850.5,118.51,987.54,792.01
4,6696.65,55805.39,558.05,4650.45,739.92
4,11466.8,95556.63,955.57,7963.05,376.03
0,3141.48,26178.98,261.79,2181.58,799.39
2,1187.14,9892.85,98.93,824.4,560.21
1,2148.03,17900.26,179,1491.69,794.88
2,242.38,2019.82,20.2,168.32,88.44
2,1590.91,13257.62,132.58,1104.8,611.02
5,7375.43,61461.92,614.62,5121.83,262.15
0,11648.83,97073.56,970.74,8089.46,681.94
4,3997.79,33314.93,333.15,2776.24,350.42
7,11496.56,95804.63,958.05,7983.72,536.51
5,9076.02,75633.54,756.34,6302.8,3.05
2,1307.11,10892.55,108.93,907.71,314.08
6,8339.24,69493.64,694.94,5791.14,150.48
0,9290.85,77423.71,774.24,6451.98,652.02
9,11701.57,97513.1,975.13,8126.09,494.84
0,3650.17,30418.11,304.18,2534.84,108.18
5,4144.15,34534.55,345.35,2877.88,896.41
5,11271,93925.04,939.25,7827.09,530.32
9,1723.38,14361.51,143.62,1196.79,343.12
7,11572.1,96434.17,964.34,8036.18,855.53
9,7926.43,66053.62,660.54,5504.47,269.58
2,1485.08,12375.7,123.76,1031.31,757.61
3,7650.09,63750.77,637.51,5312.56,499.43
6,7989.55,66579.62,665.8,5548.3,27.71
3,5514.68,45955.68,459.56,3829.64,605.56
5,11817.74,98481.19,984.81,8206.77,379.91
3,1073.91,8949.24,89.49,745.77,155.25
0,719.24,5993.69,59.94,499.47,216.25
5,2588.58,21571.48,215.71,1797.62,418.67
0,9729.8,81081.64,810.82,6756.8,992.3
2,8872.63,73938.59,739.39,6161.55,927.04
4,3928.26,32735.54,327.36,2727.96,549.54
2,795.61,6630.1,66.3,552.51,377.08
2,7487.12,62392.69,623.93,5199.39,717.57
4,1257.66,10480.47,104.8,873.37,420.21
6,2500.24,20835.33,208.35,1736.28,560.62
4,9367.8,78064.98,780.65,6505.42,964.01
5,3999.12,33326,333.26,2777.17,196.23
2,9202.81,76690.09,766.9,6390.84,3.87
7,3184.19,26534.95,265.35,2211.25,351.46
6,7761.63,64680.26,646.8,5390.02,579.93
4,5531.13,46092.78,460.93,3841.07,893.93
9,3.75,31.22,0.31,2.6,884.06
9,6554.68,54622.35,546.22,4551.86,307.74
6,277.54,2312.8,23.13,192.73,130.55
0,3764.52,31370.99,313.71,2614.25,498.88
2,4934.79,41123.28,411.23,3426.94,72.14
9,11515.17,95959.76,959.6,7996.65,247.49
8,6986.76,58223.02,582.23,4851.92,373.31
1,773.87,6448.94,64.49,537.41,620.22
9,2866.67,23888.95,238.89,1990.75,359.45
4,7985.79,66548.26,665.48,5545.69,204.76
0,9037.04,75308.63,753.09,6275.72,271.06
0,10014.77,83456.41,834.56,6954.7,407.82
9,8983.97,74866.45,748.66,6238.87,177.53
4,2256.91,18807.55,188.08,1567.3,971.69
1,3011.74,25097.84,250.98,2091.49,425.95
0,523.43,4361.9,43.62,363.49,251.69
9,3844.18,32034.81,320.35,2669.57,974.91
7,8618.13,71817.77,718.18,5984.81,190.83
7,8212.82,68440.15,684.4,5703.35,675.72
8,8386.7,69889.15,698.89,5824.1,836.39
1,8703.8,72531.69,725.32,6044.31,92
9,1771.64,14763.7,147.64,1230.31,343.74
7,9475.82,78965.14,789.65,6580.43,518.74
1,1370.71,11422.55,114.23,951.88,109.12
3,1836.74,15306.13,153.06,1275.51,547.38
9,8855.06,73792.19,737.92,6149.35,837.12
4,2887.07,24058.89,240.59,2004.91,913.45
4,8602.01,71683.39,716.83,5973.62,582.32
5,7515.39,62628.27,626.28,5219.02,337.06
3,3998.52,33320.96,333.21,2776.75,70.34
5,5873.98,48949.81,489.5,4079.15,235.14
0,3845.56,32046.34,320.46,2670.53,731.1
9,4022.06,33517.14,335.17,2793.1,33.94
8,2481.58,20679.84,206.8,1723.32,681.21
4,4066.92,33890.99,338.91,2824.25,653.01
2,2272.11,18934.29,189.34,1577.86,606.24
2,943.05,7858.74,78.59,654.9,869.39
0,2183.63,18196.89,181.97,1516.41,779.03
3,354.69,2955.72,29.56,246.31,561.51
6,2512.4,20936.63,209.37,1744.72,300.54
8,303.68,2530.63,25.31,210.89,821.62
8,11922.66,99355.51,993.56,8279.63,972.83
9,1262.46,10520.51,105.21,876.71,598.08
8,8277.45,68978.77,689.79,5748.23,22
0,9825.6,81879.96,818.8,6823.33,772.14
2,6865.32,57211.01,572.11,4767.58,836.14
3,6211.26,51760.5,517.61,4313.38,488.17
6,6543.22,54526.84,545.27,4543.9,955.98
3,10697.25,89143.71,891.44,7428.64,405.3
6,8315.67,69297.29,692.97,5774.77,276.51
1,2101.57,17513.1,175.13,1459.43,305.3
5,1112.05,9267.11,92.67,772.26,528.17
9,4514.64,37622,376.22,3135.17,693.31
9,3815.35,31794.57,317.95,2649.55,780.43
3,7153.57,59613.06,596.13,4967.76,888.26
0,2530.42,21086.8,210.87,1757.23,595.23
3,10994.63,91621.94,916.22,7635.16,265.54
8,8637.85,71982.12,719.82,5998.51,348.57
7,2682.65,22355.41,223.55,1862.95,903.71
4,2694.43,22453.6,224.54,1871.13,899.62
9,1472.07,12267.24,122.67,1022.27,444.31
4,4837.5,40312.49,403.12,3359.37,155.75
5,4797.59,39979.95,399.8,3331.66,2.44
7,3017.81,25148.44,251.48,2095.7,98.99
6,9024.55,75204.59,752.05,6267.05,336.88
9,3463.9,28865.83,288.66,2405.49,286.26
2,11295.72,94131.03,941.31,7844.25,935.16
4,10929.03,91075.26,910.75,7589.61,614.77
9,11967.13,99726.1,997.26,8310.51,14.62
0,9630.2,80251.66,802.52,6687.64,870.34
9,9895.51,82462.62,824.63,6871.89,684.64
8,2422.32,20186.03,201.86,1682.17,573.33
3,6412.01,53433.43,534.33,4452.79,807.81
9,11693.8,97448.37,974.48,8120.7,977.57
8,578.94,4824.53,48.25,402.04,728.99
1,10056.58,83804.87,838.05,6983.74,284.04
5,2836.55,23637.95,236.38,1969.83,112.65
8,6043.12,50359.33,503.59,4196.61,704.95
9,3478.26,28985.46,289.85,2415.46,1.06
8,5571.9,46432.51,464.33,3869.38,715.14
7,572.62,4771.84,47.72,397.65,117.79
0,8889.06,74075.53,740.76,6172.96,966.26
7,9902.78,82523.16,825.23,6876.93,581.41
1,3232.11,26934.25,269.34,2244.52,508.27
2,3840.52,32004.35,320.04,2667.03,557.91
5,11099.58,92496.51,924.97,7708.04,769.22
5,5813.16,48442.98,484.43,4036.92,492.24
2,1399.81,11665.06,116.65,972.09,479.62
7,4151.13,34592.76,345.93,2882.73,365.38
0,566.41,4720.05,47.2,393.34,31.33
1,7215.04,60125.35,601.25,5010.45,893.24
4,2626.15,21884.6,218.85,1823.72,544.77
0,11986.6,99888.31,998.88,8324.03,305.02
8,4721.48,39345.69,393.46,3278.81,971.88
2,3856.4,32136.66,321.37,2678.06,868.63
5,1142.1,9517.5,95.18,793.13,949.6
2,10928.82,91073.5,910.74,7589.46,394.22
2,1564.62,13038.53,130.39,1086.54,722.52
8,1150.51,9587.59,95.88,798.97,787.51
5,3811.45,31762.11,317.62,2646.84,202.81
1,6661.15,55509.58,555.1,4625.8,111.5
6,9942.89,82857.4,828.57,6904.78,923.23
8,10070.68,83922.3,839.22,6993.53,290.32
7,1253.67,10447.22,104.47,870.6,548.42
4,7659.28,63827.32,638.27,5318.94,119.4
0,1189.66,9913.83,99.14,826.15,189.76
9,964.04,8033.66,80.34,669.47,656.58
3,9895.44,82462.01,824.62,6871.83,618.48
5,3603.64,30030.36,300.3,2502.53,985.64
1,3372.68,28105.63,281.06,2342.14,268.05
8,1953.62,16280.15,162.8,1356.68,914.52
2,5679.79,47331.62,473.32,3944.3,561.66
5,8775.1,73125.8,731.26,6093.82,661.74
7,7900.83,65840.24,658.4,5486.69,276.45
9,178.21,1485.1,14.85,123.76,492.8
0,7364.66,61372.13,613.72,5114.34,850.32
1,6492.94,54107.8,541.08,4508.98,977
4,6544.57,54538.1,545.38,4544.84,998.45
5,6721.33,56011.05,560.11,4667.59,972.26
3,7611.99,63433.26,634.33,5286.11,859.72
4,1966,16383.34,163.83,1365.28,933.65
2,2733.86,22782.13,227.82,1898.51,278.73
5,11474.35,95619.58,956.2,7968.3,177.21
1,10200.37,85003.12,850.03,7083.59,511.51
3,7662.7,63855.84,638.56,5321.32,380.38
6,5428.49,45237.38,452.37,3769.78,158.96
5,1603.71,13364.27,133.64,1113.69,392.89
7,9755.69,81297.41,812.97,6774.78,211.91
9,5140.87,42840.59,428.41,3570.05,975.96
6,11969.55,99746.26,997.46,8312.19,852.16
7,611.3,5094.18,50.94,424.52,590.15
2,92.25,768.78,7.69,64.07,830.64
8,914.06,7617.17,76.17,634.76,362.96
4,4339.96,36166.33,361.66,3013.86,684.23
1,2659.83,22165.23,221.65,1847.1,300.22
5,1223.05,10192.08,101.92,849.34,712.48
1,1740.79,14506.56,145.07,1208.88,903.26
1,1655.65,13797.1,137.97,1149.76,619.02
2,5890.34,49086.13,490.86,4090.51,472.87
4,4599.29,38327.44,383.27,3193.95,260.21
4,5065.43,42211.94,422.12,3517.66,241.51
9,2801.12,23342.7,233.43,1945.23,421.6
1,1528.78,12739.85,127.4,1061.65,322.56
8,7311.11,60925.94,609.26,5077.16,933.44
9,9588.57,79904.74,799.05,6658.73,46.61
4,2229.84,18582,185.82,1548.5,645.59
5,1306.71,10889.23,108.89,907.44,68.96
8,8450.78,70423.15,704.23,5868.6,415.08
0,5197.84,43315.32,433.15,3609.61,312.08
3,6477.4,53978.37,539.78,4498.2,973.48
6,10713.29,89277.4,892.77,7439.78,550.47
6,1615.95,13466.26,134.66,1122.19,289.81
8,7558.07,62983.91,629.84,5248.66,945.52
1,11415.43,95128.55,951.29,7927.38,818.26
5,8095.03,67458.62,674.59,5621.55,102.44
8,6128.65,51072.1,510.72,4256.01,679.81
0,10516.81,87640.05,876.4,7303.34,352.82
2,11213.28,93444.04,934.44,7787,440.02
8,497.15,4142.88,41.43,345.24,618.26
1,11154.42,92953.49,929.53,7746.12,315.8
3,5395.18,44959.82,449.6,3746.65,652.14
3,10904.53,90871.11,908.71,7572.59,827.75
9,9418.03,78483.58,784.84,6540.3,121.7
8,3408.55,28404.55,284.05,2367.05,832.52
5,8872,73933.31,739.33,6161.11,821.6
9,7292.21,60768.45,607.68,5064.04,342.22
5,6028.92,50240.98,502.41,4186.75,524.16
5,11345.15,94542.9,945.43,7878.58,881.71
1,2608.02,21733.51,217.34,1811.13,75.14
0,2645.73,22047.75,220.48,1837.31,369.97
4,8887.85,74065.45,740.65,6172.12,588.03
4,3174.3,26452.54,264.53,2204.38,303.85
0,2833.71,23614.24,236.14,1967.85,608.36
4,6036.87,50307.23,503.07,4192.27,510.83
7,8548.27,71235.61,712.36,5936.3,550.35
9,11536.51,96137.56,961.38,8011.46,633.88
0,836.25,6968.72,69.69,580.73,361.74
1,8000.89,66674.06,666.74,5556.17,339.6
1,4546.68,37888.98,378.89,3157.42,967.6
5,2595.79,21631.55,216.32,1802.63,314.78
1,5531.31,46094.23,460.94,3841.19,480.55
5,10450.45,87087.12,870.87,7257.26,228.31
8,5484.48,45704,457.04,3808.67,519.65
2,5700.9,47507.51,475.08,3958.96,269.39
8,5573.38,46444.81,464.45,3870.4,459.14
7,6343.18,52859.85,528.6,4404.99,932.91
5,2866.09,23884.08,238.84,1990.34,65.46
2,9524.19,79368.27,793.68,6614.02,234.08
3,7307.85,60898.73,608.99,5074.89,679.69
6,10605.21,88376.71,883.77,7364.73,503.84
0,11021.29,91844.07,918.44,7653.67,417.06
7,3788,31566.63,315.67,2630.55,462.21
1,5432.71,45272.62,452.73,3772.72,538.95
8,7063.11,58859.22,588.59,4904.94,67.16
9,1749.36,14578.04,145.78,1214.84,169.55
3,3756.32,31302.64,313.03,2608.55,678.95
2,5557.12,46309.37,463.09,3859.11,230.68
3,8304.92,69207.66,692.08,5767.31,139.88
8,10907.11,90892.55,908.93,7574.38,355.03
7,478.3,3985.82,39.86,332.15,13.83
0,9525.14,79376.18,793.76,6614.68,122.21
7,8002.83,66690.27,666.9,5557.52,803.31
1,1295.41,10795.05,107.95,899.59,924.71
5,2122.41,17686.71,176.87,1473.89,594.94
6,5281.71,44014.28,440.14,3667.86,271.78
2,7393.25,61610.44,616.1,5134.2,78.35
8,7958.55,66321.22,663.21,5526.77,630.96
6,10596.51,88304.27,883.04,7358.69,540.49
4,5609.8,46748.37,467.48,3895.7,542.13
3,3389.81,28248.43,282.48,2354.04,845.3
3,9448.21,78735.11,787.35,6561.26,283.68
7,7580.32,63169.3,631.69,5264.11,844.55
4,10614.7,88455.87,884.56,7371.32,997.42
6,11468.17,95568.09,955.68,7964.01,883.39
1,11591.25,96593.77,965.94,8049.48,63.79
4,8805.07,73375.61,733.76,6114.63,863.65
6,582,4850.02,48.5,404.17,696.39
