ACCT-NBR,MINOR-CDE,FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,TRNSCTN-CDE,DTE-END-OF-MO,PURP-CDE-1,DR-AMT-INDIV-GL-ACCTS,CR-AMT-INDIV-GL-ACCTS,MO-ACTV,RGSTR-TYP-CDE,TIME-STNDS-DATA,USER-INITS
7357,201,88,9,9,370,113005,2,-94.3,-45.2,41,21,430,REL
7358,200,27,5,8,175,33109,9,96.19,951.27,59,23,130,JIQ
7359,205,27,6,1,508,123119,9,92148.4,-9936.24,46,21,2030,UHD
7360,216,68,5,9,109,22992,5,3029.86,320.25,87,20,1800,IQY
7361,211,48,1,2,773,63000,6,7826.9,950.77,4,23,1630,RLA
7362,203,27,6,4,197,53198,1,8721.18,50519.25,72,22,1130,HUU
7363,214,68,6,3,576,123192,3,-614.66,821.51,79,22,130,KWI
7364,205,89,1,3,987,63094,6,5204.3,-845.71,96,20,600,EZR
7365,207,27,7,1,824,93020,2,465.38,2965.88,89,22,900,MZZ
7366,213,68,6,7,117,73104,2,173.35,-4432.34,48,23,1430,OXV
7367,215,68,6,9,153,13192,1,-32429.65,82737.57,43,22,430,EED
7368,208,68,6,8,716,13120,3,-73.84,37947.21,84,21,130,GGP
7369,208,27,7,5,320,53122,5,-795.74,482.85,65,23,1530,NKF
7370,210,48,2,5,733,13112,3,7198.1,-8631.97,58,21,1000,PUI
7371,203,27,7,9,276,103111,5,-4877.87,44219.99,76,23,530,BLK
7372,205,48,2,9,654,53120,4,912.21,-69898.92,48,22,930,JRW
7373,202,27,8,1,409,53197,5,24119.19,72164.26,2,20,930,MCH
7374,213,89,2,8,411,113096,6,3564.18,515.6,7,20,1100,IYK
7375,204,48,3,3,929,93011,5,-97000.46,-57978.29,37,20,200,LJD
7376,217,27,8,6,325,123105,4,68342.42,-967.34,45,23,430,TAV
7377,201,27,8,5,571,43018,8,2034.95,1628.4,58,21,1700,TFC
7378,215,27,8,8,760,33103,8,443.84,100.5,12,22,2000,BHT
7379,220,68,8,6,634,103102,6,-75628.52,-44,53,22,730,VHD
7380,220,27,9,2,576,103107,7,-548.5,304.61,75,21,1300,CNK
7381,218,48,4,1,151,53110,3,331.16,76.88,55,20,730,SRD
7382,213,27,9,5,239,53107,8,10.79,870.57,64,21,430,FQR
7383,211,27,9,6,402,103121,1,1087.74,31.85,16,20,830,VDX
7384,203,48,4,3,407,93005,1,-30213.46,91.7,37,20,1800,BQA
7385,200,68,9,1,889,13197,3,-837.68,42049.37,37,23,1030,LSN
7386,202,68,9,2,569,73115,5,-7151.9,53.92,84,20,1130,SVG
7387,207,48,4,5,457,33198,1,6234,66613.6,49,21,2200,DDL
7388,205,48,4,9,613,73198,6,401.66,922.67,34,22,1800,OJR
7389,215,68,9,6,483,22897,9,3523.1,56.43,92,20,2130,LWN
7390,220,48,5,4,648,22904,9,20.56,34651.99,66,23,230,SUB
7391,211,89,5,3,678,22819,1,3177.95,-7887.62,81,20,1100,YKB
7392,220,48,5,9,394,93008,2,11605.24,89.11,66,21,2130,TLW
7393,210,89,5,5,673,113019,7,-43.14,369,81,23,830,JAA
7394,207,69,1,1,610,93099,2,1729.92,872.7,30,22,1000,VCG
7395,206,48,6,4,605,63003,3,-1762.68,6030.37,36,20,1630,NSM
7396,202,28,1,5,960,123116,8,148.4,8573.6,20,20,930,DFW
7397,204,28,1,9,937,103120,6,6869.67,5451.7,37,21,2300,ZWP
7398,200,28,2,2,668,53103,8,13384.53,46868.7,70,23,1600,CBW
7399,215,28,2,5,820,123194,1,-1278.4,-80120.4,64,20,730,PJP
7400,200,28,2,8,773,123111,8,-64.11,-696.18,22,21,2030,HWM
7401,211,89,7,3,363,73105,7,74.35,30601.69,66,20,1830,CRE
7402,220,48,7,9,390,83192,3,799.66,27.8,97,22,1600,WLR
7403,205,89,7,6,200,33196,1,-825.7,63.72,53,22,2300,RTL
7404,206,28,3,5,926,43019,7,-94215,51726.43,31,22,2200,AKA
7405,211,69,3,2,917,22912,3,-41.34,3320.18,45,20,1300,KQB
7406,205,89,8,1,485,33121,8,-390.8,8482.78,66,22,430,QMC
7407,211,48,8,7,370,33193,6,85311.61,-5746.77,85,20,1830,TDE
7408,204,69,3,6,565,93014,9,4595.87,-60.2,42,20,1500,QTQ
7409,205,89,8,6,934,123102,9,810.44,-6465.45,48,21,100,YUC
7410,206,28,4,3,599,53116,7,48957.8,858.56,23,21,1200,WZJ
7411,217,48,9,1,759,63021,4,-3821.83,947.8,54,23,1500,XCB
7412,208,89,8,9,545,63014,6,-7732.84,7293.13,48,23,400,CQL
7413,204,69,4,1,429,93009,2,3357.52,894.89,94,20,1000,XFN
7414,204,28,5,5,589,103116,3,25851.37,2241.63,33,22,1900,UXC
7415,215,28,5,6,597,43007,5,58476.79,-24.27,47,22,2130,NCY
7416,213,69,5,3,186,22811,2,721.49,261.85,13,20,2100,FML
7417,204,28,5,9,599,83115,2,54638.3,78.5,68,23,530,FRX
7418,216,28,6,5,597,123101,9,82.82,11.75,92,22,200,JOD
7419,206,28,6,7,309,83118,9,7714.21,110.1,40,23,2200,WAS
7420,208,28,6,8,348,113099,9,-92741.88,-20.29,57,22,500,DBR
7421,200,28,6,9,636,103100,6,3483.3,-17388.7,49,21,1900,OSL
7422,208,69,6,7,600,103196,4,8441.45,918.98,38,23,800,WZP
7423,214,49,1,9,255,33100,3,909.35,487.17,11,23,730,TQJ
7424,202,28,7,4,913,93003,9,4939.13,5220.58,66,22,1500,GGD
7425,211,69,7,2,882,63096,7,497.71,-39.65,19,22,2300,JOI
7426,202,49,2,5,910,73191,2,-9293,4801.3,81,22,1330,GEU
7427,205,49,2,8,195,63095,6,42.79,-73.67,51,21,1500,NEQ
7428,215,69,7,7,468,33192,8,-6309.79,387.74,27,23,730,WLD
7429,212,49,2,9,788,53112,6,69534.68,21.86,89,21,1100,JKW
7430,218,49,3,8,309,123100,5,374.9,85023.3,74,21,1200,UVV
7431,216,49,4,1,757,63011,5,19.65,51739.9,48,22,1900,GAT
7432,217,28,9,4,880,123198,2,-96967.77,57.13,59,21,1330,KST
7433,200,28,9,7,162,93092,1,-559.54,1767.15,43,22,1700,PUK
7434,220,69,9,3,423,63092,4,-41.27,28.9,38,21,1230,NLN
7435,210,69,9,5,428,53121,5,52.75,25.61,55,21,2230,VZC
7436,215,49,4,9,679,103192,9,7265.75,11.51,18,22,1130,VRE
7437,201,69,9,9,259,53104,5,4187.15,92.35,32,22,1330,JIV
7438,209,49,5,8,520,123103,4,614.16,49.33,80,21,2200,ZMO
7439,202,49,6,1,771,13114,6,-1236.6,91331.43,87,23,1900,PTV
7440,212,49,6,3,177,22893,7,-89337.7,25539.21,90,23,1400,OYS
7441,216,29,2,1,430,22900,4,1410.56,2482.48,27,20,400,JHX
7442,216,29,2,2,251,33190,5,-2424.54,81505.26,72,23,2300,SYJ
7443,220,29,2,6,983,63097,1,78517.83,943.71,97,23,2200,AEJ
7444,204,49,7,5,912,103105,6,71065.99,264.58,14,22,1030,EYN
7445,213,49,8,2,221,93016,7,71425.16,2952.25,83,21,430,ZVW
7446,214,49,8,5,905,22809,2,341.39,-2099.18,83,22,100,JTT
7447,218,29,3,7,468,63008,2,226.26,53.66,63,22,1400,ZNZ
7448,220,49,8,6,831,33191,4,5482.75,88853.15,51,23,330,JUQ
7449,215,49,8,8,296,83199,3,3530.29,4316.17,76,21,1030,DBB
7450,212,49,9,1,966,113095,2,4325,-201.33,4,21,1230,FNZ
7451,220,49,9,2,615,103199,8,17260.81,20512.98,5,21,2130,IIM
7452,211,29,6,3,960,22899,3,94.11,-9282,47,20,1830,QJH
7453,213,29,6,6,773,73103,5,11.87,860.24,10,20,800,UNN
7454,201,29,6,7,915,103198,9,53393.54,649.5,28,20,530,VIN
7455,208,91,1,2,973,113022,1,49659.89,6784.5,48,21,330,CVR
7456,214,29,6,9,315,63093,8,70595.58,4949.3,89,21,1030,KQX
7457,215,91,2,2,156,43091,1,22608.98,5405.14,94,20,1100,MKD
7458,216,29,7,9,925,13104,8,10.5,424.65,89,23,2130,NNK
7459,211,29,8,3,440,22916,5,3853.37,-90.42,89,20,1600,MXN
7460,207,91,3,1,762,13111,4,82836.49,30351.67,25,21,1000,ZYP
7461,211,91,4,2,724,63005,3,43.2,39.91,37,23,1100,QRE
7462,217,91,4,6,808,22920,9,52404.91,56.33,97,20,900,SQS
7463,218,91,4,9,155,83108,5,77.88,411.86,32,23,1330,PRP
7464,217,91,5,5,289,33112,1,-434.64,71173.44,39,20,200,WLN
7465,201,91,5,8,963,63009,9,-33558.19,19.6,62,22,1130,ZAN
7466,219,91,6,3,273,53118,4,8886.3,14023.16,36,22,1800,QPQ
7467,219,91,7,5,868,53190,5,-1178.41,5547.27,27,20,500,IMC
7468,201,91,7,9,928,53106,1,86581.12,11.17,49,20,300,OHD
7469,213,71,3,6,172,13108,1,47.94,-661.58,23,20,1800,GGX
7470,219,71,3,7,732,83110,8,-940.45,914.51,71,20,830,PKG
7471,213,91,9,3,200,83193,2,1849.52,38.28,9,22,1730,NYK
7472,206,71,4,9,313,13105,9,17.86,38500.72,69,22,130,NYL
7473,220,71,5,5,578,93002,3,75.13,-98384.45,57,22,400,ICI
7474,200,71,5,9,440,33101,9,49659.7,-35857.5,90,22,900,JAO
7475,214,51,1,6,340,33197,6,21900.43,2589.5,39,23,2000,MKL
7476,200,71,6,4,536,113094,9,343.73,-22108.66,29,20,230,TPW
7477,213,71,7,5,610,83121,8,354.46,16.89,57,21,2000,LDR
7478,203,92,2,9,747,73101,9,-6807.86,55098.32,31,20,730,IYT
7479,212,71,8,1,346,123102,7,831.78,250.11,98,22,400,HNS
7480,204,71,8,5,969,53116,5,2943.56,670.62,57,21,500,BUL
7481,209,71,8,9,140,63021,2,-1388.1,23.47,97,20,1930,WDB
7482,200,51,4,3,971,63014,2,5903.16,14.96,57,22,1200,XNR
7483,215,51,5,4,378,93009,6,59958.79,44184.95,45,20,2230,SRA
7484,219,51,6,4,905,103116,2,53438.14,93.54,52,21,1100,YQE
7485,202,51,6,6,169,43007,2,366.83,-136.25,1,22,300,BDN
7486,204,92,6,3,865,22811,6,142.76,84697.15,2,21,1900,RYD
7487,205,72,1,4,573,83115,2,-7650.55,30.8,26,20,300,KRF
7488,217,31,2,1,611,123101,1,63.85,3310.49,96,23,1100,KAT
7489,210,51,7,1,162,83118,8,54.84,-76.52,99,23,600,VPV
7490,204,72,2,8,269,113099,8,1586.37,20627.83,55,20,1730,MYE
7491,203,51,8,2,979,103100,3,-57.16,-54168.19,81,22,1800,WKX
7492,203,92,7,9,975,103196,4,891.64,7139.67,28,20,800,JAM
7493,203,51,8,4,383,33100,6,6879.12,28.45,21,23,900,UIS
7494,217,92,8,1,539,93003,8,5936.84,-6176.51,69,21,2000,PRO
7495,217,51,8,5,633,63096,3,88433.9,61.61,7,21,500,XQQ
7496,220,51,8,7,970,73191,1,9676.6,-86437.55,81,23,300,XPZ
7497,212,92,8,3,766,63095,7,-537.81,7343.75,58,23,530,UTS
7498,218,72,3,6,147,33192,4,-59.37,734.21,48,20,2330,IRM
7499,207,92,8,2,341,53112,2,-419.4,55.97,34,22,2130,LEM
7500,200,72,4,1,636,123100,3,37.7,5772.11,28,20,200,EUC
7501,204,51,9,3,904,63011,5,-84.1,1622.44,88,23,2030,EGB
7502,217,92,8,9,442,123198,3,-753.42,95.99,61,20,1330,MWW
7503,208,92,9,2,500,93092,9,61.89,-81242.76,51,20,930,TKN
7504,210,92,9,3,936,63092,1,91.56,598.48,73,22,1930,BAF
7505,207,51,9,5,117,53121,6,408.6,719.2,50,23,1130,JQA
7506,219,72,5,1,567,103192,1,6564,-373.15,33,21,400,OTX
7507,205,92,9,9,172,53104,8,104.39,9117.21,18,21,2100,XQE
7508,216,31,5,7,766,123103,6,259.1,95487.6,57,20,1930,FKA
7509,212,31,6,2,538,13114,7,-48.16,70.78,87,21,2130,ESZ
7510,209,31,6,3,466,22893,7,3099.73,6328.88,37,23,330,JZK
7511,207,52,1,2,645,22900,2,-41.63,38064.7,56,21,500,GVT
7512,200,52,1,3,372,33190,2,51.2,8084.48,88,23,1300,LFI
7513,211,72,6,3,556,63097,8,-29759.59,34778.47,18,20,830,BNA
7514,201,11,2,1,146,103105,2,78342.56,3814.16,66,23,100,SLG
7515,216,52,1,7,383,93016,6,-400.4,-81.21,9,22,1300,FCV
7516,213,93,1,6,339,22809,3,56635.69,20.49,1,23,1730,FWK
7517,204,11,2,4,810,63008,7,826.51,34818.14,18,22,2230,XWA
7518,208,52,2,1,338,33191,4,3118.99,-35157.57,98,21,1900,PMY
7519,207,93,1,8,159,83199,9,-3883.52,99927.65,37,22,1800,ITA
7520,209,31,7,6,828,113095,3,-44641.48,87182.48,37,21,1330,TVK
7521,213,93,2,5,355,103199,1,80.23,-7475.67,59,21,630,JSF
7522,218,72,7,8,466,22899,4,21.16,678.64,23,20,530,YEZ
7523,204,52,2,9,155,73103,6,8768.4,39.51,90,23,1530,GKQ
7524,216,11,3,6,586,103198,5,-6191.17,8645.69,45,20,730,WMA
7525,219,72,8,1,609,113022,4,-93.54,-2464.7,41,22,100,XSR
7526,208,11,3,9,747,63093,9,73364.67,-387.9,4,22,1030,NCB
7527,200,11,4,3,673,43091,6,-42.64,20.66,99,21,2230,ZWP
7528,216,31,9,2,850,13104,5,6313.13,37749.14,65,22,1700,FPP
7529,207,72,9,2,339,22916,9,19.57,32.79,10,22,300,EMP
7530,220,31,9,8,478,13111,8,487.57,34.32,91,20,700,WNS
7531,217,72,9,5,921,63005,3,524.57,3367.15,78,21,1130,GZV
7532,212,11,5,2,889,22920,1,5745.7,-208.2,4,23,1300,UNE
7533,208,11,5,7,659,83108,1,14.87,-159.3,3,22,2130,NXF
7534,208,93,5,3,423,33112,5,-31387.25,35.89,52,22,1500,DXY
7535,213,93,5,4,257,63009,2,66.65,635.76,44,21,1630,IUR
7536,208,32,1,1,722,53118,7,46.86,-21155.58,60,22,800,PIK
7537,219,11,6,4,621,53190,2,473.27,81465.63,11,23,1300,BWU
7538,217,93,6,1,743,53106,9,838.58,84.62,18,23,1200,LZQ
7539,212,73,1,8,376,13108,9,28.14,2206.18,39,23,900,HYM
7540,219,93,6,7,709,83110,5,311.69,9543.16,86,21,500,CFG
7541,214,93,6,8,973,83193,8,51.29,40.23,82,22,200,QSU
7542,213,32,2,6,632,13105,1,2412.44,59.12,25,22,500,LKO
7543,216,32,3,2,121,93002,2,114.58,73773.57,53,20,1330,YIQ
7544,215,11,8,5,419,33101,9,92151.72,78.1,96,21,830,KPS
7545,210,32,3,5,447,33197,2,-9908.1,782.5,72,22,600,GFK
7546,217,73,3,3,416,113094,9,-53.4,5669.71,95,20,1830,UIB
7547,206,11,8,9,611,83121,8,54.51,29838.54,44,23,1230,QCG
7548,217,52,8,9,132,73101,5,-442.73,-65.59,20,20,1200,KPF
7549,210,11,9,4,623,13116,3,41929.5,75.62,26,20,1600,WSO
7550,206,32,4,3,957,73107,9,50001.22,3017.75,80,22,330,NED
7551,218,93,8,8,345,73120,7,3298.26,2611.54,32,23,700,JES
7552,213,32,4,6,586,103117,3,-84.97,961.16,95,21,2300,IXW
7553,205,32,4,7,238,63019,9,-89369.35,6494.96,50,20,400,YPM
7554,209,73,4,5,905,43000,8,851.42,-667.94,89,23,1400,PWR
7555,212,93,9,4,405,43090,7,57684.99,6645.33,82,20,400,XKA
7556,206,73,4,6,730,103194,7,98.31,8168.77,47,20,130,FQR
7557,211,93,9,8,127,43099,2,30894.24,586.33,28,21,1500,IOL
7558,204,32,5,4,387,83107,8,463.69,110.53,77,21,700,DWV
7559,220,32,5,5,460,113017,4,639.66,81.55,71,20,830,JLC
7560,215,73,5,4,735,83116,8,683.9,93.81,18,21,100,DSX
7561,211,73,5,6,600,33118,2,24139.64,-678.64,61,20,700,DRV
7562,208,12,1,3,773,43011,7,-93815.56,17497.15,61,22,1800,CNO
7563,213,73,5,7,839,93098,3,58930.91,-18.2,54,20,1000,QPD
7564,202,32,6,3,319,93021,7,-81.29,469.59,40,23,1130,ALE
7565,207,12,1,7,765,83190,6,55318.9,655.91,8,21,1730,WFY
7566,207,32,6,6,569,123113,6,6172.3,63649.56,80,21,230,SZS
7567,204,12,1,9,104,13106,6,83716.79,10.82,57,23,130,WFL
7568,209,94,1,2,879,103195,3,-483.34,9222.49,10,22,2200,DID
7569,208,32,6,9,258,53100,3,-3101.83,-29580.13,35,22,2200,SGU
7570,212,73,6,6,581,103197,3,2461.69,-85827.73,78,23,1530,DYL
7571,201,94,1,1,517,113002,6,30888.45,79.8,16,21,1500,ZDY
7572,217,73,6,8,953,113006,8,92943.23,-758.75,37,20,800,KIL
7573,206,32,7,2,380,83104,3,96918.89,-16.18,35,21,1230,JTH
7574,211,94,1,4,693,123199,1,24862.13,6817.79,11,21,1300,WNY
7575,204,73,7,1,841,123109,4,80390.63,-75306.42,12,23,1030,WXS
7576,211,94,2,1,141,73108,2,264.36,19164.71,45,23,1100,GBS
7577,203,73,7,5,808,43017,8,-83.7,605.85,3,23,300,RZP
7578,207,12,3,1,585,22817,7,104.99,168.9,49,20,530,REG
7579,212,32,8,1,675,93000,7,39.1,-77.43,77,22,1300,PEJ
7580,206,94,2,6,543,83113,2,98.73,-9226.81,73,20,1000,RJV
7581,207,12,3,4,972,43012,3,-55103.43,7529.26,94,22,2330,UTT
7582,203,32,8,4,486,33108,8,7445.58,55923.41,72,23,300,NQQ
7583,201,12,3,6,313,22898,6,62.5,-651.6,44,22,400,KRA
7584,207,32,8,8,917,113090,1,41227.46,10.48,18,22,2130,LCW
7585,202,32,8,9,231,73197,7,-46.36,654.71,65,22,900,QMZ
7586,212,12,4,3,715,53192,1,51.77,51433.61,13,21,2230,WOB
7587,205,73,8,9,490,123197,9,23993.68,382.41,28,22,2130,DQU
7588,217,73,9,3,485,43098,7,1870.62,3103.4,92,22,1100,RRM
7589,205,94,4,2,208,63001,2,71102.32,279.23,25,22,1100,YZQ
7590,201,53,4,7,764,63002,8,41824,999.26,59,20,830,XAU
7591,203,53,4,5,688,123195,1,13534.83,1354.44,25,20,630,JLV
7592,201,32,9,8,474,113010,1,-536.79,-704.24,48,22,2030,CVQ
7593,205,53,5,4,120,22894,7,15127.95,341.63,25,23,430,LLF
7594,200,12,5,9,749,13117,7,36.79,-690.22,45,20,330,OHW
7595,215,12,6,3,443,33194,6,193.41,43998.62,99,23,1130,XQR
7596,205,12,6,7,576,63015,1,990.13,8207.74,90,23,700,GCV
7597,206,33,1,5,730,13199,8,4707.37,958.9,70,21,2030,FYW
7598,205,12,6,9,450,103108,5,-207.73,-6456.58,50,20,1100,MPZ
7599,219,74,1,6,739,53113,6,58517,-35.43,49,21,1630,MRE
7600,216,53,7,2,588,13191,9,56656.25,280.3,12,23,1200,TJJ
7601,212,94,6,8,908,33113,1,90583.71,64224.89,19,22,1600,KBS
7602,209,12,7,8,361,13118,3,735.9,-320.13,36,20,1430,XHG
7603,203,53,7,3,505,53114,6,-14487.24,26957.7,76,20,1800,LWG
7604,217,33,2,9,115,22822,8,731.29,2592.8,81,21,2100,OKZ
7605,205,74,2,7,810,93012,1,11.77,-6825.3,86,23,2100,RLX
7606,219,33,3,3,743,73195,2,46165.83,842.42,82,21,1400,SEY
7607,205,94,7,7,863,103114,3,70325.89,8214.27,27,21,930,QTC
7608,203,53,8,3,417,22815,8,634.67,24644.79,95,21,930,CEW
7609,213,74,3,2,213,43016,3,6682.29,27681.7,76,22,1930,ZOS
7610,215,33,3,7,409,103190,3,91.5,818.9,21,21,1430,UQK
7611,202,94,8,3,979,113003,4,9113.24,38.92,97,23,700,RPX
7612,220,53,8,8,892,22908,4,-9252.5,-675.59,35,21,1530,NEP
7613,201,12,9,4,742,22813,6,-773.48,43785.37,82,23,100,IKZ
7614,208,53,9,3,542,43001,3,69515.6,7493.14,80,23,530,OYC
7615,205,94,8,9,611,13122,3,77848.99,8590.63,25,23,130,YZB
7616,218,33,4,9,910,33199,4,6250.44,51.19,89,23,230,TFI
7617,214,94,9,4,554,83194,4,4987.6,92199.5,17,20,1230,GNH
7618,219,74,4,8,706,83105,5,722.77,-28936.71,13,22,1300,AGC
7619,207,74,4,9,791,53191,4,355.62,9048.46,65,21,700,UOH
7620,213,33,5,3,391,83102,4,91395.47,3759.72,78,21,830,HRC
7621,220,94,9,8,202,113021,1,98922.6,29902.55,64,22,1500,VOF
7622,207,74,5,4,393,73121,3,27.7,139.8,5,21,200,PVI
7623,211,13,1,1,828,103106,6,4063.25,712.55,28,23,400,KBE
7624,218,74,5,7,471,93015,3,28961.83,27484.39,84,23,600,JRY
7625,213,13,1,4,262,53119,1,-2641.32,23.45,95,22,1730,HHO
7626,213,33,6,3,686,43022,6,986.68,11.51,61,21,1530,XSJ
7627,202,33,6,4,897,13196,2,6956.19,42973.64,12,21,900,OBL
7628,207,54,1,3,282,103113,5,98.71,39.61,97,21,2000,DBL
7629,214,13,1,9,999,113093,6,85173.45,50.69,60,22,1200,PEO
7630,215,54,1,5,964,13100,4,-57418.43,678.8,50,23,1330,FNS
7631,202,95,1,3,586,113097,7,34.4,18503.73,87,21,830,FGM
7632,220,54,1,8,936,113000,9,84.55,47097.48,59,20,1330,CYS
7633,203,95,1,4,221,53196,9,2432.59,-3576.45,46,23,1800,WLD
7634,216,74,6,8,224,13190,9,6447.78,-83.61,75,21,900,NQD
7635,217,74,6,9,577,83191,4,453.87,34982.9,41,21,2030,PUS
7636,214,13,2,6,259,113091,4,4610.14,63867.51,77,21,2230,DZD
7637,212,54,2,4,606,33115,2,68138.67,85.47,74,23,1230,EAV
7638,214,74,7,2,250,43093,5,23911.69,32.66,13,22,1500,WWC
7639,202,95,2,2,268,63020,8,-21.94,-21443.94,65,21,230,PMG
7640,201,95,2,3,332,53195,3,8098.56,-8578.62,9,20,500,UOT
7641,206,95,2,5,357,43004,3,951.3,-59132.43,54,21,1400,NMP
7642,201,33,8,5,393,33122,1,7109.26,552.87,49,23,630,QDP
7643,200,13,3,8,922,123117,9,3898.49,77196.1,53,23,2100,GDD
7644,207,74,8,3,345,33120,9,63535.96,892.11,1,20,900,PXS
7645,207,33,9,1,473,73122,7,-41.55,692.46,43,21,1400,DUH
7646,219,33,9,2,790,123121,4,9296.3,76120.34,65,21,1430,GIU
7647,218,54,4,4,339,73106,6,-8476.39,-545.5,31,23,1730,NIZ
7648,218,54,4,6,388,123193,3,-513.6,-888.55,84,20,1900,VGL
7649,213,13,5,1,735,63007,6,8402.6,190.18,43,23,600,YXC
7650,208,95,4,4,394,73112,4,44.76,77.64,69,22,2030,PUD
7651,218,13,5,3,736,13101,7,913.6,8851.9,68,23,2330,BLL
7652,215,74,9,6,687,93097,4,-663.7,4699.23,78,20,1000,UNU
7653,219,74,9,8,458,103109,9,32.55,-76397.7,24,21,1130,XJM
7654,200,13,5,6,340,22814,9,6052.86,64.8,17,23,1900,UIN
7655,218,13,5,7,281,43005,3,-14030.24,642.71,95,23,1430,BRY
7656,214,54,5,6,756,73196,1,-98.6,-958.74,97,23,2000,KWU
7657,209,13,6,1,465,22890,6,-998.56,9986.85,20,23,1630,GQF
7658,216,13,6,3,206,33110,8,63.7,78.48,35,20,1030,MIC
7659,209,34,1,2,604,103104,3,-46.24,-45114.59,74,20,1430,NDU
7660,210,34,1,1,406,43097,8,8295.41,-5035.87,61,20,300,XTE
7661,210,95,5,5,346,113018,8,302.29,-741.32,41,23,1430,NGD
7662,211,95,5,9,455,93096,4,8151.83,73716.38,84,23,1730,TGG
7663,216,13,6,4,902,103193,4,38.46,610.51,60,22,1600,CMD
7664,204,95,6,1,298,103191,4,4487.82,455.53,24,20,330,XHN
7665,201,54,6,8,745,63098,6,63666.5,672.57,45,23,200,MTM
7666,204,75,1,7,732,73113,5,69776.64,478.85,30,20,1900,YYT
7667,203,13,7,4,326,113098,1,3221.49,-9250.29,51,21,300,AHO
7668,220,95,6,7,109,33111,6,72.64,526.95,41,23,600,RFF
7669,215,13,7,8,725,73199,5,67.91,522.87,17,21,100,DWR
7670,213,95,7,1,789,33104,2,6961.29,-889.25,91,22,1300,MDM
7671,208,54,7,8,401,33119,5,9731.32,90559.46,14,21,400,SFS
7672,201,13,8,2,889,113011,2,14521.73,-221.29,99,23,2130,VPR
7673,218,34,3,1,908,113012,3,961.74,597.37,72,21,1700,SHX
7674,217,54,8,1,363,83195,9,252.78,-32.46,23,20,1430,VHH
7675,220,13,8,3,289,73111,4,19235.65,53728.72,78,22,830,DDC
7676,207,95,7,4,392,22806,5,16.15,-36.33,11,20,1630,FYG
7677,203,34,3,6,698,53109,9,-53812.32,65.87,3,20,1100,UJE
7678,208,54,8,5,641,43006,7,-43.88,96.88,43,23,2000,VIW
7679,212,75,3,4,873,93091,3,7026.3,24.64,95,23,1530,KBK
7680,210,75,2,9,183,63012,2,51784.88,-756.89,89,21,530,LKC
7681,209,34,3,2,307,22810,1,537.91,143.31,29,21,2130,UCH
7682,215,34,4,1,124,83196,4,38006.93,-466.92,22,22,1800,ZAV
7683,204,34,4,3,382,113016,7,-1859.85,-8386.76,36,22,130,QHN
7684,212,13,9,7,645,93010,1,60.67,36.8,11,22,900,PAC
7685,202,75,4,1,874,93093,8,351.88,77279.3,37,20,1930,OMV
7686,216,75,4,2,456,13194,1,-965.59,4459.48,41,21,1730,OHG
7687,200,75,4,4,366,13113,4,-88689.71,-11291.86,50,22,1230,CEQ
7688,220,34,5,1,195,22802,2,4121.89,407.2,94,23,2000,RJT
7689,217,34,5,4,729,63022,3,5454.69,28291.33,31,23,830,VMI
7690,210,75,5,3,402,83114,7,12.96,87.33,16,20,230,EYN
7691,205,14,1,2,867,53117,5,59.73,95.6,31,23,430,ECS
7692,200,75,5,8,289,13121,4,-59479.52,16.31,56,21,1600,NZE
7693,204,34,6,3,446,13107,9,-29825.16,18.49,24,20,800,HSK
7694,201,55,1,4,460,63090,6,98335.4,-3934.99,53,22,2230,CZR
7695,205,75,6,6,721,73194,7,2395.65,11.34,61,20,630,BWY
7696,201,14,2,3,232,123112,6,85.18,-38.14,61,23,530,QAW
7697,200,34,7,1,671,93019,1,52.56,-54.68,99,23,1500,DGB
7698,219,96,1,4,145,83198,1,108.7,8329.7,26,22,430,LOM
7699,202,96,1,8,555,63010,3,49.7,3871.85,54,21,2000,ISV
7700,212,75,7,3,545,73118,9,14330.2,3149.71,74,20,800,KXI
7701,217,96,2,6,671,22801,5,146.16,5101.18,90,23,1030,AJQ
7702,218,75,7,9,930,83117,7,82748.87,-695.81,14,20,1400,ADB
7703,202,14,3,6,704,13103,9,81132.59,5712.46,56,21,930,XXK
7704,214,75,8,1,549,113014,3,3974.26,174.13,29,22,1200,TOH
7705,219,55,3,4,314,53105,9,7356.18,49630.77,87,22,1400,ISH
7706,220,14,3,8,178,43013,6,61273.98,748.4,74,21,400,YYD
7707,212,75,8,5,234,33116,2,-590.73,34231.87,1,20,300,PTE
7708,208,14,4,3,634,83119,4,-129.68,21.98,62,21,430,VRV
7709,219,34,9,3,547,93007,3,25.3,9401.54,32,22,700,BRP
7710,202,75,8,9,573,43014,1,4493.9,27.21,40,23,500,RXO
7711,206,75,9,3,625,63091,8,583.95,-80476.58,33,22,2230,BTX
7712,214,55,4,6,680,63018,1,54.84,42.3,28,20,1830,VUH
7713,208,75,9,4,306,63099,6,3687.42,4376.1,94,22,230,NIY
7714,202,75,9,8,721,63017,7,-85327.67,7023.46,36,23,1130,NTF
7715,215,96,4,9,291,83100,5,91311.61,50911.61,2,22,1730,PMW
7716,216,96,5,2,444,13109,7,38805.32,366.27,8,21,1200,LQA
7717,204,14,6,1,440,73114,5,905.82,-18709.18,37,21,1200,GZN
7718,204,96,5,3,411,33107,3,-29522.14,80.48,36,22,930,QCB
