ACCT-NBRGL,ACCT-NBR-SUB,ACCT-NBRDA,ACCT-TITLE,BAL-CDE,PRFX-LINE-NBR,SFX-LINE-NBR,SUB-SFX-LINE-NBR,DTE-LST-RGSTR-ACCT
7434,6495,7463,Maricel's Avocado Farm,1,29,5,8,11818
7435,4085,484,Hightower Family Creamery,4,29,5,9,21319
7436,6085,3133,Pringle Family Vegetable Farm,2,29,6,4,40819
7437,4544,9595,Albert's Oranges,3,29,6,5,92713
7438,2491,2923,Bankers Hill Squash Farm,2,29,6,6,31218
7439,9213,5142,Olivia's Juicery,3,29,6,7,82120
7440,6688,360,Green Meadow Creamery,2,91,1,6,52819
7441,4598,4641,Maribel's Cow Farm,4,29,7,3,120820
7442,6759,732,Breezy Squash Farm,4,91,2,3,31714
7443,8072,382,Cloudy Sunflower Farms,4,91,2,4,21113
7444,2981,1531,Turtle Pond Fruit Orchard,1,91,2,6,110622
7445,2568,8791,Serene Organic Farm,1,29,8,3,80116
7446,8931,4763,Kristen's Lavender Fields,4,91,3,1,70920
7447,795,4445,Bankers Hill Vegetable Farm,2,29,8,7,80522
7448,9418,1368,Los Angeles Farm,3,29,8,9,42114
7449,4706,2344,Elm Tree Goats,2,91,3,4,51222
7450,2453,4670,Golden Homestead,1,91,3,6,22222
7451,8292,9177,Tranquil Horses,1,91,3,7,11715
7452,8169,4472,Anita's Goats,1,29,9,4,80617
7453,2706,4944,Maricel's Flower Garden,1,91,5,2,90618
7454,6620,3134,Blue Lake Cow Farm,3,91,5,3,52318
7455,4684,3478,Hightower Family Acres,2,91,5,5,42221
7456,4248,6246,Pringle Family Herb Garden,2,91,6,3,110821
7457,5711,3879,Turtle Pond Fields,2,91,6,4,121514
7458,9277,4664,Green Meadow Ranch,1,71,1,7,21813
7459,1181,4228,Sharon's Organic Farm,2,71,2,5,81720
7460,1400,5420,Fly Creek Farm,3,71,2,9,50318
7461,6394,7805,Bankers Hill Fruit Orchard,1,91,7,8,73122
7462,5544,6244,Sauer Family Mushroom Farm,2,71,3,1,81818
7463,7450,1804,Timmy's Mushroom Farm,2,91,7,9,121213
7464,7824,4675,Jose's Squash Farm,3,91,8,5,111413
7465,8690,8527,Olivia's Pumpkin Patch,1,71,4,1,112214
7466,5544,5790,Blooming Family Lavender Fields,4,71,4,2,61919
7467,8993,6526,Elm Tree Country Estate,4,91,9,2,100113
7468,792,5978,Tranquil Mushroom Farm,1,91,9,3,60113
7469,6130,6181,Maricel's Organic Farm,4,71,5,1,62518
7470,8300,3584,Alaska Apples,3,71,5,7,71213
7471,4224,8750,Abdalah's Vegetable Farm,3,51,1,9,11516
7472,9162,3454,Abdalah's Homestead,4,92,1,7,12114
7473,8456,3345,Delightful Juicery,4,92,1,8,81316
7474,5600,6185,Cloudy Mushroom Farm,2,51,2,2,63013
7475,436,547,Jimmy's Plum Orchard,4,71,7,4,102616
7476,9455,1929,Fullerton Lavender Fields,4,92,2,5,30314
7477,6290,1047,Fulkerson Family Sunflower Farms,3,92,2,6,42818
7478,7300,3563,Cloudy Fruit Orchard,4,71,8,3,102419
7479,3422,1294,Swallowtail Ponds Acres,1,92,3,2,52018
7480,5503,6329,Olivia's Lavender Fields,2,71,8,5,22117
7481,728,3221,Smucker's Juicery,3,71,8,8,41420
7482,6029,6205,Sunset Hill Horse Ranch,3,71,9,1,31213
7483,6679,6936,Fulkerson Family Vegetable Farm,3,71,9,2,40117
7484,9726,3237,Timmy's Sunflower Farms,2,92,4,9,12615
7485,3484,495,Jose's Organic Farm,3,31,1,5,61515
7486,6523,228,Jose's Egg Farm,1,51,6,8,100913
7487,802,1445,Rustic Maple Syrup,3,92,6,4,80118
7488,5550,4150,Kathy's Apples,3,31,2,3,110916
7489,4543,9743,Sparkle Pond Lavender Fields,3,92,6,8,112421
7490,6382,7099,Bankers Hill Hills,1,51,7,3,10917
7491,1881,7330,Maria's Vineyards,3,72,2,3,12017
7492,2576,9965,Olivia's Country Estate,2,72,2,4,111821
7493,2358,5347,Butterfly Creek Horses,3,31,2,9,40718
7494,9943,6203,Happy Country Estate,4,92,7,5,10218
7495,3407,3914,Smith Vineyards,4,31,3,2,121413
7496,8860,6892,Los Angeles Mushroom Farm,4,92,7,9,120613
7497,1892,6038,Sunny Creamery,1,31,4,2,41517
7498,1620,3423,Fulkerson Family Horse Ranch,4,51,9,3,121618
7499,1494,1074,Smith Chickens,1,51,9,4,31522
7500,1128,9642,Turtle Pond Homestead,1,51,9,5,70220
7501,4730,6126,Elm Tree Plum Orchard,3,92,8,9,121822
7502,6100,3876,Blue Lake Maple Syrup,1,72,4,5,61720
7503,5778,171,Blissful Homestead,3,72,4,7,120817
7504,7233,9680,Jasmin's Herb Farm,1,92,9,6,82221
7505,7321,2772,Happy Oranges,3,92,9,8,102317
7506,994,4499,Gloria's Egg Farm,2,31,6,1,41714
7507,3143,9164,Olivia's Farm,4,11,1,4,70813
7508,8885,2443,Maribel's Plum Orchard,1,52,1,3,110719
7509,9044,7256,Happy Apples,1,52,1,4,41818
7510,8751,7276,Turtle Pond Chickens,2,72,6,3,71422
7511,1456,3186,Tranquil Organic Farm,2,31,6,8,11814
7512,1646,8603,Badger Hill Herb Farm,3,11,2,2,21522
7513,6750,4781,Deer Creek Vineyards,1,31,7,1,10314
7514,2627,5122,Gloria's Hills,3,72,6,7,121915
7515,1120,9812,Virginia's Cow Farm,3,72,6,9,40619
7516,58,5504,Fly Creek Flower Garden,4,11,2,6,121217
7517,6283,5102,Gloria's Acres,2,11,2,7,42216
7518,396,5048,Virginia's Organic Farm,2,93,1,7,43021
7519,2925,3415,Crater Lake Vineyards,2,11,2,9,100215
7520,8897,5103,Turtle Pond Lavender Fields,4,72,7,7,42617
7521,648,2797,Coleman Flower Garden,2,11,3,4,51520
7522,3383,6075,Turtle Pond Cattle,3,11,3,5,50315
7523,3208,7816,Jose's Herb Farm,1,93,3,1,93019
7524,6432,8557,Green Meadow Chickens,4,72,8,4,61315
7525,8345,6271,Ramaya's Fruit Orchard,2,93,3,3,122419
7526,651,7917,Black Mountain Plum Orchard,2,72,8,6,120413
7527,4821,1162,Harvest Sunflower Farms,4,52,3,9,11120
7528,8812,8689,Sparkle Pond Juicery,3,11,4,4,103119
7529,3864,425,Gloria's Squash Farm,2,93,3,8,31313
7530,9871,4331,Smith Horses,3,93,3,9,21918
7531,916,2649,Crater Lake Ranch,4,11,4,8,12516
7532,4358,4491,Abdalah's Squash Farm,1,72,9,4,20421
7533,9902,4864,Badger Hill Honeybees,2,11,5,1,21717
7534,6976,2492,Badger Hill Squash Farm,2,93,4,4,81722
7535,2869,9478,Dry Creek Herb Garden,2,52,4,8,10514
7536,4925,513,Blooming Family Honeybees,2,11,5,4,90516
7537,9894,1911,Golden Horse Ranch,1,93,4,7,10722
7538,4075,6428,Monarch Meadow Juicery,1,11,5,6,111220
7539,8409,2159,Maria's Pumpkin Patch,1,93,4,6,32614
7540,7532,6157,Abdalah's Horse Ranch,3,11,5,8,20521
7541,3818,6352,Charlotte's Sunflower Farms,2,52,5,5,111814
7542,459,5930,Ramaya's Homestead,3,52,4,7,10321
7543,1334,6098,Radiant Vegetable Farm,1,52,6,1,21818
7544,3564,9004,Fullerton Farm,1,32,1,4,102617
7545,2527,7028,Turtle Pond Creamery,2,73,1,4,102019
7546,5290,6810,Harvest Acres,2,52,7,1,70819
7547,8298,5114,Sunny Farm,4,73,2,1,40121
7548,6599,6577,Elm Tree Mushroom Farm,3,73,2,3,101719
7549,582,5986,Black Mountain Apples,4,11,8,1,31417
7550,290,956,Nelson's Horses,2,52,7,8,102117
7551,2214,5947,Kathy's Flower Garden,3,11,8,8,30822
7552,5781,4056,Arizona Mushroom Farm,1,32,3,8,33114
7553,7361,6804,Cloudy Horses,1,93,8,5,82616
7554,6478,4342,Sparkle Pond Egg Farm,3,11,9,6,72519
7555,7426,3934,Hightower Family Fields,1,73,4,1,21217
7556,270,3356,Carolina's Juicery,1,32,4,7,11418
7557,1102,9401,Jimmy's Herb Farm,2,52,9,5,82122
7558,9473,479,Anita's Mushroom Farm,3,93,9,2,52614
7559,6200,3647,Carolina's Oranges,1,73,4,3,90818
7560,5288,2009,Nelson's Lavender Fields,1,93,9,6,122822
7561,6143,5531,Jose's Chickens,1,93,9,9,122114
7562,2042,8474,Sharon's Mushroom Farm,2,53,1,2,52413
7563,9210,405,Jasmin's Avocado Farm,4,12,1,6,81221
7564,2210,6739,Tranquil Herb Garden,4,32,6,6,21615
7565,9,6440,Swallowtail Ponds Squash Farm,3,94,1,1,101516
7566,9802,7878,Golden Egg Farm,1,73,6,2,21416
7567,6036,5816,Alaska Cattle,2,73,6,1,91116
7568,8676,8108,Francesco's Farm,4,73,6,8,42215
7569,266,3981,Fulkerson Family Herb Garden,3,12,2,5,111316
7570,5083,3382,Nelson's Fruit Orchard,3,32,7,4,62815
7571,7468,6252,Delightful Hills,1,53,2,4,43015
7572,507,9185,Black Mountain Honey Bee Farm,4,32,7,9,32213
7573,6959,8197,Breezy Fruit Orchard,3,53,2,8,32513
7574,7254,3975,Jimmy's Mushroom Farm,3,12,3,3,71018
7575,7690,7831,Coleman Mushroom Farm,3,12,3,1,60517
7576,6851,4852,Nelson's Oranges,3,12,3,2,60522
7577,3672,4110,Fly Creek Mushroom Farm,3,94,2,8,61020
7578,3034,4466,Los Angeles Sunflower Farms,1,53,3,3,81215
7579,2511,496,Fly Creek Cow Farm,3,32,8,8,82314
7580,7633,7641,Esmeralda's Honeybees,4,73,8,5,51920
7581,4407,1558,Smucker's Farm,3,94,3,4,91814
7582,7749,7395,Hightower Family Hills,4,73,8,8,60418
7583,5867,6590,Sunny Organic Farm,1,73,9,1,80713
7584,3510,511,Anita's Herb Garden,3,53,4,3,71519
7585,7977,6507,Tranquil Ranch,1,73,9,5,122022
7586,2936,1750,Deer Creek Mushroom Farm,3,94,4,5,92817
7587,1463,5253,Bankers Hill Goats,3,12,5,4,102615
7588,5928,1769,Alberto's Sunflower Farms,1,53,5,3,11016
7589,5309,3558,Radiant Fruit Orchard,1,12,5,9,50522
7590,7167,1828,Mountain Vineyards,4,94,5,2,122214
7591,9546,8868,Maribel's Goats,3,94,5,4,72618
7592,826,5030,Fly Creek Peach Orchard,2,53,5,9,42115
7593,7737,7305,Delightful Fruit Orchard,4,94,5,5,91619
7594,8227,2273,Virginia's Acres,1,94,5,8,33115
7595,9236,9428,Anita's Honey Bee Farm,1,94,6,2,42120
7596,3061,6184,Blissful Creamery,1,33,1,8,22916
7597,7937,1937,Tranquil Honeybees,3,12,7,4,100414
7598,1176,4686,Jimmy's Egg Farm,4,33,2,4,22018
7599,828,9619,Esmeralda's Hills,3,94,6,9,110716
7600,2160,6841,Rustic Sunflower Farms,3,33,2,6,72816
7601,8487,9395,Dry Creek Creamery,1,74,2,3,72615
7602,8277,5224,Olivia's Hills,3,12,7,9,90615
7603,2447,2795,Deer Creek Fruit Orchard,4,74,2,4,41720
7604,3047,50,Carolina's Pumpkin Patch,1,94,7,4,30516
7605,8083,4123,Ramaya's Maple Syrup,3,53,7,9,61617
7606,3612,8332,Breezy Mushroom Farm,1,94,7,6,102115
7607,9468,6939,Jasmin's Peach Orchard,2,33,2,7,50713
7608,1938,6190,Deer Creek Farm,1,33,3,4,53115
7609,9050,6169,Mountain Pumpkin Patch,2,33,3,5,82417
7610,9595,2066,Webb Family Plum Orchard,1,74,3,1,80919
7611,5081,1979,Kristen's Mushroom Farm,1,33,3,7,110417
7612,740,5846,Blooming Family Horse Ranch,1,12,8,7,100218
7613,778,4462,Badger Hill Herb Garden,4,33,3,1,113015
7614,2544,7981,Smith Lavender Fields,1,12,8,9,10322
7615,4164,5531,Aisha's Vineyards,2,33,4,1,70916
7616,5141,5434,Mountain Meadows Hills,1,12,9,4,41313
7617,2340,9797,Crater Lake Acre Farms,2,33,4,4,11313
7618,3692,2330,Virginia's Plum Orchard,4,74,4,1,22019
7619,4344,5063,Alberto's Avocado Farm,1,74,4,3,121015
7620,2339,6286,Swallowtail Ponds Goats,4,53,9,7,92522
7621,2532,8928,Albert's Plum Orchard,2,94,9,4,32521
7622,8013,3813,Mountain Meadows Acres,3,74,4,7,52821
7623,7409,8435,Virginia's Egg Farm,3,94,9,7,72218
7624,5527,5760,Abdalah's Goats,4,74,5,4,10820
7625,1227,1360,Rustic Acres,2,54,1,1,91119
7626,1970,2207,Green Meadow Acre Farms,1,33,6,3,40222
7627,7000,3253,Serene Cattle,1,33,6,4,121622
7628,7846,423,Bankers Hill Herb Garden,1,54,1,4,110420
7629,789,4698,Deer Creek Plum Orchard,4,74,5,9,71915
7630,8215,8241,Bankers Hill Egg Farm,3,74,6,1,111815
7631,8000,879,Jasmin's Horse Ranch,2,74,6,5,72814
7632,2837,6864,Hightower Family Egg Farm,1,74,6,6,122920
7633,9538,4743,Dry Creek Flower Garden,4,95,1,5,40114
7634,3976,9186,Jose's Farm,2,74,7,3,41820
7635,4348,6688,Carolina's Apples,3,95,2,7,11720
7636,6774,8914,Abdalah's Country Estate,2,13,3,7,110520
7637,5522,1979,Maria's Creamery,4,74,8,2,51116
7638,6667,2464,Swallowtail Ponds Vineyards,1,54,3,5,80722
7639,4123,9021,Alberto's Goats,1,33,8,7,70218
7640,285,3631,Smucker's Sunflower Farms,2,74,8,6,31622
7641,9765,8221,Cloudy Egg Farm,2,13,4,6,11820
7642,1439,7329,Breezy Chickens,3,54,4,3,91122
7643,1071,7889,Kristen's Horse Ranch,3,95,3,9,103121
7644,7796,2900,Delightful Country Estate,1,95,4,1,81914
7645,3295,5883,Sunset Hill Cow Farm,4,95,4,2,80219
7646,4337,1177,Turtle Pond Maple Syrup,1,33,9,9,112121
7647,5956,7065,Butterfly Creek Lavender Fields,3,95,4,3,92917
7648,466,8797,Abdalah's Horses,1,95,4,5,120521
7649,5034,1511,Jasmin's Apples,3,54,5,1,51114
7650,807,3472,Jose's Ranch,4,13,5,5,52515
7651,6721,3906,Francesco's Creamery,1,13,5,7,121717
7652,5548,198,Sauer Family Farm,2,34,1,1,92015
7653,922,7493,Coleman Cattle,2,13,6,4,113020
7654,1828,8217,Carolina's Creamery,1,34,1,6,102816
7655,7508,389,Sauer Family Country Estate,3,54,6,6,72213
7656,9346,7892,Aisha's Squash Farm,3,13,7,2,33016
7657,801,2552,Sparkle Pond Squash Farm,1,95,6,5,41422
7658,1539,99,Maribel's Herb Garden,2,95,6,9,110920
7659,5940,8630,Mountain Mushroom Farm,3,34,2,6,50420
7660,8821,717,Alberto's Creamery,1,95,7,1,72518
7661,5729,7801,Salt Lake Lavender Fields,3,95,7,2,30717
7662,4456,6611,Swallowtail Ponds Peach Orchard,2,95,7,3,32819
7663,1720,3912,Alaska Ranch,1,95,7,4,111213
7664,1000,8265,Ramaya's Acre Farms,1,95,7,7,111416
7665,7356,9018,Esmeralda's Mushroom Farm,3,54,8,2,61817
7666,6774,6723,Los Angeles Fruit Orchard,4,54,8,1,102619
7667,3927,3724,Elm Tree Ranch,4,75,3,2,70716
7668,1349,5831,Salt Lake Honeybees,1,34,3,5,21417
7669,6669,1461,Tranquil Country Estate,4,34,3,4,60622
7670,3757,2696,Virginia's Creamery,1,34,3,9,51516
7671,5173,4190,Monarch Meadow Honeybees,4,75,2,9,121818
7672,1604,4196,Harvest Organic Farm,1,75,3,7,32815
7673,6166,4615,Turtle Pond Goats,3,34,4,2,123114
7674,9917,2592,Abdalah's Farm,4,54,9,1,62422
7675,9984,454,Hudson Family Honey Bee Farm,2,54,9,2,122013
7676,8064,7835,Maria's Acres,4,34,4,8,101113
7677,8365,6112,Hightower Family Vegetable Farm,2,95,9,3,73022
7678,7589,8145,Los Angeles Vineyards,2,54,9,8,112314
7679,5476,9315,Sparkle Pond Organic Farm,2,75,4,4,61716
7680,408,7413,Green Meadow Cattle,2,75,5,3,51313
7681,6518,7419,Maricel's Herb Farm,3,34,5,9,52620
7682,2763,3618,Fullerton Homestead,1,34,6,1,112113
7683,2698,1714,Esmeralda's Organic Farm,3,34,6,4,72416
7684,4240,781,Cloudy Peach Orchard,1,55,1,3,70622
7685,2174,4692,Delightful Egg Farm,2,14,1,8,50621
7686,6074,9709,Jasmin's Herb Garden,4,14,1,9,72022
7687,7896,8351,Esmeralda's Peach Orchard,2,34,7,1,13120
7688,9511,4018,Alberto's Mushroom Farm,1,14,2,7,72619
7689,8057,4276,Francesco's Herb Garden,3,14,2,8,61118
7690,120,4576,Mountain Meadows Herb Garden,3,34,7,9,70816
7691,1005,9191,Golden Honey Bee Farm,3,75,7,5,91916
7692,7266,8475,Blooming Family Fields,3,75,7,7,10715
7693,1969,3819,Charlotte's Maple Syrup,1,55,2,7,10714
7694,2192,1412,Olivia's Vineyards,3,96,2,8,112918
7695,4301,9818,Delightful Mushroom Farm,2,96,2,9,12422
7696,6148,142,Golden Mushroom Farm,4,14,3,6,92613
7697,8311,6495,Harvest Lavender Fields,3,34,8,7,30117
7698,2168,8895,Esmeralda's Ranch,3,75,8,4,120215
7699,6626,3784,Webb Family Chickens,3,96,3,1,92013
7700,1853,5031,Golden Country Estate,4,75,8,6,51617
7701,5158,4594,Fullerton Sunflower Farms,3,14,4,2,31915
7702,3132,6659,Blissful Fields,4,55,4,1,110713
7703,5116,1776,Sauer Family Flower Garden,4,96,3,8,33116
7704,3798,7239,Abdalah's Sunflower Farms,1,75,9,4,22217
7705,5645,4337,Cloudy Squash Farm,1,34,9,9,81222
7706,5401,713,Jose's Mushroom Farm,1,96,4,4,50917
7707,7054,8714,Smucker's Herb Garden,4,55,4,9,42817
7708,4354,965,Coleman Peach Orchard,1,55,5,7,11816
7709,4391,534,Maria's Horses,4,14,6,2,91822
7710,9271,7698,Rustic Creamery,1,55,6,3,113018
7711,6380,7922,Blue Lake Hills,4,14,6,8,111622
7712,2263,296,Sunset Hill Organic Farm,2,55,6,6,71922
7713,4846,1070,Golden Sunflower Farms,2,55,6,7,40321
7714,7543,1063,Black Mountain Herb Garden,3,14,7,5,50617
7715,451,592,Olivia's Oranges,4,35,2,6,42315
7716,4220,8081,Serene Acre Farms,3,55,7,6,83118
7717,6603,1903,Alaska Goats,3,35,3,1,31322
7718,2816,1581,Kathy's Horses,1,96,7,7,71822
7719,4982,841,Esmeralda's Herb Farm,3,55,8,3,82916
7720,7405,3035,Swallowtail Ponds Herb Garden,1,35,3,6,51422
7721,484,3347,Dry Creek Cow Farm,2,35,3,7,81715
7722,5054,9590,Butterfly Creek Egg Farm,4,76,3,4,42314
7723,6997,6380,Bankers Hill Pumpkin Patch,3,55,8,5,20914
7724,1136,4326,Virginia's Hills,4,76,3,6,13018
7725,8401,4575,Swallowtail Ponds Maple Syrup,2,96,8,5,71014
7726,111,5194,Happy Flower Garden,3,14,9,4,20816
7727,9948,7023,Nelson's Honeybees,4,35,4,2,50920
7728,6664,2945,Sunset Hill Lavender Fields,3,76,3,2,31919
7729,4343,7903,Eduardo's Maple Syrup,1,35,4,6,123022
7730,7899,6739,Maricel's Oranges,1,96,9,1,30722
7731,3072,7194,Deer Creek Oranges,2,96,9,2,103013
7732,6430,2399,Black Mountain Acre Farms,2,35,4,9,40313
7733,4337,1354,Webb Family Apples,1,96,9,5,31122
7734,8125,7155,Swallowtail Ponds Country Estate,3,96,9,9,92919
7735,426,1478,Badger Hill Homestead,2,76,5,3,122514
7736,4312,366,Jose's Goats,2,76,5,4,33014
7737,6647,3993,Middle Creek Chickens,3,35,5,9,72215
7738,9730,1606,Elm Tree Fields,3,15,1,2,101622
7739,7181,3803,Fullerton Acre Farms,4,15,1,1,21314
7740,3757,8899,Webb Family Farm,2,35,6,4,60322
7741,6026,7065,Sauer Family Herb Farm,4,76,6,3,90219
7742,5064,4738,Sharon's Pumpkin Patch,1,35,6,7,90517
7743,7226,7741,Salt Lake Ranch,4,97,1,3,110817
7744,4926,5456,Monarch Meadow Squash Farm,3,97,1,4,11717
7745,5923,7311,Golden Squash Farm,4,35,7,1,70217
7746,5154,2346,Jimmy's Herb Garden,4,76,6,7,81813
7747,7584,1395,Blooming Family Maple Syrup,1,15,2,5,101220
7748,9567,7782,Virginia's Farm,2,15,2,6,20317
7749,4216,2341,Albert's Lavender Fields,1,56,2,4,80122
7750,4898,2269,Swallowtail Ponds Sunflower Farms,4,76,7,2,42514
7751,6175,8637,Sharon's Fruit Orchard,1,56,2,6,52319
7752,958,9553,Hightower Family Herb Garden,4,97,2,2,111116
7753,8398,2345,Breezy Vineyards,3,35,8,1,42819
7754,3115,44,Anita's Cow Farm,1,97,2,6,122816
7755,9274,6286,Dry Creek Oranges,3,35,8,3,30219
7756,9079,1845,Deer Creek Horses,4,15,3,6,51919
7757,6092,6937,Jimmy's Homestead,1,76,8,1,52019
7758,8648,4846,Albert's Herb Farm,1,15,3,8,113021
7759,1224,5256,Hudson Family Flower Garden,3,35,8,5,42619
7760,8918,6426,Charlotte's Vegetable Farm,3,76,8,4,71814
7761,8203,9673,Coleman Cow Farm,3,56,3,7,40618
7762,8550,1545,Harvest Ranch,2,35,8,7,12713
7763,6993,5085,Sharon's Vineyards,4,76,7,8,100515
7764,8676,8807,Mountain Meadows Apples,1,56,3,2,31415
7765,508,631,Turtle Pond Farm,4,35,9,3,111120
7766,284,5046,Los Angeles Acre Farms,3,15,4,6,22822
7767,157,3046,Hudson Family Squash Farm,1,97,3,9,30318
7768,2456,827,Hightower Family Maple Syrup,4,56,4,1,103019
7769,500,8820,Alaska Peach Orchard,4,76,9,3,51318
7770,4055,9444,Blooming Family Herb Garden,3,56,4,4,101520
7771,506,4989,Mountain Meadows Vegetable Farm,1,35,9,9,21022
7772,4750,3225,Breezy Farm,2,56,4,8,103122
7773,6148,4126,Ross Lake Ranch,4,76,9,7,100520
7774,6854,4260,Breezy Creamery,2,56,4,9,91913
7775,6136,7583,Tranquil Lavender Fields,1,76,9,9,81920
7776,8205,4239,Webb Family Acres,4,56,5,3,110814
7777,1986,4619,Pringle Family Fruit Orchard,4,97,5,1,92317
7778,6207,5289,Fullerton Cattle,4,97,5,3,62018
7779,7294,4945,Francesco's Sunflower Farms,3,56,5,8,101120
7780,5613,4012,Gloria's Herb Farm,3,36,1,1,112021
7781,9919,7434,Happy Herb Farm,2,15,6,5,22413
7782,5789,4930,Radiant Herb Farm,4,36,1,5,30319
7783,7653,4838,Harvest Mushroom Farm,2,36,1,7,50416
7784,9973,6890,Maricel's Fruit Orchard,4,77,1,3,21521
7785,7289,4967,Nelson's Pumpkin Patch,1,97,6,1,120119
7786,6404,9951,Golden Organic Farm,3,15,7,2,41315
7787,5479,2479,Salt Lake Cow Farm,1,77,1,8,92722
7788,5871,8424,Timmy's Farm,1,77,1,9,91918
7789,6672,3010,Cloudy Farm,1,56,7,2,41917
7790,1298,854,Anita's Vineyards,1,97,6,8,22214
7791,799,3074,Kristen's Cattle,3,56,7,4,100620
7792,9458,9559,Kristen's Vineyards,2,97,7,1,50919
7793,7346,9373,Sunny Vegetable Farm,4,77,2,3,70718
7794,5676,2448,Abdalah's Acre Farms,3,15,8,1,112320
7795,4560,1607,Sunset Hill Horses,1,56,7,8,41115
7796,3954,193,Fullerton Oranges,3,97,7,4,11819
7797,5040,4999,Blissful Oranges,2,77,2,5,120118
7798,1522,6336,Blue Lake Lavender Fields,4,97,6,9,12620
7799,7276,1403,Eduardo's Vegetable Farm,4,97,7,8,101422
7800,3906,8498,Virginia's Squash Farm,3,56,8,2,63018
7801,3965,1700,Francesco's Juicery,3,36,3,7,52114
7802,2675,6654,Tranquil Avocado Farm,1,15,8,9,122622
7803,7867,6334,Blissful Farm,3,56,8,7,52813
7804,3225,9026,Timmy's Egg Farm,2,77,3,6,20513
7805,8905,5235,Aisha's Homestead,3,56,8,8,80413
7806,5493,1385,Pringle Family Farm,2,36,3,8,82918
7807,6525,8792,Sunset Hill Ranch,2,97,8,6,90621
7808,7496,3269,Abdalah's Mushroom Farm,1,97,8,8,102522
7809,9328,1042,Fly Creek Honeybees,3,36,4,5,32917
7810,5313,246,Aisha's Cattle,2,15,9,6,102819
7811,1000,7151,Fullerton Horse Ranch,1,97,9,1,72913
7812,5072,2264,Virginia's Fruit Orchard,3,56,9,6,21015
7813,17,1219,Fly Creek Horses,4,97,9,3,33022
7814,146,9798,Los Angeles Herb Garden,4,97,9,2,80820
7815,3422,7335,Sparkle Pond Plum Orchard,2,97,9,5,121819
7816,1554,4257,Gloria's Cow Farm,1,77,4,7,71619
7817,4381,150,Mountain Maple Syrup,4,36,5,3,120720
7818,7117,201,Jasmin's Juicery,2,97,9,8,112813
7819,3256,1981,Alaska Homestead,3,36,5,8,50317
7820,9434,8288,Albert's Fruit Orchard,2,77,5,9,91019
7821,2640,5681,Jose's Creamery,3,57,1,5,30814
7822,365,3826,Mountain Chickens,2,36,6,8,62113
7823,521,6158,Butterfly Creek Maple Syrup,1,57,1,6,61113
7824,3132,446,Arizona Cow Farm,3,98,1,4,82721
7825,2912,293,Badger Hill Vegetable Farm,4,16,2,5,70318
7826,2269,5063,Serene Vineyards,1,57,2,2,110119
7827,3940,6964,Bankers Hill Herb Farm,2,57,2,3,121617
7828,1579,456,Webb Family Organic Farm,1,16,2,7,12414
7829,2848,5132,Maria's Goats,2,57,2,5,12515
7830,3729,6060,Maricel's Pumpkin Patch,2,16,3,1,80813
7831,2186,5906,Aisha's Egg Farm,3,36,8,5,92813
7832,4309,7517,Alberto's Ranch,3,16,3,8,42320
7833,9043,6009,Mountain Meadows Mushroom Farm,2,77,8,7,13114
7834,8257,5836,Alaska Honey Bee Farm,3,36,9,2,82319
7835,1721,8769,Gloria's Honey Bee Farm,3,98,3,7,51220
7836,1616,9934,Smith Fields,4,16,4,8,20917
7837,9487,9017,Elm Tree Apples,1,57,4,5,52220
7838,9319,99,Sauer Family Ranch,3,77,9,4,100822
7839,5286,1134,Deer Creek Juicery,3,36,9,6,42121
7840,9388,7798,Charlotte's Flower Garden,1,98,5,5,30316
7841,7128,7882,Francesco's Cow Farm,2,98,5,6,31820
7842,6152,9621,Fly Creek Acres,3,78,1,1,11219
7843,3948,8075,Radiant Plum Orchard,4,37,1,7,71314
7844,4079,9629,Ramaya's Hills,3,16,6,9,53022
7845,9039,7885,Gloria's Peach Orchard,2,78,1,5,111919
7846,67,2191,Salt Lake Sunflower Farms,4,16,7,3,103118
7847,4619,7520,Sharon's Juicery,2,37,2,1,30618
7848,1465,2020,Black Mountain Horses,1,37,2,2,90922
7849,9727,2765,Albert's Chickens,2,98,6,9,111620
7850,8193,2406,Rustic Farm,2,78,2,2,60417
7851,1801,9680,Los Angeles Country Estate,2,16,7,9,80915
7852,1720,6665,Maribel's Creamery,1,78,2,4,30720
7853,5216,970,Crater Lake Avocado Farm,1,57,7,6,82113
7854,5631,7477,Arizona Juicery,3,16,8,2,53119
7855,8842,5341,Anita's Fruit Orchard,2,16,8,3,71815
7856,5052,1886,Salt Lake Herb Farm,4,98,7,6,51717
7857,2141,1837,Turtle Pond Vineyards,3,16,8,5,72713
7858,5710,2520,Monarch Meadow Plum Orchard,4,98,7,8,82015
7859,2777,1768,Fly Creek Cattle,1,57,8,2,120917
7860,9151,6749,Coleman Oranges,2,16,8,6,12322
7861,2059,4086,Nelson's Farm,3,78,3,4,90819
7862,4132,6032,Jose's Herb Garden,4,98,8,3,33120
7863,9320,1455,Aisha's Juicery,4,57,8,6,31719
7864,8910,8575,Happy Acre Farms,4,78,3,7,10815
7865,401,1858,Bankers Hill Maple Syrup,4,78,3,8,71921
7866,9359,7049,Sauer Family Acre Farms,4,16,9,1,71620
7867,7749,8879,Francesco's Apples,3,57,8,7,62816
7868,3132,7662,Butterfly Creek Farm,1,57,8,8,82622
7869,5373,1552,Mountain Meadows Maple Syrup,2,16,9,8,53116
7870,9261,6631,Crater Lake Peach Orchard,1,98,9,1,60316
