ACCT-NBR,PRFX-LINE-NBR,SFX-LINE-NBR,SUB-SFX-LINE-NBR,MINOR-CDE-FLAG,ACCT-TITLE,BAL-CDE,ENTY,DTE-LST-RGSTR-ACCT
7460,71,2,9,1,Fly Creek Farm,3,5,50318
7461,91,7,8,1,Bankers Hill Fruit Orchard,5,4,73122
7462,71,3,1,1,Sauer Family Mushroom Farm,2,3,81818
7463,91,7,9,1,Timmy's Mushroom Farm,7,3,121213
7464,91,8,5,0,Jose's Squash Farm,7,4,111413
7465,71,4,1,1,Olivia's Pumpkin Patch,3,2,112214
7466,71,4,2,1,Blooming Family Lavender Fields,2,1,61919
7467,91,9,2,1,Elm Tree Country Estate,6,5,100113
7468,91,9,3,0,Tranquil Mushroom Farm,2,4,60113
7469,71,5,1,1,Maricel's Organic Farm,4,3,62518
7470,71,5,7,1,Alaska Apples,9,4,71213
7471,51,1,9,1,Abdalah's Vegetable Farm,6,4,11516
7472,92,1,7,0,Abdalah's Homestead,9,4,12114
7473,92,1,8,0,Delightful Juicery,4,1,81316
7474,51,2,2,1,Cloudy Mushroom Farm,6,5,63013
7475,71,7,4,0,Jimmy's Plum Orchard,6,2,102616
7476,92,2,5,1,Fullerton Lavender Fields,9,5,30314
7477,92,2,6,1,Fulkerson Family Sunflower Farms,2,2,42818
7478,71,8,3,0,Cloudy Fruit Orchard,4,1,102419
7479,92,3,2,0,Swallowtail Ponds Acres,5,5,52018
7480,71,8,5,1,Olivia's Lavender Fields,5,4,22117
7481,71,8,8,1,Smucker's Juicery,2,5,41420
7482,71,9,1,0,Sunset Hill Horse Ranch,5,4,31213
7483,71,9,2,0,Fulkerson Family Vegetable Farm,4,5,40117
7484,92,4,9,1,Timmy's Sunflower Farms,6,1,12615
7485,31,1,5,0,Jose's Organic Farm,5,1,61515
7486,51,6,8,1,Jose's Egg Farm,8,3,100913
7487,92,6,4,1,Rustic Maple Syrup,3,5,80118
7488,31,2,3,0,Kathy's Apples,9,4,110916
7489,92,6,8,1,Sparkle Pond Lavender Fields,9,2,112421
7490,51,7,3,1,Bankers Hill Hills,2,2,10917
7491,72,2,3,0,Maria's Vineyards,6,2,12017
7492,72,2,4,0,Olivia's Country Estate,6,4,111821
7493,31,2,9,0,Butterfly Creek Horses,5,4,40718
7494,92,7,5,1,Happy Country Estate,8,3,10218
7495,31,3,2,1,Smith Vineyards,7,1,121413
7496,92,7,9,0,Los Angeles Mushroom Farm,2,5,120613
7497,31,4,2,0,Sunny Creamery,8,3,41517
7498,51,9,3,0,Fulkerson Family Horse Ranch,4,1,121618
7499,51,9,4,0,Smith Chickens,9,3,31522
7500,51,9,5,1,Turtle Pond Homestead,6,5,70220
7501,92,8,9,1,Elm Tree Plum Orchard,6,1,121822
7502,72,4,5,1,Blue Lake Maple Syrup,4,2,61720
7503,72,4,7,0,Blissful Homestead,9,4,120817
7504,92,9,6,0,Jasmin's Herb Farm,4,5,82221
7505,92,9,8,0,Happy Oranges,5,3,102317
7506,31,6,1,0,Gloria's Egg Farm,1,2,41714
7507,11,1,4,0,Olivia's Farm,5,1,70813
7508,52,1,3,0,Maribel's Plum Orchard,1,1,110719
7509,52,1,4,0,Happy Apples,2,2,41818
7510,72,6,3,0,Turtle Pond Chickens,7,5,71422
7511,31,6,8,1,Tranquil Organic Farm,1,4,11814
7512,11,2,2,0,Badger Hill Herb Farm,7,4,21522
7513,31,7,1,0,Deer Creek Vineyards,4,4,10314
7514,72,6,7,0,Gloria's Hills,7,5,121915
7515,72,6,9,0,Virginia's Cow Farm,4,5,40619
7516,11,2,6,1,Fly Creek Flower Garden,1,1,121217
7517,11,2,7,0,Gloria's Acres,4,2,42216
7518,93,1,7,1,Virginia's Organic Farm,7,3,43021
7519,11,2,9,0,Crater Lake Vineyards,3,3,100215
7520,72,7,7,1,Turtle Pond Lavender Fields,5,3,42617
7521,11,3,4,0,Coleman Flower Garden,2,4,51520
7522,11,3,5,0,Turtle Pond Cattle,3,5,50315
7523,93,3,1,1,Jose's Herb Farm,4,5,93019
7524,72,8,4,1,Green Meadow Chickens,9,1,61315
7525,93,3,3,1,Ramaya's Fruit Orchard,2,5,122419
7526,72,8,6,0,Black Mountain Plum Orchard,1,3,120413
7527,52,3,9,1,Harvest Sunflower Farms,3,5,11120
7528,11,4,4,1,Sparkle Pond Juicery,1,4,103119
7529,93,3,8,1,Gloria's Squash Farm,2,1,31313
7530,93,3,9,0,Smith Horses,9,2,21918
7531,11,4,8,1,Crater Lake Ranch,7,4,12516
7532,72,9,4,0,Abdalah's Squash Farm,5,5,20421
7533,11,5,1,1,Badger Hill Honeybees,7,4,21717
7534,93,4,4,1,Badger Hill Squash Farm,5,4,81722
7535,52,4,8,0,Dry Creek Herb Garden,1,4,10514
7536,11,5,4,1,Blooming Family Honeybees,9,2,90516
7537,93,4,7,0,Golden Horse Ranch,4,1,10722
7538,11,5,6,0,Monarch Meadow Juicery,9,3,111220
7539,93,4,6,1,Maria's Pumpkin Patch,1,4,32614
7540,11,5,8,0,Abdalah's Horse Ranch,3,5,20521
7541,52,5,5,0,Charlotte's Sunflower Farms,6,2,111814
7542,52,4,7,0,Ramaya's Homestead,5,5,10321
7543,52,6,1,0,Radiant Vegetable Farm,4,1,21818
7544,32,1,4,0,Fullerton Farm,3,4,102617
7545,73,1,4,0,Turtle Pond Creamery,8,3,102019
7546,52,7,1,0,Harvest Acres,8,2,70819
7547,73,2,1,0,Sunny Farm,9,1,40121
7548,73,2,3,0,Elm Tree Mushroom Farm,2,2,101719
7549,11,8,1,0,Black Mountain Apples,4,1,31417
7550,52,7,8,0,Nelson's Horses,5,5,102117
7551,11,8,8,0,Kathy's Flower Garden,5,5,30822
7552,32,3,8,1,Arizona Mushroom Farm,4,4,33114
7553,93,8,5,1,Cloudy Horses,6,5,82616
7554,11,9,6,0,Sparkle Pond Egg Farm,6,1,72519
7555,73,4,1,0,Hightower Family Fields,4,2,21217
7556,32,4,7,1,Carolina's Juicery,3,2,11418
7557,52,9,5,1,Jimmy's Herb Farm,8,2,82122
7558,93,9,2,0,Anita's Mushroom Farm,4,4,52614
7559,73,4,3,0,Carolina's Oranges,8,5,90818
7560,93,9,6,1,Nelson's Lavender Fields,5,2,122822
7561,93,9,9,0,Jose's Chickens,2,2,122114
7562,53,1,2,1,Sharon's Mushroom Farm,5,5,52413
7563,12,1,6,1,Jasmin's Avocado Farm,2,5,81221
7564,32,6,6,1,Tranquil Herb Garden,1,3,21615
7565,94,1,1,1,Swallowtail Ponds Squash Farm,2,5,101516
7566,73,6,2,0,Golden Egg Farm,9,3,21416
7567,73,6,1,0,Alaska Cattle,9,2,91116
7568,73,6,8,1,Francesco's Farm,7,4,42215
7569,12,2,5,1,Fulkerson Family Herb Garden,7,5,111316
7570,32,7,4,0,Nelson's Fruit Orchard,3,3,62815
7571,53,2,4,0,Delightful Hills,5,3,43015
7572,32,7,9,1,Black Mountain Honey Bee Farm,9,1,32213
7573,53,2,8,1,Breezy Fruit Orchard,5,1,32513
7574,12,3,3,0,Jimmy's Mushroom Farm,8,2,71018
7575,12,3,1,0,Coleman Mushroom Farm,4,4,60517
7576,12,3,2,0,Nelson's Oranges,6,3,60522
7577,94,2,8,1,Fly Creek Mushroom Farm,4,1,61020
7578,53,3,3,0,Los Angeles Sunflower Farms,2,4,81215
7579,32,8,8,1,Fly Creek Cow Farm,4,2,82314
7580,73,8,5,0,Esmeralda's Honeybees,2,3,51920
7581,94,3,4,1,Smucker's Farm,6,1,91814
7582,73,8,8,1,Hightower Family Hills,2,5,60418
7583,73,9,1,0,Sunny Organic Farm,3,4,80713
7584,53,4,3,0,Anita's Herb Garden,6,2,71519
7585,73,9,5,1,Tranquil Ranch,8,2,122022
7586,94,4,5,0,Deer Creek Mushroom Farm,1,5,92817
7587,12,5,4,0,Bankers Hill Goats,6,5,102615
7588,53,5,3,0,Alberto's Sunflower Farms,4,1,11016
7589,12,5,9,0,Radiant Fruit Orchard,4,5,50522
7590,94,5,2,1,Mountain Vineyards,3,5,122214
7591,94,5,4,1,Maribel's Goats,7,4,72618
7592,53,5,9,0,Fly Creek Peach Orchard,2,1,42115
7593,94,5,5,0,Delightful Fruit Orchard,7,1,91619
7594,94,5,8,0,Virginia's Acres,6,1,33115
7595,94,6,2,1,Anita's Honey Bee Farm,3,1,42120
7596,33,1,8,0,Blissful Creamery,5,4,22916
7597,12,7,4,0,Tranquil Honeybees,1,3,100414
7598,33,2,4,0,Jimmy's Egg Farm,7,3,22018
7599,94,6,9,0,Esmeralda's Hills,8,4,110716
7600,33,2,6,1,Rustic Sunflower Farms,2,1,72816
7601,74,2,3,0,Dry Creek Creamery,3,1,72615
7602,12,7,9,0,Olivia's Hills,1,4,90615
7603,74,2,4,0,Deer Creek Fruit Orchard,4,2,41720
7604,94,7,4,0,Carolina's Pumpkin Patch,1,1,30516
7605,53,7,9,1,Ramaya's Maple Syrup,9,2,61617
7606,94,7,6,0,Breezy Mushroom Farm,8,2,102115
7607,33,2,7,1,Jasmin's Peach Orchard,9,2,50713
7608,33,3,4,1,Deer Creek Farm,3,2,53115
7609,33,3,5,1,Mountain Pumpkin Patch,9,5,82417
7610,74,3,1,0,Webb Family Plum Orchard,7,3,80919
7611,33,3,7,1,Kristen's Mushroom Farm,3,2,110417
7612,12,8,7,1,Blooming Family Horse Ranch,7,2,100218
7613,33,3,1,0,Badger Hill Herb Garden,9,1,113015
7614,12,8,9,1,Smith Lavender Fields,8,3,10322
7615,33,4,1,0,Aisha's Vineyards,3,5,70916
7616,12,9,4,0,Mountain Meadows Hills,1,5,41313
7617,33,4,4,0,Crater Lake Acre Farms,7,3,11313
7618,74,4,1,1,Virginia's Plum Orchard,7,5,22019
7619,74,4,3,0,Alberto's Avocado Farm,1,1,121015
7620,53,9,7,0,Swallowtail Ponds Goats,1,5,92522
7621,94,9,4,0,Albert's Plum Orchard,5,1,32521
7622,74,4,7,0,Mountain Meadows Acres,5,2,52821
7623,94,9,7,1,Virginia's Egg Farm,4,2,72218
7624,74,5,4,1,Abdalah's Goats,5,3,10820
7625,54,1,1,1,Rustic Acres,4,2,91119
7626,33,6,3,0,Green Meadow Acre Farms,2,2,40222
7627,33,6,4,0,Serene Cattle,1,5,121622
7628,54,1,4,1,Bankers Hill Herb Garden,2,4,110420
7629,74,5,9,1,Deer Creek Plum Orchard,1,2,71915
7630,74,6,1,1,Bankers Hill Egg Farm,6,3,111815
7631,74,6,5,1,Jasmin's Horse Ranch,2,3,72814
7632,74,6,6,1,Hightower Family Egg Farm,8,3,122920
7633,95,1,5,0,Dry Creek Flower Garden,9,4,40114
7634,74,7,3,1,Jose's Farm,9,5,41820
7635,95,2,7,0,Carolina's Apples,1,1,11720
7636,13,3,7,0,Abdalah's Country Estate,1,4,110520
7637,74,8,2,0,Maria's Creamery,6,1,51116
7638,54,3,5,1,Swallowtail Ponds Vineyards,4,5,80722
7639,33,8,7,0,Alberto's Goats,8,2,70218
7640,74,8,6,1,Smucker's Sunflower Farms,6,1,31622
7641,13,4,6,0,Cloudy Egg Farm,5,5,11820
7642,54,4,3,1,Breezy Chickens,5,5,91122
7643,95,3,9,1,Kristen's Horse Ranch,4,3,103121
7644,95,4,1,0,Delightful Country Estate,6,4,81914
7645,95,4,2,1,Sunset Hill Cow Farm,7,5,80219
7646,33,9,9,0,Turtle Pond Maple Syrup,8,5,112121
7647,95,4,3,0,Butterfly Creek Lavender Fields,2,1,92917
7648,95,4,5,0,Abdalah's Horses,2,2,120521
7649,54,5,1,1,Jasmin's Apples,5,3,51114
7650,13,5,5,1,Jose's Ranch,1,4,52515
7651,13,5,7,0,Francesco's Creamery,1,4,121717
7652,34,1,1,0,Sauer Family Farm,1,2,92015
7653,13,6,4,0,Coleman Cattle,4,1,113020
7654,34,1,6,0,Carolina's Creamery,2,5,102816
7655,54,6,6,0,Sauer Family Country Estate,4,4,72213
7656,13,7,2,0,Aisha's Squash Farm,2,5,33016
7657,95,6,5,0,Sparkle Pond Squash Farm,4,4,41422
7658,95,6,9,0,Maribel's Herb Garden,8,2,110920
7659,34,2,6,0,Mountain Mushroom Farm,1,2,50420
7660,95,7,1,0,Alberto's Creamery,6,2,72518
7661,95,7,2,0,Salt Lake Lavender Fields,4,5,30717
7662,95,7,3,1,Swallowtail Ponds Peach Orchard,2,1,32819
7663,95,7,4,1,Alaska Ranch,7,1,111213
7664,95,7,7,0,Ramaya's Acre Farms,8,4,111416
7665,54,8,2,0,Esmeralda's Mushroom Farm,2,4,61817
7666,54,8,1,1,Los Angeles Fruit Orchard,7,5,102619
7667,75,3,2,1,Elm Tree Ranch,2,5,70716
7668,34,3,5,1,Salt Lake Honeybees,5,5,21417
7669,34,3,4,1,Tranquil Country Estate,6,4,60622
7670,34,3,9,1,Virginia's Creamery,3,4,51516
7671,75,2,9,0,Monarch Meadow Honeybees,7,3,121818
7672,75,3,7,0,Harvest Organic Farm,8,4,32815
7673,34,4,2,1,Turtle Pond Goats,2,5,123114
7674,54,9,1,0,Abdalah's Farm,3,2,62422
7675,54,9,2,0,Hudson Family Honey Bee Farm,6,3,122013
7676,34,4,8,1,Maria's Acres,6,3,101113
7677,95,9,3,1,Hightower Family Vegetable Farm,7,5,73022
7678,54,9,8,1,Los Angeles Vineyards,6,5,112314
7679,75,4,4,0,Sparkle Pond Organic Farm,4,2,61716
7680,75,5,3,1,Green Meadow Cattle,3,5,51313
7681,34,5,9,0,Maricel's Herb Farm,1,2,52620
7682,34,6,1,1,Fullerton Homestead,5,3,112113
7683,34,6,4,0,Esmeralda's Organic Farm,6,2,72416
7684,55,1,3,1,Cloudy Peach Orchard,7,1,70622
7685,14,1,8,0,Delightful Egg Farm,4,3,50621
7686,14,1,9,0,Jasmin's Herb Garden,6,2,72022
7687,34,7,1,1,Esmeralda's Peach Orchard,7,5,13120
7688,14,2,7,0,Alberto's Mushroom Farm,4,1,72619
7689,14,2,8,1,Francesco's Herb Garden,3,5,61118
7690,34,7,9,1,Mountain Meadows Herb Garden,4,5,70816
7691,75,7,5,1,Golden Honey Bee Farm,3,2,91916
7692,75,7,7,0,Blooming Family Fields,8,2,10715
7693,55,2,7,0,Charlotte's Maple Syrup,7,4,10714
7694,96,2,8,1,Olivia's Vineyards,6,1,112918
7695,96,2,9,0,Delightful Mushroom Farm,2,2,12422
7696,14,3,6,1,Golden Mushroom Farm,5,5,92613
7697,34,8,7,0,Harvest Lavender Fields,6,1,30117
7698,75,8,4,0,Esmeralda's Ranch,8,1,120215
7699,96,3,1,0,Webb Family Chickens,5,5,92013
7700,75,8,6,1,Golden Country Estate,1,4,51617
7701,14,4,2,0,Fullerton Sunflower Farms,7,3,31915
7702,55,4,1,1,Blissful Fields,2,4,110713
7703,96,3,8,0,Sauer Family Flower Garden,8,2,33116
7704,75,9,4,0,Abdalah's Sunflower Farms,2,3,22217
7705,34,9,9,0,Cloudy Squash Farm,5,5,81222
7706,96,4,4,0,Jose's Mushroom Farm,3,3,50917
7707,55,4,9,1,Smucker's Herb Garden,9,5,42817
7708,55,5,7,1,Coleman Peach Orchard,7,4,11816
7709,14,6,2,1,Maria's Horses,4,5,91822
7710,55,6,3,0,Rustic Creamery,3,3,113018
7711,14,6,8,1,Blue Lake Hills,5,5,111622
7712,55,6,6,0,Sunset Hill Organic Farm,7,3,71922
7713,55,6,7,0,Golden Sunflower Farms,1,3,40321
7714,14,7,5,0,Black Mountain Herb Garden,6,3,50617
7715,35,2,6,1,Olivia's Oranges,5,4,42315
7716,55,7,6,1,Serene Acre Farms,2,4,83118
7717,35,3,1,1,Alaska Goats,1,4,31322
7718,96,7,7,1,Kathy's Horses,2,2,71822
7719,55,8,3,1,Esmeralda's Herb Farm,3,4,82916
7720,35,3,6,0,Swallowtail Ponds Herb Garden,8,2,51422
7721,35,3,7,1,Dry Creek Cow Farm,7,5,81715
7722,76,3,4,0,Butterfly Creek Egg Farm,3,4,42314
7723,55,8,5,1,Bankers Hill Pumpkin Patch,7,1,20914
7724,76,3,6,0,Virginia's Hills,5,3,13018
7725,96,8,5,1,Swallowtail Ponds Maple Syrup,7,5,71014
7726,14,9,4,1,Happy Flower Garden,8,5,20816
7727,35,4,2,1,Nelson's Honeybees,7,3,50920
7728,76,3,2,1,Sunset Hill Lavender Fields,9,3,31919
7729,35,4,6,0,Eduardo's Maple Syrup,8,3,123022
7730,96,9,1,0,Maricel's Oranges,4,3,30722
7731,96,9,2,0,Deer Creek Oranges,5,5,103013
7732,35,4,9,1,Black Mountain Acre Farms,8,3,40313
7733,96,9,5,1,Webb Family Apples,9,3,31122
7734,96,9,9,1,Swallowtail Ponds Country Estate,4,1,92919
7735,76,5,3,0,Badger Hill Homestead,1,3,122514
7736,76,5,4,0,Jose's Goats,1,4,33014
7737,35,5,9,1,Middle Creek Chickens,3,5,72215
7738,15,1,2,0,Elm Tree Fields,5,2,101622
7739,15,1,1,0,Fullerton Acre Farms,7,3,21314
7740,35,6,4,0,Webb Family Farm,1,3,60322
7741,76,6,3,1,Sauer Family Herb Farm,8,5,90219
7742,35,6,7,0,Sharon's Pumpkin Patch,7,4,90517
7743,97,1,3,1,Salt Lake Ranch,7,1,110817
7744,97,1,4,0,Monarch Meadow Squash Farm,9,5,11717
7745,35,7,1,1,Golden Squash Farm,8,5,70217
7746,76,6,7,0,Jimmy's Herb Garden,4,4,81813
7747,15,2,5,1,Blooming Family Maple Syrup,5,5,101220
7748,15,2,6,1,Virginia's Farm,5,4,20317
7749,56,2,4,0,Albert's Lavender Fields,2,2,80122
7750,76,7,2,1,Swallowtail Ponds Sunflower Farms,2,3,42514
7751,56,2,6,1,Sharon's Fruit Orchard,8,3,52319
7752,97,2,2,1,Hightower Family Herb Garden,4,4,111116
7753,35,8,1,1,Breezy Vineyards,7,1,42819
7754,97,2,6,0,Anita's Cow Farm,2,4,122816
7755,35,8,3,0,Dry Creek Oranges,9,5,30219
7756,15,3,6,1,Deer Creek Horses,6,3,51919
7757,76,8,1,1,Jimmy's Homestead,5,1,52019
7758,15,3,8,0,Albert's Herb Farm,7,5,113021
7759,35,8,5,1,Hudson Family Flower Garden,8,1,42619
7760,76,8,4,0,Charlotte's Vegetable Farm,2,2,71814
7761,56,3,7,1,Coleman Cow Farm,8,1,40618
7762,35,8,7,0,Harvest Ranch,2,4,12713
7763,76,7,8,0,Sharon's Vineyards,5,1,100515
7764,56,3,2,0,Mountain Meadows Apples,5,2,31415
7765,35,9,3,1,Turtle Pond Farm,2,1,111120
7766,15,4,6,0,Los Angeles Acre Farms,7,5,22822
7767,97,3,9,1,Hudson Family Squash Farm,5,4,30318
7768,56,4,1,1,Hightower Family Maple Syrup,4,4,103019
7769,76,9,3,1,Alaska Peach Orchard,4,5,51318
7770,56,4,4,0,Blooming Family Herb Garden,4,3,101520
7771,35,9,9,0,Mountain Meadows Vegetable Farm,4,3,21022
7772,56,4,8,1,Breezy Farm,1,5,103122
7773,76,9,7,0,Ross Lake Ranch,9,4,100520
7774,56,4,9,1,Breezy Creamery,7,3,91913
7775,76,9,9,1,Tranquil Lavender Fields,4,2,81920
7776,56,5,3,1,Webb Family Acres,9,2,110814
7777,97,5,1,1,Pringle Family Fruit Orchard,4,5,92317
7778,97,5,3,0,Fullerton Cattle,2,5,62018
7779,56,5,8,0,Francesco's Sunflower Farms,8,4,101120
7780,36,1,1,0,Gloria's Herb Farm,3,2,112021
7781,15,6,5,0,Happy Herb Farm,6,2,22413
7782,36,1,5,1,Radiant Herb Farm,9,1,30319
7783,36,1,7,0,Harvest Mushroom Farm,8,4,50416
7784,77,1,3,1,Maricel's Fruit Orchard,7,5,21521
7785,97,6,1,1,Nelson's Pumpkin Patch,5,4,120119
7786,15,7,2,1,Golden Organic Farm,2,3,41315
7787,77,1,8,0,Salt Lake Cow Farm,9,2,92722
7788,77,1,9,0,Timmy's Farm,8,1,91918
7789,56,7,2,0,Cloudy Farm,6,2,41917
7790,97,6,8,0,Anita's Vineyards,3,3,22214
7791,56,7,4,1,Kristen's Cattle,2,3,100620
7792,97,7,1,1,Kristen's Vineyards,6,5,50919
7793,77,2,3,1,Sunny Vegetable Farm,2,1,70718
7794,15,8,1,0,Abdalah's Acre Farms,7,4,112320
7795,56,7,8,0,Sunset Hill Horses,1,4,41115
7796,97,7,4,1,Fullerton Oranges,2,5,11819
7797,77,2,5,1,Blissful Oranges,7,1,120118
7798,97,6,9,0,Blue Lake Lavender Fields,1,3,12620
7799,97,7,8,0,Eduardo's Vegetable Farm,2,5,101422
7800,56,8,2,0,Virginia's Squash Farm,4,3,63018
7801,36,3,7,0,Francesco's Juicery,8,4,52114
7802,15,8,9,0,Tranquil Avocado Farm,5,3,122622
7803,56,8,7,1,Blissful Farm,8,4,52813
7804,77,3,6,1,Timmy's Egg Farm,6,4,20513
7805,56,8,8,1,Aisha's Homestead,8,1,80413
7806,36,3,8,0,Pringle Family Farm,1,5,82918
7807,97,8,6,0,Sunset Hill Ranch,8,4,90621
7808,97,8,8,0,Abdalah's Mushroom Farm,1,4,102522
7809,36,4,5,0,Fly Creek Honeybees,3,5,32917
7810,15,9,6,1,Aisha's Cattle,9,2,102819
7811,97,9,1,0,Fullerton Horse Ranch,6,3,72913
7812,56,9,6,1,Virginia's Fruit Orchard,8,4,21015
7813,97,9,3,0,Fly Creek Horses,5,4,33022
7814,97,9,2,0,Los Angeles Herb Garden,2,2,80820
7815,97,9,5,0,Sparkle Pond Plum Orchard,9,3,121819
7816,77,4,7,1,Gloria's Cow Farm,1,2,71619
7817,36,5,3,1,Mountain Maple Syrup,4,1,120720
7818,97,9,8,0,Jasmin's Juicery,4,1,112813
7819,36,5,8,0,Alaska Homestead,2,1,50317
7820,77,5,9,1,Albert's Fruit Orchard,7,4,91019
7821,57,1,5,1,Jose's Creamery,8,2,30814
7822,36,6,8,0,Mountain Chickens,3,3,62113
7823,57,1,6,0,Butterfly Creek Maple Syrup,9,4,61113
7824,98,1,4,1,Arizona Cow Farm,1,5,82721
7825,16,2,5,1,Badger Hill Vegetable Farm,6,1,70318
7826,57,2,2,1,Serene Vineyards,8,1,110119
7827,57,2,3,0,Bankers Hill Herb Farm,4,4,121617
7828,16,2,7,0,Webb Family Organic Farm,5,3,12414
7829,57,2,5,1,Maria's Goats,1,4,12515
7830,16,3,1,1,Maricel's Pumpkin Patch,2,4,80813
7831,36,8,5,1,Aisha's Egg Farm,7,4,92813
7832,16,3,8,1,Alberto's Ranch,1,2,42320
7833,77,8,7,1,Mountain Meadows Mushroom Farm,5,4,13114
7834,36,9,2,0,Alaska Honey Bee Farm,9,2,82319
7835,98,3,7,1,Gloria's Honey Bee Farm,8,2,51220
7836,16,4,8,1,Smith Fields,2,4,20917
7837,57,4,5,0,Elm Tree Apples,1,5,52220
7838,77,9,4,0,Sauer Family Ranch,7,1,100822
7839,36,9,6,0,Deer Creek Juicery,2,4,42121
7840,98,5,5,1,Charlotte's Flower Garden,9,5,30316
7841,98,5,6,1,Francesco's Cow Farm,7,3,31820
7842,78,1,1,1,Fly Creek Acres,5,3,11219
7843,37,1,7,1,Radiant Plum Orchard,5,2,71314
7844,16,6,9,0,Ramaya's Hills,7,1,53022
7845,78,1,5,1,Gloria's Peach Orchard,2,5,111919
7846,16,7,3,1,Salt Lake Sunflower Farms,9,2,103118
7847,37,2,1,0,Sharon's Juicery,8,1,30618
7848,37,2,2,1,Black Mountain Horses,7,4,90922
7849,98,6,9,1,Albert's Chickens,6,3,111620
7850,78,2,2,0,Rustic Farm,4,4,60417
7851,16,7,9,0,Los Angeles Country Estate,2,2,80915
7852,78,2,4,0,Maribel's Creamery,7,1,30720
7853,57,7,6,0,Crater Lake Avocado Farm,6,4,82113
7854,16,8,2,0,Arizona Juicery,8,5,53119
7855,16,8,3,0,Anita's Fruit Orchard,7,4,71815
7856,98,7,6,0,Salt Lake Herb Farm,5,5,51717
7857,16,8,5,1,Turtle Pond Vineyards,5,2,72713
7858,98,7,8,1,Monarch Meadow Plum Orchard,8,1,82015
7859,57,8,2,1,Fly Creek Cattle,9,4,120917
7860,16,8,6,1,Coleman Oranges,9,2,12322
7861,78,3,4,0,Nelson's Farm,7,1,90819
7862,98,8,3,1,Jose's Herb Garden,2,5,33120
7863,57,8,6,0,Aisha's Juicery,2,1,31719
7864,78,3,7,1,Happy Acre Farms,8,4,10815
7865,78,3,8,0,Bankers Hill Maple Syrup,5,2,71921
7866,16,9,1,1,Sauer Family Acre Farms,2,3,71620
7867,57,8,7,1,Francesco's Apples,7,4,62816
7868,57,8,8,1,Butterfly Creek Farm,8,5,82622
7869,16,9,8,1,Mountain Meadows Maple Syrup,3,1,53116
7870,98,9,1,1,Crater Lake Peach Orchard,1,5,60316
7871,78,4,3,0,Bankers Hill Vineyards,7,4,51622
7872,37,5,3,0,Cloudy Vegetable Farm,8,3,92219
7873,37,6,1,1,Harvest Maple Syrup,2,4,101314
7874,78,5,9,0,Smucker's Squash Farm,9,1,31216
7875,37,6,3,0,Bankers Hill Creamery,4,1,30417
7876,78,6,2,1,Los Angeles Horse Ranch,6,3,70418
7877,17,1,9,1,Badger Hill Fields,8,5,31617
7878,78,6,5,1,Hudson Family Herb Garden,8,5,60520
7879,58,1,9,1,Butterfly Creek Horse Ranch,1,3,73119
7880,37,7,6,0,Anita's Organic Farm,6,4,111813
7881,99,2,2,1,Maria's Horse Ranch,9,2,121318
7882,17,3,2,1,Charlotte's Squash Farm,6,2,52120
7883,78,7,8,1,Sunset Hill Vineyards,4,4,101316
7884,58,3,1,0,Jasmin's Hills,2,3,10414
7885,99,2,9,0,Mountain Meadows Squash Farm,9,1,122014
7886,37,8,6,0,Blue Lake Goats,4,3,82520
7887,17,4,2,0,Carolina's Honeybees,1,3,70518
7888,17,4,3,0,Black Mountain Maple Syrup,9,1,62514
7889,99,3,6,0,Coleman Herb Farm,9,2,110718
7890,37,9,2,1,Kristen's Avocado Farm,7,5,41620
7891,37,9,6,0,Badger Hill Sunflower Farms,7,5,52417
7892,37,9,8,0,Rustic Goats,2,2,12722
7893,17,5,2,1,Fly Creek Chickens,5,5,92515
7894,99,4,5,0,Smith Maple Syrup,4,5,62314
7895,17,5,5,1,Fulkerson Family Egg Farm,1,5,61322
7896,99,4,7,1,Radiant Horse Ranch,7,3,10215
7897,58,5,7,1,Sharon's Cow Farm,9,5,52017
7898,58,5,8,1,Hightower Family Sunflower Farms,3,4,30820
7899,38,1,1,0,Blooming Family Homestead,2,4,32616
7900,99,5,9,1,Ross Lake Herb Garden,7,2,83021
7901,58,6,6,0,Radiant Mushroom Farm,6,4,41514
7902,79,1,5,0,Green Meadow Honey Bee Farm,7,2,72919
7903,58,6,9,0,Olivia's Maple Syrup,4,3,71715
7904,38,2,2,1,Middle Creek Farm,3,1,71721
7905,17,7,4,1,Gloria's Herb Garden,6,1,90915
7906,99,6,9,0,Salt Lake Homestead,3,3,111519
7907,38,2,9,1,Blooming Family Horses,3,5,10617
7908,58,8,1,1,Pringle Family Honey Bee Farm,9,4,111018
7909,17,8,9,0,Alaska Fruit Orchard,6,2,11417
7910,99,8,2,0,Mountain Organic Farm,3,4,81615
7911,58,8,5,1,Dry Creek Juicery,3,1,91720
7912,79,3,9,1,Black Mountain Country Estate,4,1,71415
7913,58,9,2,1,Kathy's Herb Farm,7,2,30714
7914,38,4,5,0,Salt Lake Acres,1,2,71416
7915,38,4,6,0,Rustic Ranch,6,4,91315
7916,79,4,3,1,Blissful Squash Farm,1,2,112022
7917,38,4,8,1,Alaska Juicery,4,2,122221
7918,38,5,2,0,Bankers Hill Organic Farm,6,1,62717
7919,79,5,1,0,Kristen's Sunflower Farms,7,2,61713
7920,38,5,6,1,Francesco's Hills,5,1,41118
7921,38,5,8,0,Sauer Family Horses,9,3,52917
