ACCT,SUB-ACCT,OBJ-CLS,AMT,DR-CR
7946,75,WJ,557763.7,B
7947,26,MT,6546.8,S
7948,25,RY,382222.58,S
7949,28,HN,69430.1,D
7950,46,SR,44792.34,D
7951,22,KH,4907.16,S
7952,68,OD,537328.95,C
7953,88,WW,4642.31,B
7954,88,KG,37034.27,D
7955,58,SC,675034.82,L
7956,86,WO,18.34,C
7957,9,ML,3681.49,C
7958,81,FR,27.77,L
7959,98,GF,29.52,D
7960,39,HF,9605.18,S
7961,51,MM,518922.96,B
7962,93,FJ,86.94,S
7963,71,SM,3137.81,C
7964,68,XY,93297.2,B
7965,52,XC,46014.11,L
7966,13,EV,71.69,B
7967,35,XL,955641.88,C
7968,17,LY,61.29,B
7969,34,RT,79.2,C
7970,65,DD,20.74,D
7971,30,DH,1070.68,S
7972,60,KD,43.61,D
7973,28,AI,859247.28,C
7974,99,PP,51.75,D
7975,42,CR,67.99,S
7976,37,JB,239.85,C
7977,41,OF,87.75,B
7978,70,BB,93.59,S
7979,49,RR,651734.9,B
7980,61,EV,346933.33,L
7981,68,VF,16.76,L
7982,62,NA,9739.95,C
7983,86,YA,10.34,C
7984,7,OO,70545.8,S
7985,66,HA,6354.17,D
7986,71,CB,10.52,C
7987,32,AA,724.22,B
7988,90,NH,867448.56,L
7989,17,EW,623.11,S
7990,49,WH,52160.25,S
7991,42,FD,90339.86,C
7992,29,PQ,67853.19,L
7993,62,YM,1189.38,D
7994,47,VF,712158.82,D
7995,71,NL,8038.2,B
7996,35,JH,725.53,B
7997,0,SG,57.7,C
7998,73,XN,70444.45,C
7999,54,OR,5507.67,L
