FY,ENTY-CDE,ACCT-NBR,MINOR-CDE,CUR-MO-CDE,CUR-ACCT-BAL,PR-YR-ENDG-BAL,GL-MO-ACTV,CLSG-ENTRIES,CUR-MO-PR-YR-ACTV,SUBQ-MO-PR-YR-ACTV,MEMO-ACCT-BAL,PREV-BAL-CNTR,DTE-LST-RGSTR-ACCT,RGSTR-TYP-CDE,CTRY-DIGIT
46,33,7220,219,34,33901.94,-18366.69,-26353.68,-87615.06,-7423.29,56172.89,-97897.21,27971.86,70317,22,6
25,87,7221,216,54,57058.83,23051.51,-11092.21,37135.94,37369.55,42142.95,8762.21,-60177.2,50116,20,3
66,84,7222,214,41,-58325.2,51546.93,54030.41,-9996.32,64378.22,50724.28,-52282.12,87428.16,11316,23,1
25,88,7223,213,49,-95248.03,48950.13,-39823.91,-12581.96,57898.39,-79797.65,95482.99,-34058.19,121016,20,7
66,86,7224,220,63,64454.32,53303.84,-53878.22,11164.11,74831.29,71947.98,96097.08,-92206.71,41120,20,2
87,37,7225,211,90,25943.04,-22407.1,5831.25,29469.7,58329.42,-11797.54,-85078.86,58970.63,90422,23,5
66,91,7226,209,32,-78583.36,-91426.07,78032.85,33570.88,-54874.34,91482.57,-18973.61,68423.99,11320,21,4
66,93,7227,213,61,87282.69,-32674.99,76881.16,-12365.22,7664.21,91607.25,27107.18,86660.26,70618,23,2
66,94,7228,200,99,-12874.37,58874.43,85012.27,654.27,77743.86,-69741.68,-66639.73,8058.66,101017,21,1
66,96,7229,204,30,-75179.82,66188.3,58823.89,-59509.54,-82543.97,-75039.27,-87847.03,-56466.03,72121,23,6
87,45,7230,210,12,-13578.61,68391.51,-63418.19,55350.8,-84862.73,56246.97,-77893.39,26772.74,110116,20,7
87,48,7231,215,48,93698.18,-25997.35,-84048.49,-80619.23,79320.26,-31359.96,45968.68,32524.58,21120,22,7
87,49,7232,202,88,-95519.26,45293.2,-78157.12,-56255.08,45237.46,-23927.93,-73.55,-33437.7,31821,22,8
26,8,7233,217,32,-39351.13,-84470.3,99224.95,64652.19,-1933.12,-33688.23,79287.51,16336.75,90713,21,5
87,52,7234,210,93,66968.5,12354.05,4078.46,59769.58,97988.2,95375.99,55474.03,13610.22,50214,20,1
67,4,7235,202,60,-92902.67,-76438.26,46539.67,81402.84,-31110.06,-85270.97,56325.16,82193.17,123115,22,6
46,60,7236,208,90,26312.61,21088.02,-55906.45,95073.05,-71296.3,68394.75,7634.75,84938.74,31620,20,6
26,12,7237,207,29,-13807.96,52029.35,71835.36,-10865.79,85427.35,28197.58,54261.99,-29373.87,102915,23,9
67,14,7238,207,26,-74730.51,54496.21,-4971.57,-67576.85,94607.35,84276.19,-87652.55,15121.62,70319,22,4
26,21,7239,204,43,15261.64,-79508.47,65912.86,13238.18,-92660.52,89254.33,-81762.69,-8857.05,50217,23,2
67,18,7240,206,67,41999.18,77258.01,-41660.47,20046.04,27201.68,-27380.6,12939.43,-36341.35,91516,22,2
46,70,7241,202,55,47114.73,-6190.9,-26960.94,-49940.53,57424.96,-17481.3,-73776.16,-4880.21,52514,20,1
87,67,7242,215,25,92308.54,91170.87,-30464.19,-64702.62,-29407.74,41628.89,-71987.64,81724.66,42518,22,6
67,21,7243,203,64,18473.14,29146.81,-75763.96,-44564.07,68459.97,-60053.18,-59507.25,-48640.22,100716,20,3
26,24,7244,200,65,-40192.46,50659.99,-28534.19,14673.62,77194.31,65462.46,3736.78,-77696.87,81619,21,6
87,69,7245,210,94,58447.37,-37428.25,12666.4,7119.82,-82118.24,8939.83,-9140.29,-5446.2,102613,21,4
26,28,7246,218,30,-52843.17,-98153.17,54472.5,-25335.48,-87307.92,68897.63,-2594.61,57149.2,51119,22,2
26,29,7247,211,15,47879.17,19126.5,-93212.06,62750.38,97607.07,-84510.47,-96.15,43954.29,71016,20,6
87,75,7248,209,96,44584.58,71447.25,-14930.67,-81918.52,33298.4,-43586.37,41797.27,79818.59,72418,22,4
46,80,7249,219,27,-13473.33,94260.12,-42288.83,58740.52,-28276.25,-43899.06,9626.76,-40600.99,50622,23,7
26,34,7250,203,16,84581.73,31675.47,25696.95,18091.74,-91291.42,-32890.26,8502.5,51365.8,82818,22,4
67,36,7251,214,43,-73301.02,96749.21,81234.69,13421.71,24841.71,73476.33,71764.96,90027.63,71322,21,9
87,88,7252,208,84,-33709.33,56420.05,57488.05,-4183.72,-2468.15,25820.34,6918.06,-3594.15,51815,21,9
26,45,7253,211,90,-53899.98,-9218.01,-25122.31,-39138.47,-98332.14,-65294.84,-44226.12,-26072.55,11221,21,4
26,54,7254,216,81,-97707.81,-41213.72,-79159.98,70512.9,-78841.13,-11667.22,-11062.17,43749.83,32122,21,1
87,99,7255,218,46,-68674.88,-51173.1,1329.94,35542.38,-9983.78,-57558.03,-89611.11,30562.96,30819,20,2
47,2,7256,209,37,-26953.33,-78228.7,-3346.71,55255.72,28117.49,60565.54,99688.72,88823.02,60917,22,2
67,50,7257,208,71,26525.19,-94814.03,-61263.02,60356.87,-99041.94,41006.39,87998.24,-93742.6,12015,22,9
26,60,7258,213,75,3520.77,-76444.3,-90881.73,84580.03,52050.09,59705.63,30256.15,-80130.85,31214,20,3
47,11,7259,205,39,21152.54,-42360.14,-10435.9,-4998.4,-18460.44,56251.8,91562.57,75952.49,90717,20,1
67,62,7260,216,36,28499.05,-22366.61,68014.57,-37381.7,19494.82,92614.67,50921.7,87752.1,22316,20,4
47,14,7261,219,54,93381.21,-3669.21,-61630.58,53526.51,-4277.39,6074.36,74024.86,-77829.99,112422,23,2
67,64,7262,203,35,-90465.35,-21955.34,-53858.43,72447.98,80714.44,-93546.96,37069.19,-4572.58,122914,21,5
88,21,7263,218,37,83967.17,-21602.92,70668.34,30576.69,23896.48,-55226.82,-83015.57,-80824.15,72114,22,4
67,80,7264,211,41,-18599.86,-98862.39,-80347.83,-44571.6,1874.07,-41767.2,25550.19,-47221.83,41014,23,4
67,81,7265,210,62,-89805.98,28086.62,65994.64,95294.85,78231.23,17069.78,-76793.55,23336.95,12221,22,5
88,33,7266,206,20,77817.65,-56831.74,16705.09,96564.05,-33912.65,41150.97,-36101.52,39430.4,102321,23,3
88,36,7267,202,69,21183.04,41344.03,6451.86,-28130.07,21621.33,-35911.55,-49906.13,-59562.2,30913,23,1
88,40,7268,201,69,-27259.45,59444.43,64715.33,65516.37,-82200.71,18955.47,-97701.94,91297.3,41815,22,3
26,99,7269,212,28,88225.24,-91096.52,-51128.31,-42174.95,-1502.55,33447.11,60674.87,95643.45,123116,23,6
27,4,7270,213,63,12565.29,-74909.17,9603.4,-87107.05,-734.65,-68397.19,8060.26,95422.3,31514,21,3
47,53,7271,219,65,-50618.07,85441.06,12852.7,-21528.85,58049.81,71742.32,19806.55,-357.05,120913,22,8
88,48,7272,219,40,69758.57,-52730.71,55581.2,33438.58,75042.12,68754.39,-11056.06,-88432.73,81119,20,7
27,7,7273,201,15,95762.91,-95499.36,-74506.34,19249.37,-19994.92,60968.78,-66805.71,27116.01,92519,23,9
68,1,7274,201,11,41805.92,85372.53,-38344.33,-80931.34,-64599.45,78625.74,33702.91,-48986.61,22616,22,5
27,15,7275,203,50,-15284.61,-64646.6,-3751.95,30688.3,-47436.43,-14585.11,51584.37,65602.59,112721,21,8
88,59,7276,214,32,-96036.57,-66279.94,77890.2,61077.95,-80127.07,85848.04,-49602.33,-37820.91,92915,22,4
47,65,7277,202,72,48373.58,-46824.12,62951.4,81176.94,-16953.22,-95671.33,41116.76,-25675.83,91013,23,6
68,18,7278,200,39,45414.64,19517.15,84186.56,-52334.79,93552.78,95288.02,75647.66,-9062.78,31421,22,5
88,77,7279,205,67,15380.72,-71824.14,13494.33,-57780.66,-84592.19,25733.53,6006.09,43896.28,100821,23,2
68,29,7280,214,73,55144.81,-4411.4,-71264.99,69520.93,-48376.51,46462.27,-18669.52,99365.61,81020,21,4
27,38,7281,209,82,-51433.27,-52005.46,70216.17,93787.73,-44166.51,53659.35,7932.63,-65941.11,51917,23,3
68,36,7282,219,48,-53617.68,83527.15,-74417.13,-93700.12,83887.85,52420.08,34419.04,-3176.13,101117,20,5
88,84,7283,219,79,9170.62,24480.77,1735.94,-4404.09,58261.65,23280.08,55496.02,18891.85,112819,21,1
88,87,7284,200,50,-61718.42,31372.86,79832.57,-34608.88,54538.68,-17418.36,-60290.97,38535.64,100915,20,9
68,44,7285,217,44,-58953.22,-68476.86,-47272.12,-56226.08,-22832.36,82552.05,63618.79,-8029.78,91618,20,3
47,96,7286,219,78,-85546.34,-30746.52,31116.64,85465.7,79558.8,-69683.16,95878.65,96461.72,82515,23,5
48,2,7287,216,77,-33820.88,46988.1,25858.21,-76396.26,-3740.26,772.67,-99956.27,-57850.69,50321,20,4
27,54,7288,201,35,17277.16,-68795.86,-89083.52,-11869.62,87932.69,-33671.71,15017.38,82385.45,120414,20,1
68,50,7289,204,50,46796.27,-69531.35,4076.49,86067.49,-47283.37,78004.55,-53871.86,69838.32,91815,23,9
27,56,7290,205,82,-22891.59,-66282.44,27505.89,-40403.36,-26305.65,-88932.14,89114.15,-76756.09,91314,21,6
27,58,7291,219,74,55058.93,-21420.42,-99628.95,22061.65,87038.09,17753.04,55855.59,-98124.45,91215,21,3
68,58,7292,200,48,47415.89,24496.64,61066.04,90016.37,85464.46,55966.88,-83984.43,14993.06,62218,21,1
48,12,7293,204,82,37114.08,-30075.78,99552.15,-35667.05,13845.71,66218.98,-98186.52,70895.36,52916,21,6
27,65,7294,214,78,-52211.69,-15995.55,72671.76,8664.56,86489.26,-84214.92,51875.71,58640.32,72616,23,9
48,14,7295,212,94,55048.49,16991.58,11548.9,-83916.63,25408.97,84239.06,85839.78,-70929.58,10113,23,2
48,15,7296,219,96,83371.23,-64074.61,-92003.9,32481.21,33831.35,-33448.57,-46451.06,37337.48,120320,22,3
68,64,7297,202,88,-38337.02,-71659.54,63646.76,2036.43,49434.29,-91341.64,26969.96,25846.36,110521,20,5
27,64,7298,207,31,-31048.12,11172.65,-3508.69,-8218.85,15921.39,-44765.3,17749.87,3631.23,21121,21,5
89,11,7299,208,66,31147.68,44602.17,-88871.04,45661.75,-9107.04,15366.39,90634.73,81578.52,100122,22,3
89,15,7300,209,33,62135.12,42412.76,539.02,-9119.68,30796.55,19363.36,40120.12,-26224.33,53013,21,8
68,67,7301,216,36,-8268.14,43420.78,-15301.84,44562.96,-9298.53,-9462.99,-20958.83,91403.62,70922,23,1
27,75,7302,206,95,-94496.62,-66497.93,-46652.27,-84934.33,-67052.52,-16082.89,-47358.9,-70909.88,51715,21,1
27,77,7303,214,96,59456.36,8533.46,20104.59,-40698.63,-72118.98,27873.96,-81226.76,-27579.63,70420,21,3
89,23,7304,212,69,2615.47,-92837.17,-73226.69,88743.77,21417.96,96345.08,95515.47,57549.1,62714,23,1
89,26,7305,216,59,63995.87,-73067.99,-41943.42,18402.07,67413.11,-85790.91,81582.45,15934.12,92420,21,4
68,78,7306,200,26,-64554.94,68781.44,18006.43,68855.8,4843.38,-50905.12,57944.7,-38516.35,111522,20,7
89,33,7307,216,37,-6710.38,-85581.25,-13759.74,-21529.26,-86106.9,-27791.66,-19834.76,-54364.48,20114,23,8
89,34,7308,208,61,-77766.12,50377.19,-94460.32,-47357.67,-72951.41,-96226.97,52214.06,83478.73,12621,23,6
68,87,7309,219,75,29350.34,-45922.53,-70372.49,74400.31,20943.69,-28740.23,38487.73,-12427.54,61522,22,9
27,93,7310,218,36,49390.86,-70395.85,19739.13,-28636.7,30381.59,-9043.76,-44591.41,-86514.21,81915,21,3
89,38,7311,213,76,-40350.16,-79243.69,-22057.53,-78741.76,86556.17,-78344.11,9195.91,-24125.09,120115,20,5
89,37,7312,218,18,97524.76,2144.11,-42753.22,-32308.08,92463.67,48454.76,-3611.26,-79284.96,100315,21,6
48,41,7313,220,11,-43950.59,68560.87,-18690.86,76521.78,42835.66,-33220.9,98233.77,-38923.35,121117,22,1
69,7,7314,206,81,-42425.03,-98679.47,69896.46,-26787.54,-48042.24,-98976.13,-3822.54,-73021.92,102120,21,1
69,13,7315,217,46,-7648.93,55291.78,72815.48,-49913.55,75318.42,11279.29,49663.45,78950.72,92618,21,4
48,65,7316,202,25,54044.45,-20929.31,84430.25,-94055.9,-51633.08,-92835.45,68177.91,-76552.11,110513,21,7
28,28,7317,216,87,195.37,-37084.68,-21830.55,83385.51,91819.13,-80394.14,-41390.17,62920.92,121518,22,7
28,33,7318,200,95,-73042.74,89703.84,60437.57,-23189.57,-53234,-12267.47,12225.86,-22062.66,81814,23,1
48,83,7319,209,30,43911.64,-75638.88,-13192.47,-14042.22,-80449.06,16084.56,-22960.29,84733.84,102416,23,1
89,80,7320,216,10,-29000.23,-65042.23,-52279.82,86870.79,21456.48,75572.61,46638.53,2068.52,61416,23,9
89,81,7321,219,77,-24589.08,-8388.73,47074.5,-78101.57,71659.46,48443.07,34029.05,-82457.63,60720,23,1
48,86,7322,204,16,-80206.18,-58130.52,10352.48,-61290.06,-36573.18,-13107.08,-72161.93,29216.78,91921,20,2
89,90,7323,204,94,-1813.85,-25147.48,50719.55,91223.41,-23592.08,-20520.81,-16416.45,-19644.6,30114,20,1
28,50,7324,210,75,-24645.45,14631.99,-10145.54,21107.06,-20614.65,-58934.6,-98847.77,58936.83,51413,23,6
69,47,7325,203,31,-80700.12,41376.78,60820.31,59053.28,-37508.28,67896.52,-1505.16,-48628.23,82521,20,4
48,99,7326,206,58,-49095.48,-10857.45,-7498.28,77635.36,-66469.87,-19428.75,-41573.66,-56059.79,70119,22,1
49,1,7327,216,56,-50860.58,-66354.08,5058.74,42925.82,-15437.37,-10895.54,-50784.31,99848.36,70617,20,6
69,52,7328,213,33,26429.85,-10.38,-83232.79,-93268.4,-33266.44,48029.89,-77556.42,-95997.28,102917,22,9
28,57,7329,200,14,-90408.93,54980.72,36386.15,-47079.61,-38191.29,-82243.71,-783.37,-73919.57,82318,20,9
90,1,7330,218,38,-15475.64,-82309.05,-19717.56,88055.05,-79379.2,-2618.09,37390.01,48837.81,120718,23,6
49,6,7331,219,98,97191.85,-5726.28,-98349.97,72172.23,-34277.97,-8074.52,78661.98,-33706.6,81918,20,8
49,10,7332,213,74,-29303.37,-74862.67,-58928.43,-41995.49,25193.42,-47046.93,-59724.07,-92052.62,42615,22,9
28,64,7333,202,11,-56966.62,-62586.33,-27720.45,67633.5,32977.79,-39964.99,75351.33,-74702.77,30918,21,1
69,64,7334,206,51,-13464,80906.69,-16983.9,12457.2,47269.4,27889.47,-75849.9,-50332.08,11620,21,3
28,69,7335,202,58,-14720.1,-96399.44,77855.58,-7407.13,-96830.14,-4367.72,-50566.2,37153.22,101819,21,2
28,70,7336,219,24,89015.11,-69928.12,58014.25,-39717.56,-12530.82,-28148.56,8174.39,-73421.34,22519,22,5
69,65,7337,209,59,6653.62,-95901.34,-66648.01,-97863.1,-21213.4,-78921.32,33599.14,-69358.04,72118,22,7
90,15,7338,201,15,41657,73440.81,-70246.45,-44615.16,17449.48,18161.93,92684.33,-28583.88,102514,23,5
69,69,7339,209,12,-37056.87,-99975.44,-4859.12,32437.8,79476.35,-40916.74,-42656.92,4870.46,60117,20,4
28,73,7340,211,56,27549.47,-19145.94,-78792.37,79618.97,-14599.44,-46736,-7852.31,37473.79,110118,23,9
28,75,7341,219,22,95742.88,-81214.91,95357.4,93468.18,81865.14,30408.38,-81460.86,-13044.85,70517,20,3
69,72,7342,207,63,-67862.34,52329.35,43013.19,-37967.17,-22743.32,-94001.05,92313.24,56304.7,81016,20,4
90,20,7343,213,61,-16290.46,-65954.3,-59213.09,-22642.49,-57861.73,-56116.22,-48268.37,-83634.32,31413,22,5
69,73,7344,211,27,-53515.83,-60580.05,-88884.54,92336.06,88106.25,-42687.85,-54482.85,74198.67,21318,21,9
49,29,7345,200,28,13915.86,29601.9,-30759.96,-35290.66,23660.66,32223.82,-78039.1,-50995.41,113022,23,4
90,28,7346,208,35,9920.85,-36695.41,59210.08,-73737.9,-31449.36,45835.39,58366.28,-54079.09,100416,22,1
69,84,7347,218,87,-42031.81,22479.23,52437.15,-58733.76,-48767.99,-62556.82,64281.12,39135.73,20913,22,7
49,37,7348,204,54,30380.21,88386.1,48905.79,-33905.45,14556.54,34504.09,66123.98,-73889.92,52221,22,4
28,91,7349,208,46,-68969.75,79426.38,-72639.22,-18743.22,53819,-69282.68,59690.12,90344.15,11318,22,4
90,37,7350,206,51,1397.98,87323.05,70972.08,14582.61,-50521.63,-1537.11,86949.35,-80886.13,121321,23,2
69,91,7351,202,42,27806.08,39541.21,41049.63,-29955.6,-68045.48,-4678.19,-51987.47,23588.83,80417,21,9
49,47,7352,209,80,-80404.3,-22106.53,24971.32,87495.25,-33058.53,8774.15,-91005.78,-95477.95,80721,23,6
29,1,7353,217,33,80736.71,27056.96,-41880.06,51324.17,4190.69,5344.08,-25828.82,-54454.61,111214,21,6
49,49,7354,216,47,-52183.46,-94462.33,-86905.04,-95830.58,-97280.68,-90107.48,-56345.96,-62565.18,61513,23,9
90,47,7355,212,95,-40721.81,62360.15,23088.58,-15089.76,-75840.54,39398.68,4034.12,73104.5,51013,23,7
49,52,7356,208,98,33209.69,80827.38,-67097.54,-32183.87,-93406.01,-91598.52,82732.98,-36116.44,42914,22,3
29,7,7357,201,75,42955.18,81171.09,-86691.92,-71788.87,18053.53,18913.72,-65088.38,-6310.16,110217,21,4
70,4,7358,200,19,17012.12,86819.49,92629.5,47198.88,-28853.58,75663.42,-12257.7,11223.26,121821,23,3
70,5,7359,205,43,69806.77,39019.05,-72959.63,86958.42,-84732.58,-29895.95,53647.03,-16203.08,32713,21,8
29,10,7360,216,93,39014.27,57522.27,-67365.08,-87378.98,-23345.33,55958.15,22373.42,49320.27,10417,20,8
29,9,7361,211,35,58666.29,16953.37,-83952.15,-37544.5,-48218.26,37001.58,87200.53,35889.87,12213,23,5
70,11,7362,203,96,-35813.27,51418.71,-93409.58,-78967.22,39090.45,-51078.81,92522.88,50518.01,22115,22,8
29,19,7363,214,65,-66967.36,99185.86,21709.64,-37704.82,54954.82,-92810.89,-63857.73,32029.38,40615,22,5
49,70,7364,205,95,25084.55,35256.91,-25554.19,58370.58,-69988.95,-68914.96,67569.4,-90030.66,21920,20,9
49,71,7365,207,85,40987.55,-21896.78,55921.29,54724.28,-74274.63,-29323.26,-71172.15,-42103.5,61819,22,7
70,22,7366,213,21,95431.39,14670.98,-82029.99,-99031.87,60616.09,-88783.37,-42457.2,-39737.4,120921,23,5
90,72,7367,215,31,-39360.12,-36706.52,49780.93,47585.22,-83585.66,-2282.32,-33359.49,-82448.63,110822,22,6
90,73,7368,208,72,40219.7,65610.86,47800,-52467.05,-79074.09,-82027.64,-51806.16,-82253.45,61413,21,8
29,32,7369,208,22,70609.11,3658.47,74477.43,69354.78,-32027.75,58583.43,-76518.84,-20055.28,110813,23,3
90,78,7370,210,52,-48452.22,-39889.52,69595.48,-21121.73,-32174.78,-40940.9,7012.52,-94314.37,100622,21,9
90,80,7371,203,25,81735.61,-41089.55,48818.59,-76556.4,62579.22,20661.68,77058.8,40492.5,72119,23,4
90,81,7372,205,16,52642.09,11313.31,-17144.5,96883.3,-39268.65,14188.74,59548.96,31876.88,11515,22,5
90,90,7373,202,40,22067.69,-39654.81,89011.09,67490.68,1170.51,36101.85,-21471.62,-35397.97,43020,20,2
49,96,7374,213,77,2737.78,-21479.74,26565.46,-79191.9,65113.9,-19161.36,-55823.17,-37384.55,20915,20,6
90,94,7375,204,81,18025.68,56481.4,14052.4,-68818.62,33600.51,-11436.79,-52667.84,-56235.7,111918,20,8
70,49,7376,217,80,28730.6,41068.59,-74427.83,51701.89,64209.71,-82097.02,-19745.52,39861.82,72922,23,2
50,4,7377,201,69,84157.2,-44003.86,-70045.41,69298.16,82421.6,46594.96,-26630.76,-85279.03,50817,21,9
29,59,7378,215,24,-10901.38,52658.19,-68496.74,-77899.17,58213.11,48668.16,29199.88,59503.06,82821,22,5
91,4,7379,220,31,35323.62,-38197.33,-97699.1,63087.4,8005.86,-74279.95,-28238.46,-90494.34,52116,22,8
50,9,7380,220,55,-31758.06,-29433.87,59753.42,45120.64,58148.89,66158.11,-18047.54,45950.7,51321,21,5
70,56,7381,218,19,75829.25,-82143.95,-21743.5,-19283.6,53039.24,91925.18,-33483.83,-95016.16,100522,20,6
50,7,7382,213,72,19759.07,-60429.65,-95162.94,-57120.63,-33239.1,-8255.39,-35054.61,76182.17,11314,21,5
50,14,7383,211,97,37774.05,79033.43,-3418.99,71726.54,16661.18,25272.1,56486.75,48131.18,102718,20,5
50,17,7384,203,78,26180.61,-25362.24,-17860.07,-5195.42,54762.81,-80695.77,23645.01,64743.45,33122,20,7
29,71,7385,200,50,-54118.68,-60838.33,59876.6,23550.12,-35209.57,-78087.04,-89694.01,-87554.56,43016,23,6
29,73,7386,202,18,38115.38,-9730.97,64226.81,69133.53,-46434.14,73966.85,-21922.47,-63176.62,122219,20,4
91,21,7387,207,29,65455.99,-85844.52,-47379.45,97025.1,-30925.9,-81633.13,-92676.65,-27504.23,102521,21,1
29,77,7388,205,91,-45969.68,92682.48,-11774.13,341.91,32543.53,1966.74,-89825.38,-4260.77,40817,22,1
50,30,7389,215,88,-88229.31,66658.22,21769.93,-64845.79,74382.84,-69295.89,19275.12,94400.44,82713,20,9
91,27,7390,220,94,-30629.99,96764.58,-90017.39,13006.23,-6025.27,26973.65,-20102.45,-6168.96,62313,23,6
91,28,7391,211,35,-7870.89,-75079.34,12051.82,-46128.4,-84400.96,-73215.3,84780.3,-61902.15,22116,20,2
29,85,7392,220,67,6659.59,92135.57,-59082.18,15995.35,86747.2,33466.64,-43070.89,-56734.58,60618,21,3
50,40,7393,210,25,-48379.47,62189.37,-14951.88,71619.04,77607.17,54070.4,32509.81,16010.67,100316,23,7
91,43,7394,207,63,-21301.22,-50423.28,-55176.77,80688.9,4274.76,-38983.66,13944.08,17984.26,51716,22,4
91,47,7395,206,84,92939.67,25021.02,77869.72,-40331.87,-28033.98,69450.71,-51861.35,63056.57,91919,20,7
71,0,7396,202,90,-58053.88,36202.63,-85964.47,-8978.82,-82941.92,19593.91,-63176.17,38448.67,100220,20,6
30,4,7397,204,86,58759.93,-49676.79,-75696.1,3666.7,-95243.93,-60582.44,30554.21,71672.08,21322,21,4
30,10,7398,200,11,34633.59,71675.37,50072.18,-14769.9,34867.42,44467.04,88317.85,66697.07,30620,23,4
50,60,7399,215,70,76589.04,77403.61,-38456.01,4052.34,-35668.74,-55765.4,57614.29,27098.93,71220,20,9
71,9,7400,200,46,7104.35,1398.1,21655.79,-54364.41,-38333.31,-48200.97,-11457.38,97996.72,71221,21,5
91,61,7401,211,47,58239.37,-52499.87,65916.97,-52962.66,52260.51,-83219.04,-72311.94,47847.6,53021,20,6
50,66,7402,220,96,61889.51,-74204.01,92467.6,-14091.9,35046.42,-69902.88,58767.93,-94251.29,62615,22,7
50,67,7403,205,55,-68196.28,56077.61,24634.94,-10627.78,-46124.72,7782.02,-12108.06,-9898.16,80819,22,5
50,68,7404,206,82,-69542.07,12584.84,-44731.44,-19715.93,-37406.86,3229.13,51295.7,46507.59,121921,22,3
50,69,7405,211,21,-86365.09,-27509.82,-93025.68,84807.71,96036.68,-75765.71,83558.16,31854.67,70421,20,3
71,18,7406,205,41,-36660.65,87928.08,72605.93,46071.7,-74619.9,-24190.26,19606.81,-87128,30619,22,2
71,17,7407,211,64,-39097.47,53131.61,-73724.9,-67987.19,26646,43293.12,16958.98,-9511.79,91115,20,4
91,65,7408,204,65,-95162.14,-34011.54,-80966.39,-15365.74,-6896.27,14346.46,64023.66,60866.59,122018,20,8
91,69,7409,205,60,69503.82,-85394.36,-70947.84,-95017.73,-4367.99,-96752.44,-62007.49,47751.74,92216,21,9
91,71,7410,206,69,75617.36,53046.73,78485.31,77681.7,10144.99,66734.72,84847.54,-17761.78,93013,21,8
30,29,7411,217,12,99895.78,-85357.8,-64007.56,-58297.56,81599.15,-81026.58,-50714.83,48956.98,81520,23,5
30,31,7412,208,82,25883.26,-26838.78,32643.33,-41781.46,-53759.44,-95690.34,-18140.02,-46391.5,31013,23,1
30,32,7413,204,51,8718.47,33946.7,-88093.33,86574.15,44516.59,59618.68,9132.38,-69023.43,110214,20,9
91,76,7414,204,67,55107.12,50748.86,-44034.71,-64519.34,-60127.72,75547.21,-76121.54,-79334.05,50819,22,6
30,35,7415,215,88,87693.18,56579.51,-41938.66,41230.92,60594.26,61217.36,57157.03,-46094.11,111115,22,9
30,36,7416,213,19,-14282.76,24099.11,21336.25,-91376.65,-8738.62,65302.15,-56999.3,30426.65,62920,20,8
91,80,7417,204,29,21475.43,-966.56,70585.58,-346.31,-30861.76,30859.96,83513.54,93804.64,110117,23,3
50,85,7418,216,20,60334.74,-30801.81,-17330.57,45094.75,48516.96,62895.29,86622.77,97692.13,50517,22,4
91,83,7419,206,71,51506.67,-13095.61,-56175.79,94572.21,70137.03,-70617.83,-22233.95,65238.71,32215,23,5
91,84,7420,208,29,59726.84,-65336.92,21768.58,89747.82,29931.52,-48154.59,15661.35,-64560.55,122616,22,8
30,44,7421,200,35,40559.05,-70680.19,-77795.67,5522.85,-24214.47,92977.92,-94676.4,85477.55,73115,21,3
71,42,7422,208,94,-11317.19,32707.31,-88843.11,16142.36,16457.92,-80539.12,6275.31,-73830.25,123014,23,5
91,91,7423,214,34,66561.17,-22774.42,-10755.26,-58887.84,-41147.43,45882.89,51090.3,30737,123119,23,9
50,96,7424,202,41,17209.05,23937.93,-55633.37,66359.68,-89696.56,-68216.13,86588.3,81491.01,41415,22,1
71,43,7425,211,36,-20820.68,33514.22,41016.8,21179.5,91204.7,9790.1,75102.41,83359.39,12419,22,6
30,50,7426,202,10,67349.98,-16784.7,69829.76,29250.24,83629.3,-75024.69,-36598.56,67013.04,61213,22,2
10,4,7427,205,44,39123.1,-40509.23,13912.1,75752.55,67523.14,9583.73,2697.55,-15913.88,101218,21,5
10,5,7428,215,85,-85739.82,-2796.93,18811.94,-49595.21,-20859.42,58662.69,89721.11,88296.89,111321,23,2
91,99,7429,212,15,-31620.16,-75476.46,-57147.53,-96163.69,-91627.8,-42005.67,94231.03,-31388.62,90513,21,6
30,59,7430,218,71,13551.79,16193.51,-8592.24,24678.3,-37564.11,15159.01,91399.3,-45173.35,90814,21,2
92,4,7431,216,32,84388.29,-86132.02,-26765.43,17013.45,-87063.56,4335.92,-61211.65,-12841.58,82216,22,8
30,64,7432,217,84,23618.44,-8534.41,-87067.92,-29008.09,88970.09,50646.99,-23451.91,64407.75,53117,21,9
30,65,7433,200,37,46336.29,77671.88,22078.5,13095.37,-1274.43,-48066.74,-30383.34,50522.96,82422,22,7
71,61,7434,220,62,-36022.09,-43616.81,75462.16,76818,-49198.42,-82818.56,-18847.31,58941.19,11818,21,7
92,9,7435,210,85,-83610.19,35658.63,18098.06,-48675.01,-55783.38,12152.27,69498.73,34975.56,21319,21,1
30,67,7436,215,21,-1268.02,87056.15,57489.8,-61724.97,-7856.53,-98589.32,20380.16,123.45,40819,22,1
10,23,7437,201,56,-49420.21,-8896.52,-79494.85,31346.03,-61690.28,70189.45,14135.7,63802.69,92713,22,4
92,16,7438,209,41,94584.58,-45575.52,-78884.2,75300.01,34426.39,-51098.01,-46039.31,-38127.83,31218,21,4
51,21,7439,202,42,35135.36,22742.89,-70703.57,-77041.28,65138.74,-5754.53,-35401.64,19689.83,82120,23,9
92,18,7440,212,72,-97569.72,72121.04,65998.43,-84366.56,-36195.16,25154.99,-44176.98,-92371.45,52819,23,6
71,71,7441,216,34,8872.38,-14205.84,30341.4,-93520.96,97773.05,-46053.88,34368.27,79608.79,120820,20,1
30,80,7442,216,39,9856.86,-2003.19,-89683.49,-58146.39,5869.67,-26483.61,55614.56,20423.65,31714,23,6
