APROPTN-CDE,MAJ-CLS,OBJ-CLSFCTN-CDE,FY-ACCTG,ACCT-TYP-CDE,MULTI-ELMT-CDE,OK-TO-PROC-CDE,APRTNMTS-CUR-DTL,ALTMT-CUR,APRTNMT-TYP,ALTMT-TYP,PRD-CDE,APRTNMTS-1ST-ACCTG-PRD,APRTNMTS-2ND-ACCTG-PRD,APRTNMTS-3RD-ACCTG-PRD,APRTNMTS-4TH-ACCTG-PRD
97,88,29,82,2,8,6,77830.94,-31451.34,6,6,6,93522.44,97087.91,42548.15,-20753.36
96,18,57,58,8,6,9,-34111.32,-13056.28,6,7,2,-72516.11,36257.02,-59419.33,36467.69
77,28,73,25,9,6,4,57587.45,-3133.83,6,8,3,-64240.37,40622.29,50254.96,14581.57
76,57,28,55,7,9,8,-13920.19,-61119.04,2,7,4,-99002.81,-36745.96,-43522.45,-5302.91
48,65,92,53,7,4,5,95283.05,56969.98,3,9,7,9761.27,64245.53,72722.33,-12558.03
77,81,14,54,5,8,6,-85415.05,77394.85,4,2,7,64321.64,-73569.25,-19598.15,95540.5
61,99,91,98,2,5,8,-69836.95,97215.44,7,8,1,96756.48,-1134.69,78842.13,53377.2
71,55,23,28,3,6,8,95180.04,38862.75,7,1,1,128.42,99734.07,-34117.86,-8309.84
73,37,17,74,7,8,6,85540.39,43559.51,1,3,8,-48897.35,11471.79,33315.73,-67664.98
29,98,12,61,6,8,3,-26647.09,-26506.61,1,9,4,18075.52,-68431.75,-72294.44,-75594.76
32,68,30,73,3,6,9,-49045.53,7480.09,8,6,7,7298.57,66407.39,-77190.41,64766.82
56,78,59,11,6,3,7,67803.07,38765.68,4,1,1,-5625.55,62077.79,85137.21,-92692.44
34,19,78,39,7,9,2,-46515.36,18687.41,7,7,3,70298.77,97836.99,10450.59,-84559.71
51,93,44,99,7,7,3,48853.22,47869.29,1,9,5,87983.54,-43370.21,94006.21,-61224.7
43,33,22,91,4,2,5,76962.37,74354.93,3,9,4,-51108.02,-14383.13,13216.96,72631.93
98,46,45,67,2,3,4,-65070.38,2672.33,5,9,4,-78251.22,-49334.61,-68764.13,-3001.27
42,31,26,51,9,5,7,92095.92,-18817.33,4,3,2,11321.79,-36101.26,26830.33,-17582.07
39,48,19,59,6,4,1,-9872.89,33027.75,4,7,7,63298,-1545.32,-77191.36,-91970.3
56,17,22,39,8,7,7,-98014.67,45792.58,2,3,9,86300.02,-5957.72,-12490.37,50368.43
55,13,84,25,5,1,2,89796.54,-2669.94,7,7,4,52768.28,9697.87,-79171.25,3690.35
18,37,72,61,4,7,5,57352.1,79801.05,9,5,9,86776.24,-50067.84,76202.53,-50711.88
83,61,70,45,7,2,7,-6288.48,90474.28,4,6,4,51286.22,-71331.66,24096.17,80265.68
80,57,40,38,5,5,6,75444.67,-59892.77,9,5,8,42540.21,71908.48,76690.06,-73723.39
44,20,68,26,1,7,3,-49157.88,30092.89,4,3,2,43364.4,8083.29,86878.94,-36526.24
58,64,50,55,9,6,8,31234.91,82462.56,8,5,5,37808.22,54390.19,-58068.88,8525.55
85,63,63,62,6,3,4,-64556.66,-20030.63,2,8,6,-51561.64,53796.39,80440.32,57742.4
74,10,88,70,7,8,2,-85622.24,-71580.57,5,5,1,72899.23,41411.32,32696.96,53265.29
26,86,65,62,7,4,8,-18385.45,24656.5,6,3,9,97299.26,-21570.22,52769.76,35984.04
62,48,29,33,6,2,5,-95625.82,-22394.68,1,8,2,20426.91,83493.46,-35606.42,4968.96
61,16,11,59,1,8,6,-38674.65,4499.27,9,6,2,38640.43,329.19,25322.99,-84235.11
69,78,14,37,8,5,6,-23207.23,28271.73,2,1,8,64706.44,-99298.64,45281.86,47242.95
88,87,42,39,2,6,8,39706.15,-30542.44,2,9,5,-67715.33,27081.1,-89234.31,-67266.94
70,14,29,37,8,6,8,-9614.8,63673.87,8,9,7,82645.86,-62693.26,-90025.12,20889.47
35,28,64,50,8,8,9,-48872.5,4013.1,5,5,2,49919.38,55382.5,30311.51,48191.22
37,24,58,68,6,8,6,-58505.4,-60133.21,7,4,4,-56318.35,38439.92,-73853.49,20715.22
18,47,42,23,3,9,1,84032.21,52935.92,2,1,8,89620.72,-41622.08,55861.88,83710.09
37,54,35,17,6,6,8,88048.74,30593.76,4,3,2,-72281.87,-83621.67,-56672.51,-52173.98
59,67,51,70,3,1,9,-53831.68,-59.3,8,3,5,-35164.31,72589.78,-82504.2,-94333.8
75,22,65,94,6,8,4,25327.94,-57531.26,2,2,3,8936.07,-64282.91,-71070.33,55642.24
98,36,80,76,4,9,9,36448.67,-5105.48,5,7,2,59431.43,65126.86,-37769.86,62337.09
26,88,60,83,7,4,5,69464.44,63554.45,3,4,2,-12379.43,57350.6,53825.34,-18105.59
11,38,88,75,9,9,5,-99936.57,35042.89,2,6,3,-22140.58,80779.33,-97865.61,12741.47
84,25,82,36,8,5,7,83720.15,17893.63,2,8,8,73644.72,48276.2,6916.72,-76991.7
82,55,22,81,9,5,3,-50921.2,-49683.76,3,8,9,-94724.19,-47093.05,-45985.86,-32504.39
18,30,71,64,4,7,4,-41168.8,-71629.39,8,7,8,83581.49,-33249.64,97686.23,31394.42
66,75,71,94,2,3,3,-97573.29,15268.86,9,2,6,-17320.1,-45937.9,97454.8,84937.83
32,18,24,62,1,4,1,81096.68,-44800.39,8,6,4,-71266.66,41957.48,-68700.06,-58025.17
11,35,51,92,4,3,6,25765.22,-95507.21,6,1,4,-22010.79,-85230.76,-86964.31,-87512.37
21,24,69,41,4,1,7,-78930.58,-66888.27,4,8,4,-45097.3,-72689.41,-14980.56,-55728.45
65,80,15,49,1,6,7,-43623.38,-28160.5,4,7,6,6811.99,86882.11,34662.91,-25058.36
40,86,33,63,8,7,9,88321.02,2699.27,4,8,8,12395.6,96596.46,-46219.92,97994.45
99,88,53,42,6,7,8,89591.26,-89720.67,6,8,9,-81335.96,-17383.66,93775.02,36972.46
36,55,20,42,7,9,9,49143.44,-36082.12,8,7,6,53218.43,-52385.54,-56615.05,-31866.43
42,79,64,40,1,8,4,-49431.21,95144.71,9,9,4,53813.1,-48882.17,-92295.29,-92550.55
63,42,71,90,1,9,1,76202.17,-49210.13,6,6,8,-71083.3,-86612.91,65290.31,36999.3
83,34,76,89,4,4,3,-94599.19,16964.76,4,7,4,-68133.58,95292.21,34400.1,5837.58
99,28,36,43,1,1,1,71623.15,75355.31,8,5,5,-48133,89209.91,51793.37,17471.78
78,46,60,20,8,3,5,20794.88,67229.56,4,7,6,-9666.83,28695.17,-12464.29,97433.21
69,64,26,55,2,1,7,-10364.41,34610.16,5,4,3,13018.77,-519.43,-91787.51,79896.67
61,75,17,87,6,5,6,17132.21,-43157.72,6,9,9,-357.48,44690.67,-24519.69,72097.99
60,75,57,16,3,7,3,59330.5,-12872.18,3,7,2,98765.88,-77087.16,26488.68,-39985.44
20,64,35,44,2,6,2,-59181.59,93235.88,9,5,6,-5553.19,7614.38,-77875.5,-8844.33
96,83,43,46,3,3,9,52525.3,-54866.92,2,5,9,68903.88,86775.1,31290.23,63022.81
66,13,19,55,6,2,9,24837.17,58222.5,6,5,8,-50431.69,-51756.2,34090.27,-19829.91
42,79,66,65,2,9,7,60129.62,66963.08,9,1,1,18306.48,14397.08,-52735.69,4512.83
52,26,38,73,6,9,6,72666.07,-53330.02,8,5,8,83109.98,20142.6,-30690.05,49249
23,14,55,34,6,7,8,41735.97,-20402.23,1,4,6,-53590.09,-70566.3,-94372.14,-70073.48
55,83,55,61,6,6,6,19918.56,43339.89,8,1,2,94481.95,-15711.34,-87170.35,-87100.69
79,88,56,89,7,8,7,-7557.98,58182.06,6,4,8,-69464.37,51942.2,20501.59,85532.91
75,75,40,45,4,6,2,72528.27,71618.04,2,4,7,-34354.38,39657.89,52850.25,82792.19
59,79,14,18,1,7,4,60255.07,-82310.14,8,1,7,-91798.6,79365.24,60145.29,-39046.02
50,83,61,12,5,2,1,-75741.08,50658.43,7,3,5,39516.39,-34031.17,-41231.68,-7617.09
49,42,15,28,6,4,8,-59316.4,-34097.25,7,5,9,29574.77,90089.37,-11897.37,60672.81
83,92,61,90,8,1,6,-73964.86,54870.16,5,7,8,27406.85,-10450.39,-17848.68,89130.51
68,25,80,25,5,8,1,30599.83,-18960.32,9,5,1,85970.05,23598.97,-72078.22,-21691.65
48,30,50,64,4,6,1,96492.96,60929.37,8,9,6,44497.67,-38968.31,-62157.96,-66761.72
82,80,46,65,6,1,3,-57002.34,4649.06,1,9,8,18135.46,8593.16,34468.89,8811.15
43,95,22,32,6,1,1,-10065.05,-570.16,6,8,9,37879.54,-16592.11,9541.03,-37601.34
59,69,18,44,3,3,4,-49845.75,-66154.73,8,3,5,-37480.33,69574.75,68627.72,-15467.75
77,37,27,36,3,1,8,30851.66,92498.06,9,2,2,61206.69,95903.85,-75443.21,-76395.98
36,36,70,67,4,4,9,16815.28,-48707.66,5,5,9,95423.98,15633.67,79096.4,20176.5
45,80,10,67,1,8,4,29927,21676.31,2,9,5,-87381.46,-40397.73,83420.56,27366.83
37,78,58,24,9,9,6,-32422.85,-92451.69,9,2,5,-65369.06,31188.33,-62080.16,47080.94
65,58,29,59,7,4,2,95573.51,-22427.68,5,7,3,42266.55,-84322.21,41270.89,-24526.35
56,97,59,23,7,6,7,61923.85,37287.73,5,4,3,-49184.11,3067.18,-15554.28,77021.91
18,83,27,16,4,2,2,-17212.07,-4485.67,3,5,4,7930.67,-13658.01,78410.92,51813.36
18,43,92,23,3,7,2,-57402.4,-64276.02,3,8,2,90835.96,96460.43,-52943.72,54796.84
67,13,76,14,7,2,5,-28453.5,-4814.7,4,6,9,-36926.96,97132.1,78257.94,2887.75
13,40,41,93,6,2,7,15371.28,-51911.76,2,5,1,72105.98,-1070.77,33424.73,-55409.87
28,63,27,48,8,5,6,26701.23,-53146.21,9,9,7,68049.93,94601.05,51352.39,-35104.49
57,24,16,95,8,7,1,89376.72,60824.59,1,3,5,-89763.72,805.56,51235.15,62075.97
81,69,87,79,2,6,6,58433.35,60523.04,7,7,8,-29922.7,-12129.76,73228.17,-32503.31
51,37,78,59,3,1,5,45753.98,65805.8,5,1,4,-34511.01,18028.45,-9306.21,-65351.95
70,80,56,18,6,6,3,81303.46,-23779.66,8,5,9,65788.82,56480.55,-21133.37,41991.97
80,77,23,37,2,5,4,-60925.73,-55029.86,4,4,1,65809.85,-47067.29,-70116.35,-29272.46
65,87,28,24,7,3,2,68386.54,-83666.07,9,5,3,-20442.66,94240.66,-49549.77,4654.92
93,69,84,81,8,4,3,-50157.19,92193.63,1,8,6,78996.29,29438.21,38025,49689.88
72,20,87,37,7,2,4,-1237.14,7116.84,3,2,5,-81535.63,97382.37,50836.54,-90188.09
48,16,54,60,4,3,5,1928.14,-1079.73,6,4,9,-92022.18,-51639.72,15680.73,-74783.73
52,81,79,99,8,4,6,79285.79,-36985.66,5,2,9,59834,-21267.92,724.77,83800.16
41,70,62,90,8,5,8,11964.07,9515.15,9,4,1,76805,68995.31,29781.89,48745.03
41,58,28,61,9,6,2,-39196.51,22786.09,9,6,6,54180.74,93669.68,39111.97,39504.66
81,73,76,22,2,8,8,94107.83,19885.05,1,5,9,-77618.17,24137.03,-70636.81,-33417.5
54,54,43,44,7,2,9,41264.12,90650.32,6,3,5,4473.42,-19304.62,68897.13,87193.07
15,36,34,62,7,8,4,2251.59,-31018.4,9,2,3,-56311.91,-36307.25,-8005.3,-39224.77
55,29,21,65,4,9,7,85582.06,-22793.26,5,5,9,11243.03,-33128.23,-31195.21,-65743.76
81,29,86,46,4,4,4,-58633.64,-80502.35,3,9,4,-85740.38,-84877.34,63887.72,-73166.73
47,22,40,57,4,7,5,52265.5,-21437.27,9,7,1,81971.06,38911.68,-48246.83,63569.34
51,58,44,95,8,4,6,85127.93,-51620.93,4,7,1,-42695.09,-19025.96,-24339.31,51511.05
94,17,19,98,7,5,9,-42820.53,97777.63,1,7,2,-24146.59,61750.56,99478.8,-68420.38
18,45,49,26,3,6,9,-48033.41,57790.44,1,8,3,74565.91,16870.68,64881.21,-51895.9
38,40,36,79,4,9,8,42106.23,-19523.66,2,4,1,92062.88,91174.72,70549.88,38704.61
71,30,10,88,3,9,7,-57714.38,-24618.63,3,5,9,18548.45,55192.21,-60092.49,-48213.28
73,94,82,64,3,8,7,-13885.52,-76835.37,1,1,4,88528.73,30349.54,7068.6,17811.05
67,11,80,28,2,7,8,5620.32,71773.62,9,4,7,-6087.01,-76685.4,-15543.58,82135.16
95,61,10,60,6,7,4,6780.02,88789.3,4,5,4,-57325.82,-32900.2,23700.89,-90514.96
85,21,68,79,5,8,9,91301.38,-505.99,7,4,4,49991.5,30732.04,-34913.08,52653.37
79,36,51,11,2,4,3,41465.34,90578.62,4,4,3,-59920.11,-11233.75,33232.08,-22531.51
18,15,44,29,7,9,2,96043.55,44533.57,4,2,6,-50060.38,95556.93,92669.26,53274.71
80,62,48,21,9,3,8,97348.92,-95891.67,3,7,3,-58873.27,89021.87,-45492.49,-2413.01
52,91,30,92,9,2,3,-86868.68,-44585.72,6,7,7,93445.31,76366.27,-84853.13,-74831.97
88,12,18,16,7,8,2,72018.81,73209,3,4,8,73929.49,-19899.72,83431.32,43680.85
18,37,79,70,8,3,2,12230.21,-94265.75,7,4,5,-84045.07,72659.84,187.37,-90045.49
27,22,74,25,1,2,1,-34844.31,-19743.28,8,4,5,-93137.91,5275.55,52774.7,32711.61
58,18,89,32,9,2,5,97564.55,21200.54,5,5,9,39057.19,36836.58,14512.08,-74793.33
56,42,30,19,8,1,6,-51577.48,49312.39,5,5,4,8856.46,-77546.07,79124.42,-86029.36
83,19,25,89,6,5,9,88684.18,59218.45,9,8,4,-87198.02,-60259.01,14340.05,-92571.33
90,54,90,39,1,6,5,84526.8,-24089.57,4,3,3,40403.72,74063.83,-21798.09,-99454.75
42,31,32,85,8,9,4,-30712.26,-55523.18,4,6,5,66868.13,-41137.39,-82356.1,86375.54
80,98,42,11,9,5,3,-88345.61,20911.49,3,3,1,-61857.88,8458.64,-55161.37,-20849.55
23,57,29,33,5,4,2,72377.1,-75354.32,5,4,6,77126.11,42041.04,25488.75,94006.85
83,35,52,53,3,3,2,-65507.23,-49535.03,1,4,4,37514.93,-6823.14,-86427.5,49267.12
18,83,87,87,3,2,1,68381.8,-38826.7,6,3,6,52.78,-60990.87,-93250.48,79500.02
75,35,80,33,3,2,2,55420.96,19204.97,4,7,6,-34586.65,76558.43,-45343.62,-3263.32
79,95,68,93,6,1,2,-53790.99,-79366.95,6,2,7,-1484.86,-76651.87,17979.6,-48658.29
65,53,74,82,3,2,3,-99268.51,-98413.46,6,4,2,12419.26,87080.29,14800.75,89626.42
20,76,73,38,1,2,7,-30814.64,36447.18,7,1,5,38119.37,-53107.18,-37645.53,14827.56
82,17,43,34,9,3,7,22515.76,-32548.67,2,7,1,58818.58,9422.41,-78624.32,-21359.97
48,87,93,93,6,7,1,-8923.2,12509.7,5,7,8,-35869.93,-47275.69,14079.66,60392.82
44,98,69,74,5,7,7,50520.98,41998.15,1,3,1,90069.85,-52373.32,77117.39,-1513.15
79,73,41,84,7,1,9,-81208.55,28761.11,8,3,5,95853.57,25827.6,65443.4,-11077.75
92,13,65,76,2,7,3,-43610.4,-3215.49,1,6,6,50122.81,78553.58,-32979.8,2893.27
66,81,52,94,8,9,5,69410.01,20550.62,5,7,5,38729.11,58928.57,81447.79,-70516.63
76,36,64,83,6,3,3,90774.73,97408.45,6,4,9,-53112.26,-84597.39,-28181.5,36675.76
88,44,32,32,4,5,8,44670.95,94760.87,5,5,3,-60819.7,-29483.02,-92685.02,-21300.91
89,23,20,56,3,3,5,-31639.71,-60317.22,9,5,7,-9951.72,-22202.89,811.23,30601.74
44,11,13,51,7,8,8,-29065.33,-10599.26,3,7,4,-93741.27,44248.1,76635.72,66502.77
19,84,70,42,6,5,9,52051.44,86497.01,7,3,8,-57816.26,7525.88,59216.13,-29989.4
38,69,86,50,4,8,3,7079.91,-36961.65,4,9,5,76235.38,29900.78,-18792.35,79595.93
14,55,43,66,2,9,7,-5489.48,63356.59,8,3,9,23965.16,49662.7,-40841.09,-70971.23
33,66,30,15,6,3,6,25843.8,-10495.05,5,1,4,44298.52,-87168.72,-20708.33,7530.65
89,55,37,56,8,7,8,22931,-51805.04,9,3,8,34181.69,-74822.83,-47201.52,-72903.39
69,76,41,14,4,6,4,-21616.47,16163.75,4,7,7,-72197.57,91471.47,48971.54,-77363.82
21,72,41,99,5,8,6,14831.5,-32990.49,8,8,2,6771.68,74041.06,-6774.31,8224.1
41,53,79,72,5,4,2,-19016.16,40995.96,7,9,9,-35968.8,-19674.54,-89488.04,-47657.54
25,28,53,61,9,6,4,-72579.51,78486.09,2,2,1,-1955.06,96650.42,16616.52,-91832.08
47,37,71,82,2,2,1,-7783.37,29700.61,9,4,8,29161.74,67015.87,-1899.3,-90653.1
46,47,59,14,1,4,4,-52087.59,-11379.82,1,2,7,-2818.52,-89416.05,90937.02,-2327.71
73,11,39,47,4,1,2,-49366.93,29895.59,8,8,5,-46131.1,57686.99,1153.98,-46544.44
68,19,10,71,2,4,4,-30158.47,-94765.29,7,5,4,-19367.61,-50001.61,66315.91,-18653.35
62,96,34,55,1,2,5,74195.83,22226.19,5,3,7,-17501.4,-34397.87,-44642.66,-85743.31
92,23,37,21,4,4,8,-41535.73,-9632.25,4,6,6,-23340.22,-80287.39,41901.56,75453.79
10,72,45,21,4,5,5,-76489.52,75906.22,7,6,8,-66132.09,43267.17,23031.06,88042.66
55,41,61,28,3,8,2,-9032.18,395.06,6,4,9,72913.76,-72976.03,-26367.53,-70783.18
29,43,79,61,4,5,3,41362.67,-80763.57,8,6,7,11912.56,33605.5,42389.9,38928.29
73,86,12,55,2,2,9,36245.49,95033.54,9,9,9,-79491.83,-15683.81,-88912.84,21669.34
36,74,45,41,3,3,6,72474.07,73826.89,7,8,8,82618.4,17334.34,-12109.4,-59861.94
82,77,24,58,9,9,8,-71387.91,44864.62,9,4,2,-43254.33,-90165.23,98435.54,-91045.27
55,12,56,42,8,6,5,3624.17,40326.89,8,7,5,-37392.33,-54150.12,-78325.48,-80549.68
48,36,12,92,1,8,4,-32674.12,69264.5,2,2,7,17104.14,-93605.29,30344.26,-7939.92
58,83,92,97,8,5,3,37432.96,36321.94,5,7,4,89941.49,-94720.08,87642.73,16073.2
29,35,44,15,5,4,6,-75525.41,-836.41,7,3,4,64552.31,-7299.03,-36607.76,88996.24
91,95,91,49,7,3,9,-79955.48,13047.55,4,8,1,95212.44,-32280.82,96380.91,-45357.76
76,36,21,70,5,6,3,-64806.34,-51055.71,4,7,5,-30693.8,-91767.12,42789.39,-14484.77
56,65,22,90,7,9,6,-63514.19,-25912.83,1,3,7,69319.11,25278.76,1203.39,12299.89
37,56,44,14,3,3,4,59363.15,-61036.93,5,2,5,91816.5,-18698.62,88658.43,50616.53
86,54,99,47,3,6,9,-4288.67,39619.49,7,6,5,-27465.21,2056.36,41918.23,-44391.79
66,53,99,75,4,4,7,4839.91,-38578.37,5,9,9,43559.77,-97958.96,88410.01,50479.8
26,19,14,49,6,9,6,-89801.76,81615.89,5,9,3,-29043.87,-38533.13,-78894.08,68268.22
46,54,16,57,2,7,1,-76584.25,36915.53,9,6,1,-94072.74,-86536.53,-23618.61,-16760.85
95,82,31,56,2,6,8,-98097.15,-26817.05,3,2,9,97126.99,79521.66,-69329.1,54954.25
36,42,97,72,1,1,5,63803.57,92486.68,1,8,1,-77623.89,87308.81,-85810.93,88071.79
16,51,81,89,1,8,7,8828.5,98580.11,9,8,3,89345.36,71660.91,-54110.62,7571.16
37,99,24,80,3,5,5,98348.99,-46690.49,1,7,5,63577.55,92681.56,-24662.08,12481.87
15,52,83,99,1,7,7,-89122.08,-84281.78,3,3,6,10133.13,95880.11,-53573.73,-32130.52
82,97,97,45,1,5,6,-88824.54,-43492.29,5,1,4,6832.3,-21140.21,-8902.7,-49796.94
38,63,24,88,3,7,4,-11293.83,-36848.59,6,2,1,-50115.31,9104.39,15249.15,16951.29
23,76,46,75,5,6,3,95047.37,92499.18,4,2,8,-43572.23,-51026.68,-34091.97,-47412.29
20,21,67,35,1,4,9,32562.45,-96735.54,1,6,4,-44350.28,17898.73,-80820.78,-70349.92
66,16,97,20,8,3,7,58933.67,-17744.59,8,9,5,-74090.84,11842.17,76336.01,18892.23
42,85,13,69,3,9,5,33924.78,-89036.49,4,3,8,-23789.53,21504.87,71075.16,-75798.26
23,32,70,43,5,7,5,-57829.03,-48691.35,5,1,1,47277.44,91481.07,-59938.28,-7465.46
69,48,22,53,4,5,9,-91696.46,11878.11,8,7,2,-78908.71,98856.74,81315.27,50584.64
81,55,20,67,4,5,5,83576.79,-5821.42,1,6,8,40682.02,21408.91,-26445.82,99764.32
16,46,67,50,8,9,9,66434.74,59096.18,2,5,3,89891.04,78065.69,-6197.36,-54107.53
99,41,74,53,4,5,5,-86441.73,-33671.59,8,3,7,-55837.66,25168,-48077.82,-39775.2
56,84,19,11,3,9,9,-6901.84,44918.82,3,1,9,-55312.6,39181.3,-39425.05,-82601.31
65,54,78,69,9,5,9,29506.99,-30490.08,7,2,7,-93970.01,-16589.7,-4191.49,3996.89
43,59,63,32,1,9,6,63534.96,-10638.48,9,7,6,-96812.2,77690.87,83243.77,-38675.69
28,87,73,47,7,9,8,19152.83,-94977.86,7,4,7,58109.49,-94221.38,89351.9,42852.89
48,32,47,34,9,6,8,-2179.86,13161.61,6,5,7,30272.33,56548.39,-93736.04,84459.33
75,12,79,65,3,8,4,-88359.06,6548.14,7,9,1,8234.94,-63208.91,-30311.44,-91423.98
66,22,95,41,4,8,3,-35693.43,-70207.64,7,3,3,31727.7,-41213.17,56043.58,-32369.82
94,93,21,25,1,4,2,-20473.11,61874.27,1,2,2,56876.55,-7874.09,-80623.24,68210.34
51,98,68,76,4,3,1,85361.52,82655.35,3,2,6,97452.56,-59984.91,-42651.47,63196.5
51,13,99,90,2,2,7,57665.35,-14127.57,2,2,6,-85294.54,-48669.01,93899.14,-79521.62
58,65,34,64,4,1,8,-72384.48,17662.59,6,1,3,-4864.8,-63630.01,-48736.96,55347.4
17,29,14,89,7,7,7,99424.92,43095.85,6,6,7,-99553.79,-34695.51,-55775.1,33582.15
92,26,13,64,2,8,3,-31003.1,-90660.35,3,7,6,-28125.47,47397.77,-34147.47,19019.4
80,19,81,18,7,7,9,36909.84,3445.85,7,4,9,88555.51,-66255.67,-38110.44,-29281.83
70,31,12,47,8,3,3,-8359.19,-86733.13,6,4,1,-40401.31,71184.39,36279.89,-22785.46
84,92,34,16,3,9,8,-30919.2,14798.91,9,7,2,-41312.17,-10936.91,69641.94,51535.42
71,55,30,51,3,3,8,41340.08,8227.11,1,9,2,21124.82,57843.01,14386.98,-45314.92
53,98,24,98,5,8,6,-82588.72,73592.97,2,2,9,39813.74,8965.37,-8606.02,4794.56
15,56,74,10,2,8,8,62842.42,-85160.58,2,9,5,-76663.66,32824.15,-15557.86,25052.57
13,79,44,41,1,6,9,-92716.02,-22489.53,9,6,4,15790.53,-8704.61,-15723.37,40773.48
81,23,98,90,8,8,3,77080.28,-94946.55,5,3,1,23102.72,77273.97,50685.64,39752.19
41,71,86,18,5,9,6,32562.92,77838.49,4,3,5,38267.28,-89400.58,23502.93,8548.47
47,96,63,30,4,3,6,4374.89,-39556.6,1,2,6,71335.02,71740.57,59513.74,-71665.87
30,50,25,60,2,6,2,-85596.93,-14138.74,5,7,7,-13344.96,46550.29,-19208.62,54086.99
17,45,55,93,2,6,2,73413.57,22772.79,6,5,4,-75573.56,-47728.76,49804.27,-89949.63
49,39,16,78,5,2,1,39735.06,-17702.14,7,9,9,-37214.86,-76050.19,63600.78,18775.91
53,99,15,91,7,2,2,90965.21,-37652.32,4,1,5,50999.16,-64128.32,79642.63,60463.69
59,38,93,12,3,1,3,37126.66,90134.26,9,7,9,70588.35,75706.94,42700.79,-45117.29
86,18,53,90,2,2,6,27622.07,-11154.22,5,3,6,46173.3,-23375.27,31047.76,95345.8
77,83,81,75,3,3,3,49558.04,78202.17,9,3,4,-76542.31,-85449.65,-86575.52,-48577.9
51,89,18,65,2,6,9,68710.82,-44878.99,6,2,7,22608.48,89876.02,26526.91,26801.42
78,12,70,50,3,3,7,65575.71,-81088.94,4,8,9,27939.93,-93340.01,-52195.74,-41805.19
80,17,68,95,2,9,2,-94069.04,-41862.54,7,8,9,-51161.18,50631,-63880.27,77657.09
27,76,30,61,2,7,8,-2312.68,-5440.98,9,9,9,69355.72,7884.69,-62610.2,-16116.94
92,72,44,54,2,2,3,98300.03,41404.25,9,2,2,56583.36,62610.99,-5249.03,-83846.96
74,45,24,42,3,8,9,-20280.8,-74128.88,9,6,7,-32252.22,59234.26,28476.81,-98557.75
81,47,22,89,3,3,6,-40973.93,51810.27,2,5,9,-21188.41,-96509.61,-59159.09,87188.68
47,43,26,77,8,9,3,56637.63,99821.71,7,4,8,77501.03,-26515.6,-82971.74,-9611.82
72,89,21,13,4,6,5,66381.44,7669.92,9,4,9,-39320.22,84223.14,-15658.67,70454.03
62,32,74,23,1,3,9,-11667.88,-96744.17,8,8,2,48917.95,92908.84,55028.62,41667.95
32,36,79,35,6,5,9,30266.46,79770.73,9,3,9,-53676.58,94986.62,91483.21,60097.78
47,69,28,89,7,9,2,-73848.82,20085.87,2,3,8,33079.41,37386.8,32577.58,-16478.23
94,69,95,83,9,9,1,42114.52,-26629.25,9,5,9,1678.25,-27539.39,80676.58,5351.03
91,99,72,37,3,2,7,-83095.54,40292.9,8,3,4,69311.87,-15474.52,-16190.15,78684.91
32,43,92,21,1,1,5,98228,14188.28,9,1,5,85418.51,55989.72,-58997.05,-32426.93
38,39,92,98,3,7,3,6170.53,88811.61,4,4,1,-59000.71,98458.28,-75841.78,35791.74
27,81,56,73,7,5,1,49416.6,-84475.9,5,4,3,49182.75,-80259.71,66036.53,27118.96
57,93,24,44,4,3,7,79230.79,-84593.34,1,3,3,7211.42,76482.61,-35938.42,37229.59
95,53,17,20,5,1,6,-41598.72,91444.37,3,6,8,16726.59,89121.3,87657.41,-68277.72
90,94,76,31,1,7,3,-73381.12,-71548.24,3,2,7,93951.3,23316.69,-81757.27,40592.01
16,26,70,92,4,6,9,278.61,-91130.9,8,3,1,36340.62,73695.4,28706.54,-74334.93
80,53,79,74,1,3,2,-39253.05,-69110.98,7,6,7,35021.16,-96429.01,23699.29,-12598.28
45,58,95,81,3,9,6,31635.78,36121.02,1,9,8,67726.77,46968.19,-83462.03,57131.28
33,18,12,39,9,2,6,-51626.12,46545.49,7,3,6,-72966.81,-31515.02,-54907.13,-44028.09
55,10,62,43,5,6,2,56886.11,51642.58,8,8,7,-51235.64,-42169.07,77382.29,-29213.17
50,34,72,52,4,6,3,39449.23,89157.14,6,6,2,-63252.96,-79965.48,97250.21,-37310.74
50,94,65,58,5,2,4,-74837.86,-94641.01,7,6,3,-75309,-56022.96,-62756.65,90218.09
55,25,39,22,1,3,7,-697.69,6388.12,2,9,6,-32173.78,33945.14,60601.8,-58086.2
90,45,19,80,7,4,4,-66945.47,67965.64,3,2,9,96954.77,-56406.43,57023.91,14499.03
40,58,57,73,2,7,7,27486.39,6265.16,6,9,5,-60837.16,1981,41959.13,-39996.86
62,44,61,17,7,4,1,-14171.29,39128.24,9,8,7,17405.47,72206.21,76193.73,-57780.39
35,50,10,79,5,7,6,-12436.66,72084.34,5,4,9,16409.72,-60099.35,43734.2,74282.21
22,21,71,20,1,1,3,76063.68,-77661.01,7,8,1,-73922.79,53624.55,-62476.73,56282.09
82,74,64,77,1,6,5,-52533.42,-96692.48,9,1,3,-90602.09,-41901.86,-29322.65,55562.72
87,53,78,68,5,3,7,56070.07,87193.63,1,5,4,34066.26,4167.27,45967.13,5331.28
