FY,ENTY-CDE,BLK-NBR-5,SBSDRY-ACCT-HASH-TTL,ACCT-NBRS-HASH-TTL,MINOR-CDE-HASH-TTL,DR-AMT-INDIV-GL-ACCTS,CR-AMT-INDIV-GL-ACCTS,USER-INITS
72,30,31946,66612,82075,1758,49659.7,-35857.5,JAO
10,87,2027,96923,-84,5739,21900.43,2589.5,MKL
31,36,51211,-44830,8190,94338,343.73,-22108.66,TPW
31,37,28179,74945,-8858,-17,354.46,16.89,LDR
92,81,67104,-562,-519,52043,-6807.86,55098.32,IYT
92,83,31778,3073,49220,-64,831.78,250.11,HNS
72,32,77551,-93777,41776,42,2943.56,670.62,BUL
31,35,74104,3763,8633,-178,-1388.1,23.47,WDB
72,38,35386,6015,-89,643,5903.16,14.96,XNR
92,88,6812,9534,458499,23160,59958.79,44184.95,SRA
51,93,4280,7887,-770885,565,53438.14,93.54,YQE
51,92,90091,9543,79563,56,366.83,-136.25,BDN
92,91,64425,-75,-279920,1713,142.76,84697.15,RYD
11,0,4555,2738,8365,7815,-7650.55,30.8,KRF
31,49,99947,430,14443,-81,63.85,3310.49,KAT
31,50,32658,54416,583,59,54.84,-76.52,VPV
11,3,32236,2274,834968,49,1586.37,20627.83,MYE
31,52,51215,-36148,-857,99,-57.16,-54168.19,WKX
72,48,61803,-10,34,889,891.64,7139.67,JAM
31,54,18674,76,37,4601,6879.12,28.45,UIS
92,99,7632,6804,-600868,17,5936.84,-6176.51,PRO
31,56,68361,18797,-4372,55755,88433.9,61.61,XQQ
11,4,63145,5610,422293,-490,9676.6,-86437.55,XPZ
72,54,35331,8407,3596,35898,-537.81,7343.75,UTS
52,8,13957,28,28,404,-59.37,734.21,IRM
31,61,21068,-26857,-395,3285,-419.4,55.97,LEM
31,60,28452,19,1854,-80171,37.7,5772.11,EUC
52,11,62914,-644,-756349,40,-84.1,1622.44,EGB
93,9,5378,-2581,1234,371,-753.42,95.99,MWW
72,62,20766,73429,8989,2092,61.89,-81242.76,TKN
72,65,41716,43922,-840549,497,91.56,598.48,BAF
11,25,7270,1025,-98,-36366,408.6,719.2,JQA
31,74,57403,57,31639,-57915,6564,-373.15,OTX
31,75,23943,-11,408656,-50026,104.39,9117.21,XQE
72,72,74321,-35,-870,-46,259.1,95487.6,FKA
72,70,77369,-708,954982,-4366,-48.16,70.78,ESZ
11,30,15985,115,4272,55,3099.73,6328.88,JZK
93,23,34818,527,81,-539,-41.63,38064.7,GVT
52,23,55954,49999,-4025,-2570,51.2,8084.48,LFI
31,80,29564,967,40,-5807,-29759.59,34778.47,BNA
31,76,95852,836,9254,-2491,78342.56,3814.16,SLG
11,36,6352,-93,-299,107,-400.4,-81.21,FCV
93,29,34518,54363,-601,-22723,56635.69,20.49,FWK
93,30,49701,64310,721,81653,826.51,34818.14,XWA
93,28,54028,70,-52,51,3118.99,-35157.57,PMY
11,40,90777,41,635,2591,-3883.52,99927.65,ITA
52,39,58205,-974,-139047,7264,-44641.48,87182.48,TVK
72,87,78301,70237,4962,569,80.23,-7475.67,JSF
31,93,72215,-939,52951,40,21.16,678.64,YEZ
93,38,76140,134,4716,1084,8768.4,39.51,GKQ
31,95,26766,524,998049,-44,-6191.17,8645.69,WMA
11,44,44971,9936,653,76,-93.54,-2464.7,XSR
93,41,98990,9273,1138,941,73364.67,-387.9,NCB
31,91,24417,40,8338,-36,-42.64,20.66,ZWP
11,51,91208,-85,44,1381,6313.13,37749.14,FPP
72,88,67035,2669,113154,40157,19.57,32.79,EMP
72,99,1384,10,-883,713,487.57,34.32,WNS
32,3,48949,796,-11,-45929,524.57,3367.15,GZV
73,0,3928,-97,88576,482,5745.7,-208.2,UNE
52,54,12243,20544,79,9070,14.87,-159.3,NXF
73,4,27563,926,172,90,-31387.25,35.89,DXY
73,5,59596,7838,8532,15507,66.65,635.76,IUR
73,7,99838,45,310,-97707,46.86,-21155.58,PIK
73,8,38967,-59688,19,-31078,473.27,81465.63,BWU
93,56,65961,159,73907,86,838.58,84.62,LZQ
32,14,7810,377,-860,-5144,28.14,2206.18,HYM
93,60,74483,-30495,-98115,-1891,311.69,9543.16,CFG
93,61,69073,7142,438802,-723,51.29,40.23,QSU
52,66,37982,94724,621,-759,2412.44,59.12,LKO
32,18,772,-8902,-1521,911,114.58,73773.57,YIQ
32,16,55668,24,83,68810,92151.72,78.1,KPS
93,67,68577,11875,-234,645,-9908.1,782.5,GFK
11,76,41577,5810,964,351,-53.4,5669.71,UIB
93,71,44522,32,3726,31,54.51,29838.54,QCG
11,80,74810,1610,1282,-2792,-442.73,-65.59,KPF
11,81,26326,477,45782,4341,41929.5,75.62,WSO
93,75,72020,5329,369,353,50001.22,3017.75,NED
52,79,86440,-32939,72026,83152,3298.26,2611.54,JES
52,81,65194,50,491814,-34,-84.97,961.16,IXW
73,29,34705,11251,-2756,-63945,-89369.35,6494.96,YPM
73,30,66691,67897,-502,40,851.42,-667.94,PWR
32,37,97552,19972,333216,5954,57684.99,6645.33,XKA
11,90,1939,3075,-312,-30,98.31,8168.77,FQR
32,38,95331,-327,68,56966,30894.24,586.33,IOL
52,89,45196,-927,-77,81000,463.69,110.53,DWV
32,42,97000,48727,-7380,-55,639.66,81.55,JLC
52,91,69296,9544,4361,904,683.9,93.81,DSX
11,96,1103,781,123,87,24139.64,-678.64,DRV
11,97,69499,92930,97799,37,-93815.56,17497.15,CNO
11,98,59320,68,399782,8392,58930.91,-18.2,QPD
73,43,56590,40,80,884,-81.29,469.59,ALE
11,95,67418,1668,659266,1693,55318.9,655.91,WFY
73,41,59364,405,392,-714,6172.3,63649.56,SZS
73,46,40928,-170,533,-62,83716.79,10.82,WFL
93,94,39948,34,391941,2680,-483.34,9222.49,DID
52,98,19391,96,175,36,-3101.83,-29580.13,SGU
52,92,49312,-90,571,208,2461.69,-85827.73,DYL
12,6,93533,960,2133,46,30888.45,79.8,ZDY
73,51,6005,93,434346,-69,92943.23,-758.75,KIL
53,9,96060,67,71423,39,96918.89,-16.18,JTH
12,15,45157,-6685,65575,179,24862.13,6817.79,WNY
12,16,43158,73667,489,-6349,80390.63,-75306.42,WXS
12,17,32298,591,876022,9878,264.36,19164.71,GBS
53,12,23752,169,69014,-40898,-83.7,605.85,RZP
94,10,12122,28231,178,364,104.99,168.9,REG
32,66,54558,25,63326,1695,39.1,-77.43,PEJ
94,15,51238,95315,9969,62,98.73,-9226.81,RJV
32,74,61824,4711,423190,-630,-55103.43,7529.26,UTT
12,30,3421,-98,52385,39,7445.58,55923.41,NQQ
53,30,16431,-50,93,603,62.5,-651.6,KRA
32,85,21715,-62757,554,809,41227.46,10.48,LCW
53,34,39238,7570,2239,83649,-46.36,654.71,QMZ
12,37,52447,-31,47363,82082,51.77,51433.61,WOB
94,31,61245,750,87075,-2259,23993.68,382.41,DQU
94,39,23160,-689,29,70,1870.62,3103.4,RRM
73,92,6968,64629,-96,97818,71102.32,279.23,YZQ
94,41,21893,50,846,3968,41824,999.26,XAU
32,99,36705,98,145247,-978,13534.83,1354.44,JLV
12,52,71354,62309,-201442,7254,-536.79,-704.24,CVQ
33,1,47029,68872,3748,-300,15127.95,341.63,LLF
12,55,34873,-6013,37,-9832,36.79,-690.22,OHW
33,4,84442,9438,83433,6474,193.41,43998.62,XQR
74,5,52321,4881,97,86,990.13,8207.74,GCV
94,54,85641,307,-74,-912,4707.37,958.9,FYW
12,68,76475,10,78709,51,-207.73,-6456.58,MPZ
53,65,73542,-65369,324,81,58517,-35.43,MRE
74,13,4260,62,99876,-941,56656.25,280.3,TJJ
33,18,33239,3503,5948,1442,90583.71,64224.89,KBS
33,17,20674,-23683,120,85433,735.9,-320.13,XHG
94,66,76159,-7084,29271,45,-14487.24,26957.7,LWG
33,24,35296,93,803901,7798,731.29,2592.8,OKZ
74,21,3468,5612,13231,63964,11.77,-6825.3,RLX
74,22,15889,26623,766,43368,46165.83,842.42,SEY
33,27,18458,59,58,-8077,70325.89,8214.27,QTC
33,28,69899,-8644,920,-372,634.67,24644.79,CEW
33,29,77813,-7422,-426,1894,6682.29,27681.7,ZOS
12,82,96205,1468,81588,88314,91.5,818.9,UQK
74,27,77822,317,18,66392,9113.24,38.92,RPX
53,77,17248,-43,52,-90312,-9252.5,-675.59,NEP
74,25,73654,45341,942024,4507,-773.48,43785.37,IKZ
33,35,8931,60474,-93919,186,69515.6,7493.14,OYC
53,84,56646,-15,-6993,-72315,77848.99,8590.63,YZB
12,87,34334,-76352,-78750,619,6250.44,51.19,TFI
94,83,20119,4468,51,-21476,4987.6,92199.5,GNH
53,87,55156,-80,-609961,-38,722.77,-28936.71,AGC
74,38,71955,68,83575,440,355.62,9048.46,UOH
94,88,98917,36,663,57440,91395.47,3759.72,HRC
74,44,83672,794,11583,-4140,98922.6,29902.55,VOF
94,94,78780,-8422,88158,8843,27.7,139.8,PVI
94,97,26886,87387,-354631,844,4063.25,712.55,KBE
95,1,98509,58,382,37541,28961.83,27484.39,JRY
33,57,37590,7414,13,2187,-2641.32,23.45,HHO
33,62,6030,90478,38208,72,986.68,11.51,XSJ
33,63,57438,15986,-9987,460,6956.19,42973.64,OBL
74,61,17657,-69,-53,60102,98.71,39.61,DBL
13,18,97123,823,385,37495,85173.45,50.69,PEO
74,63,58961,91,473925,71411,-57418.43,678.8,FNS
95,12,21660,47,865,1963,34.4,18503.73,FGM
95,10,13804,1786,-45871,43558,84.55,47097.48,CYS
33,68,64133,344,39024,5443,2432.59,-3576.45,WLD
33,65,52129,291,-26,-850,6447.78,-83.61,NQD
54,20,35152,7640,489,683,453.87,34982.9,PUS
33,72,37595,-82324,422,78,4610.14,63867.51,DZD
13,24,12267,5807,475,32620,68138.67,85.47,EAV
13,27,32282,87,111828,-4986,23911.69,32.66,WWC
95,11,16245,382,78677,10,-21.94,-21443.94,PMG
33,80,5448,225,99183,58776,8098.56,-8578.62,UOT
13,36,66069,36547,652947,316,951.3,-59132.43,NMP
13,37,5935,-2814,767160,44420,7109.26,552.87,QDP
33,85,29575,77,393,4210,3898.49,77196.1,GDD
54,35,81876,748,182,463,63535.96,892.11,PXS
74,84,54187,7220,-952,981,-41.55,692.46,DUH
95,29,46640,6014,-875,89,9296.3,76120.34,GIU
33,90,49440,56646,201973,984,-8476.39,-545.5,NIZ
54,38,44936,9604,-25490,-4377,-513.6,-888.55,VGL
74,88,36433,44742,47,91127,8402.6,190.18,YXC
33,93,41758,8026,29,-16490,44.76,77.64,PUD
74,89,12923,65036,775,72732,913.6,8851.9,BLL
95,38,99150,26,-3692,139,-663.7,4699.23,UNU
54,47,93373,788,61,256,32.55,-76397.7,XJM
13,51,79706,7388,48361,38,6052.86,64.8,UIN
74,96,28760,721,-798,-538,-14030.24,642.71,BRY
95,47,63912,70362,2468,527,-98.6,-958.74,KWU
75,0,17429,1764,69946,11136,-998.56,9986.85,GQF
75,1,63117,449,16527,909,63.7,78.48,MIC
95,50,29486,85076,6536,-391,-46.24,-45114.59,NDU
95,53,59059,29403,62,328,8295.41,-5035.87,XTE
13,61,73533,937,412,-82,302.29,-741.32,NGD
75,7,28343,89713,618972,-3823,8151.83,73716.38,TGG
95,58,83027,937,63693,27,38.46,610.51,CMD
13,67,90734,83,-4482,-85777,4487.82,455.53,XHN
95,60,92785,-83892,573,77,63666.5,672.57,MTM
13,69,83967,892,365,98,69776.64,478.85,YYT
54,65,95711,35,8730,137,3221.49,-9250.29,AHO
34,21,97270,-396,988452,826,72.64,526.95,RFF
13,74,73571,-29441,-8512,5523,67.91,522.87,DWR
34,23,47688,89513,-19275,205,6961.29,-889.25,MDM
95,68,31005,2653,860544,768,9731.32,90559.46,SFS
75,21,36714,-64285,92,55096,14521.73,-221.29,VPR
13,78,83239,504,-13712,984,961.74,597.37,SHX
75,24,37716,93,-13024,5737,252.78,-32.46,VHH
95,74,93554,2647,96,4067,19235.65,53728.72,DDC
13,86,94234,-34794,689829,917,16.15,-36.33,FYG
54,83,54710,-91955,-825,82,-53812.32,65.87,UJE
23,11,21261,7172,65665,449,-43.88,96.88,VIW
95,81,85378,8876,39104,36,7026.3,24.64,KBK
95,84,21654,6075,15,-773,51784.88,-756.89,LKC
75,40,87492,82,8851,8893,537.91,143.31,UCH
54,92,27543,-67,617,-33088,38006.93,-466.92,ZAV
75,42,83314,2855,46,63,-1859.85,-8386.76,QHN
95,90,91188,-3139,3257,12,60.67,36.8,PAC
14,0,95652,-83,5872,335,351.88,77279.3,OMV
34,49,97424,78668,26067,6989,-965.59,4459.48,OHG
14,2,41244,885,325772,-75,-88689.71,-11291.86,CEQ
14,1,80264,843,797682,697,4121.89,407.2,RJT
75,48,55101,57,386154,61117,5454.69,28291.33,VMI
95,97,21101,454,-592,-4140,12.96,87.33,EYN
96,0,40255,5683,630,286,59.73,95.6,ECS
55,11,19367,18,-897,8165,-59479.52,16.31,NZE
14,16,2761,6382,9003,502,-29825.16,18.49,HSK
34,63,53189,4451,-31,5124,98335.4,-3934.99,CZR
14,18,8008,-52186,884,49,2395.65,11.34,BWY
96,11,51528,45,919328,729,85.18,-38.14,QAW
14,20,82288,60830,331105,48,52.56,-54.68,DGB
34,70,273,82,-179,61265,108.7,8329.7,LOM
55,18,72284,3089,-78561,266,49.7,3871.85,ISV
96,16,91516,-7050,525,-79,14330.2,3149.71,KXI
34,73,8008,96302,232,-190,146.16,5101.18,AJQ
96,19,46658,9381,471,73,82748.87,-695.81,ADB
14,30,42695,849,4042,9999,81132.59,5712.46,XXK
34,78,7075,-59,-10414,-61,3974.26,174.13,TOH
96,23,5759,69,42,-398,7356.18,49630.77,ISH
14,32,46331,54,-75302,18468,61273.98,748.4,YYD
55,27,82496,3559,934,-48,-590.73,34231.87,PTE
75,80,37424,3215,6322,1317,-129.68,21.98,VRV
75,81,76933,-3253,46585,61959,25.3,9401.54,BRP
14,38,35572,449,360,-62512,4493.9,27.21,RXO
55,35,62037,971,868779,921,583.95,-80476.58,BTX
75,84,60536,21235,335438,64,54.84,42.3,VUH
55,37,40592,89,58194,47,3687.42,4376.1,NIY
75,88,19094,82658,-292,3683,-85327.67,7023.46,NTF
14,46,12364,72,99,17,91311.61,50911.61,PMW
96,43,73666,69,6040,488,38805.32,366.27,LQA
75,96,25796,52,995488,44641,905.82,-18709.18,GZN
35,1,61274,-894,-955006,8118,-29522.14,80.48,QCB
55,49,19476,74992,5300,3674,40.47,938.92,MXE
96,45,95669,97,9668,63,243.66,7430.91,ANL
14,53,97408,8963,2352,69,90763.26,4658.39,JHH
55,51,40245,-56765,-430244,98446,44632.87,-50.69,MQJ
76,2,26752,274,9211,26,34410.21,97.12,VEQ
76,3,59292,955,-9301,72,-84219.76,92.84,SKF
35,8,58429,-7541,24005,52,216.28,6622.26,FMU
55,55,87228,87,-23,48,7788.55,58.24,RBS
35,9,74667,-98,121,98721,3296.99,84865.5,OXL
55,59,80486,17089,73,31537,69074.56,78309.6,PFY
14,63,87766,91,88524,96,1964.57,9097.99,HYI
14,59,34227,93,687408,12514,34604.74,9721.57,TQX
76,10,12324,-25333,-27891,32977,75.82,7198.9,QWS
96,54,46648,644,-838775,-88592,-83740.33,-3215.83,EQM
14,67,33150,494,228,89,8723.39,25943.21,WVC
76,14,81088,-78723,936,-555,8962.82,-67.98,DGO
35,23,70202,822,-119962,511,420.17,439.3,EZA
14,79,2912,-9876,-65,10,-77290.93,25710.24,GIG
96,72,67774,385,-193,28176,-5479.36,53.96,KEP
35,30,75857,-4891,991,73371,574.8,84639.37,VJF
55,79,42886,583,8348,67,-980.81,11164.83,LOL
35,32,9505,15,-741,17531,25.72,42086.67,WTZ
35,33,68075,513,655,-68626,19.54,24.83,CJM
14,85,37577,31054,624,957,-2877.84,-1011.97,OJR
55,83,81003,951,829,43,31386.22,434.5,OEI
35,36,79266,66,-847132,4526,341.1,34226.1,WMC
14,84,36297,-4233,12,27527,7946.2,72926.1,QRD
35,39,97885,366,7111,28,88.62,963.2,KYX
96,84,18313,73,-37812,17471,5117.98,4524.3,UUX
96,88,70172,-51,311110,1611,675.73,9788.44,JGK
96,89,81025,284,-6042,-45,31.65,71201.59,NYY
96,91,23682,835,41,-48,39648.6,15.5,FTC
55,96,67989,-91048,51341,7732,912.5,719.25,VBK
15,2,14322,50,646,83777,771.65,6298.38,CGL
96,94,62497,-548,593641,75784,5061.94,367.17,GYZ
96,96,22369,405,-9083,9047,1554.86,73526.75,TIF
56,0,51530,51718,34972,33799,440.95,-666.25,EPA
76,47,92204,-25,4020,98071,459.12,71963.44,CUT
15,3,88960,5696,3668,15,-94.31,90.71,GMJ
56,4,25551,-37,338,39792,-38.11,848.4,MWD
15,11,41483,643,5931,94,683.14,88.15,VKD
35,61,2840,46662,69617,-9709,164.3,-811.86,BMZ
97,11,17163,27421,-261605,474,70931.87,-3506.9,PBY
35,67,11776,78,502,-4187,66076.97,-1558.17,SIA
15,22,57226,47,-79,-5733,3724.88,1749.28,OWV
56,20,19954,2923,43705,289,-64.24,-92.86,QAR
35,72,86359,312,-65,620,3214.37,1822.44,JON
97,18,12196,-7977,35,702,398.59,46927.23,BWJ
76,71,34817,-78310,3582,-48,668.57,4543,CKS
76,75,54546,696,895581,106,-9414.57,14873.37,LVA
97,23,93609,486,-914196,156,2994.81,66.91,BGQ
15,33,92249,698,7392,11,-34.8,89859.41,WOE
76,77,1277,-110,85867,-474,211.91,-84084.5,SXP
35,82,74165,39,-365127,-158,31.94,7852.4,MVR
56,31,43307,938,837954,13,73371.78,91.47,WRE
97,29,33949,1441,913,845,3184.47,-706.93,ZKX
76,76,76859,-46380,15,23644,7520.52,88007.32,GUZ
15,40,98809,2120,-399874,1333,-2419.45,4773.19,BUC
35,91,15350,3493,709,26971,53365.93,773.62,NJI
15,44,52401,-6590,2780,53,42.27,9047.75,FEI
35,96,5096,13,878889,36498,-5065.59,-375,YIQ
97,42,51288,-1054,300630,9433,31223.38,76477.88,NJK
76,98,64934,574,-439,751,4150.76,2725.28,VIS
77,1,46637,191,517,647,9607.9,18418.19,OYX
77,2,32465,66907,1971,1783,94.72,79884.11,BAK
56,53,37893,7234,740002,-23761,13.55,53.75,KXV
51,94,61604,30,894,-49476,-84402.88,48163.24,KKP
15,66,23160,39,886,6980,703.95,66054.34,NDT
97,59,95767,37449,828204,-44908,5964.73,81.55,OXE
97,64,38414,41,12,35062,16876.74,8980.62,APE
36,20,48609,475,5816,-746,517.11,20332.25,MPM
56,70,3337,71,95983,153,-40148.67,-11956.9,RRT
97,66,38859,872,9938,965,9988.27,-665.17,ZVX
97,69,26336,-41,5771,85,78.53,836.64,WFQ
77,24,9889,9412,7680,9323,726.43,73.79,TCE
77,25,10599,53798,-18588,70794,-70896.57,-14831.65,WDN
77,26,80052,-352,10,81,736.23,45860.23,MID
36,34,31185,14,1855,-56,232.36,81238.23,RBE
56,82,68652,61,-752,251,92886.74,-47.18,HXZ
36,37,33559,-37,385232,96,710.12,19309.19,HQV
36,39,61926,37,47,21770,2162.15,-76.86,IBP
97,83,51868,803,45782,9113,63.93,45.99,GMQ
77,36,64432,16,305640,33,-61.81,-2251.57,KNF
56,92,59219,665,199724,-24353,941.66,98342.26,PAX
77,43,15099,32239,882,96,91.56,88.39,TDT
36,47,24580,65,150852,-7470,5859.86,-665.62,PJN
56,98,97622,71,64,-56619,-75.84,23.74,LBH
16,3,39017,9508,11271,54892,237.57,-4337.7,AYZ
16,5,40934,5914,671340,1564,9669.7,-9940.56,CUO
77,55,65341,4603,21,4024,366.6,-43789.4,ACK
77,61,47624,61,-99319,688,-65922.92,20078.52,XVW
16,17,29572,61,88,54,96751.5,-8556.57,VPG
16,19,72476,82082,762462,-659,-223.97,2950.42,XYO
77,64,34444,-74596,84,1809,5576.4,-82714.6,WNT
57,19,30256,-160,192,922,-1605.38,-478.64,JLN
16,23,22808,82812,889352,-8754,50959.47,91151.89,TCF
16,29,77075,840,234738,32,88687.5,76.68,OYP
36,78,28978,816,1241,47,73.75,14322.1,OBB
98,22,11072,59,-934035,387,7702.99,57158.88,TPU
36,80,92280,66,-520641,97002,7963.22,61593.78,SFY
57,29,26678,48,813090,807,49705.82,-96.9,EOZ
16,34,1647,4450,-223549,925,6946.3,78.46,VVK
98,23,45918,-38,2791,21,51.46,37827.35,XKN
16,38,72722,93,70,-85,67439.48,809.37,RWL
16,42,16425,59,-302,96,-72.98,5986.4,AXA
36,96,75688,735,-380,947,-62.84,431.97,FIZ
16,51,99244,86,-794,23,89.2,47564.78,QHX
37,0,87805,8810,-90,33,7334.9,695.51,XTB
57,48,25275,1301,827647,-493,35.13,-3623.35,YXO
98,46,36818,17,339176,8259,35.57,79.64,IQC
37,5,74440,-813,6525,6392,30167.78,13259.18,RED
57,55,58567,4245,-292,44491,58290.94,92.54,AFC
16,59,77347,42595,1070,92108,-64417.85,94526.94,QMZ
57,59,92767,-19,6001,39908,8251.89,100.13,XRU
78,7,55422,-20982,2473,-892,96439.27,543.3,JZL
37,13,3115,20,-6205,7971,30825.2,554.1,NTN
98,58,70184,34,93,-944,-61.12,607.61,OKH
57,69,91545,-83688,8065,75,90.81,33.33,GNV
98,68,45328,48043,-33455,786,83423.73,61127.18,BFD
16,77,78480,90,80,8666,-9658.8,798.46,MLX
98,69,91640,-5485,143,97,96888.17,8522.41,JPL
78,23,6779,52739,60,7057,3420.93,61.73,YTH
37,26,48783,588,918,998,-7696.73,71053.63,PNB
98,77,37019,8148,68369,8416,81.26,66536.82,RSR
78,37,284,-3608,81,798,-3070.9,97046.75,DCW
78,38,19199,7309,15409,256,2543.7,83.62,VJR
98,88,8435,53774,-906111,3147,38415.3,873.92,BNG
16,96,15962,1949,9749,93297,93279.22,47675.34,VRY
78,40,90797,98,473243,72,-36.65,67.4,DWC
57,96,3171,-25647,440,6942,-809.82,86.72,TOB
17,4,52638,91071,-12873,66896,70589.11,6595.5,YHY
58,3,85635,-64934,83269,8733,5632.3,-353.54,VOH
99,5,56305,9890,13,-66576,42.17,4970.4,SQD
58,10,32513,-604,26884,9599,96264.9,242.39,MFA
78,59,14590,9864,411410,-47353,874.48,85.73,JKH
99,13,54634,9277,824,658,14437.87,-5853.38,MUS
78,68,38086,592,85213,849,52627.4,62779.56,YEC
17,25,6967,619,947296,82630,-68.81,-1401.5,GFM
17,26,98169,763,62839,53,78648.55,470.87,LXR
58,22,58258,643,61,-702,-754.54,-423.64,JUW
78,73,82941,206,161,4612,382.2,729.85,ZVV
58,27,35690,25,5428,6352,800.12,9597.85,ELH
99,26,75653,165,85625,11540,596.54,-24.26,EER
17,36,72514,714,-77602,29730,519.4,1521.3,KKB
58,33,35528,956,-339,-615,59496.82,743.53,GYW
78,82,98084,4924,-308,423,-4748.84,61.29,XGS
58,37,76184,4726,1098,-48,79406.74,13.86,FGL
37,90,9870,8170,32,956,827.86,87.44,JKY
37,91,64611,502,-30326,40,79221.13,631.83,MDK
78,87,98086,6804,-865661,4761,632.6,56879.89,IKS
78,88,19063,1655,-72,-5787,-715.41,92.4,DFN
17,45,2004,-968,13,81,608.89,13465.87,PKK
99,40,3306,565,307,855,26914.68,-361.56,RDK
58,45,68426,77,50,91,35.93,437.44,WLD
17,49,56425,2077,-88808,140,45448.69,72.84,HET
99,41,67837,69947,658,4948,7573.31,76.13,UQL
58,48,36342,28821,644,-538,3907.64,-95.85,OYW
78,97,91985,98224,222751,468,-52.7,31358.3,ODV
99,46,62551,350,783195,6134,-53406.72,56431.78,GKX
99,47,40984,61,-679885,932,38.88,57735.78,CBU
17,55,95110,218,483833,61885,44216.45,92.32,SYQ
99,49,52274,17396,451,29725,-4302.44,656.7,ULJ
38,5,82341,99,914904,459,89171.43,-265.38,SOU
17,56,40484,87,38123,324,-21097.36,60.78,JDE
38,10,18420,56,577803,34,32107.39,136.57,KWX
58,59,97076,-26179,576,66589,77.28,2077.85,UER
38,11,57631,29,-82,91,5888.91,-8096.89,OEF
58,60,38652,41,-439968,78,737.32,35941.86,RXE
17,66,64106,93,-24510,-75,57.15,-49.17,JMH
38,14,64162,-8133,90796,-4894,1415.17,19978.17,IXO
79,11,8692,3927,119933,94,53.5,-17949.37,HPF
38,17,88498,61,35792,52,-31371.19,191.52,ABL
79,14,8056,926,65032,23,30997.42,-8620.46,FRD
38,18,70422,561,648,-4728,244.92,-234.95,WHE
99,64,14416,464,-29,-74,-6359.59,162.13,AJV
38,21,38052,3057,6445,66711,-56.31,51.61,WWV
99,72,98101,66,13871,-323,941.37,-50624.39,NWC
99,74,24887,870,82019,159,6837.65,-91.15,SHH
58,79,34219,737,425911,66,86.53,85.53,UNT
58,80,74490,11004,95759,-73,292.36,40.81,XFV
99,75,29803,671,87,-99894,659.9,55.89,LQO
58,82,12537,821,445488,62,-14.55,543.63,BGQ
58,83,66418,186,313963,72,482.81,11370.9,KVK
99,82,67255,76,5172,299,278.95,93846.47,IFO
38,40,28300,9735,644,2956,56.7,817.5,IYF
38,41,5983,72,-88,40547,60.84,768.9,BRR
58,94,87332,787,-3180,-3414,771.43,4687.79,LLC
99,90,93211,-35621,74,33,8592.65,-22750.76,GTZ
38,46,64959,49431,90,78003,3763.77,-67.3,ULC
58,97,18354,70,14583,-34458,368.2,15.72,QLN
38,51,85697,661,-992,45574,36370.6,-75.81,KIB
59,0,16089,-308,582323,17,521.48,-741,WOY
18,9,99458,3616,-39,-877,9708.92,44.14,AJP
79,54,67285,35925,-4701,-163,901.3,552.2,VOU
59,11,46476,8740,22783,14208,-285.8,172.58,RAG
38,64,78855,-5094,-67,48853,164,65.73,IBR
79,60,25752,35,-759735,7779,2583.7,-66628.72,DUK
18,15,85187,51593,98695,4570,828.51,89.24,LYS
79,63,79877,139,37191,9975,-93498.61,11.63,WGN
38,68,3407,261,66740,3483,47.87,-6639.85,NWV
18,23,17474,498,91,46866,23445.42,765.1,QBM
38,73,92621,182,3570,14,63.94,19027.94,EKU
18,31,8386,82,-44647,-54799,23367.91,84.18,FXM
38,80,90816,91,-532072,10708,93.57,46343.46,HXH
79,77,14195,72,9032,-1267,12.78,386.27,AEB
38,81,14242,65775,52,37869,60.72,20.75,JIB
18,33,70941,5780,-87,-366,96667.61,-16790.66,VXJ
38,84,43047,3527,3867,10,-5686.43,3563.48,WLN
18,35,27878,-319,730,4810,49943.88,32.8,WPZ
79,88,58598,94,24,861,7926.22,834.4,EBP
18,52,13530,-75,71,-97988,44426.65,17556.81,JOB
59,58,35427,28906,-349938,-1279,-908.68,-1855.76,EOU
39,11,39257,3199,990053,4734,4830.59,68685.42,YDD
39,12,73400,871,41085,46,-1195.51,72.78,WTQ
39,10,76360,99,-40073,-73225,52.28,854.26,WLJ
18,66,42527,238,-311,-63,117.36,687.9,SYV
39,17,73889,3975,67,-9967,-10.91,-76.4,EWO
80,15,10195,25,-268895,47839,-729.68,-73504.98,HCG
80,20,17103,-861,-1917,53647,63.2,-897.94,RUZ
18,80,87552,60,119,70055,1916.28,-39.88,BFN
59,76,29330,65897,18,6187,-24086.88,-858.52,KYV
59,78,84357,88,451832,28,24103.82,-1669.24,NBA
18,83,36968,3888,-66,92169,594.86,12047.9,SUJ
59,82,81830,2646,25,52,71.45,276.78,WVM
59,92,11368,73185,7246,6157,31.45,852.59,MHF
59,93,93980,-195,187,809,26.56,36.58,EYW
80,42,91133,10,-271180,94,-13.3,-1817.11,TZB
59,95,78421,37847,42274,64915,33.55,7199.16,YMS
39,60,22047,7555,-66680,9836,1847.5,9090.9,IJC
19,13,29298,-40,47,5458,-27.5,6212.22,PEN
19,19,98088,38,92642,7108,89.59,-45.91,RXU
19,22,49937,450,-81,8248,939.62,54.67,IUJ
19,23,60961,83,-2515,467,-57.6,-85.8,QPU
39,77,25950,-37,182953,18447,66.92,-15359.41,KAQ
60,26,77515,-24722,388866,7316,3830.14,2174.5,QPC
80,77,29686,91404,27,45552,56313.53,-630.99,GON
